VALEUR,#licidas,#polemon,#celie,#cleone,#un-page,#telariste,#clarigene,#dicee,#cleante,#cephise,#clarigene-ravisseur
Fréquences (scènes),0.4782608695652174,0.30434782608695654,0.6086956521739131,0.17391304347826086,0.08695652173913043,0.17391304347826086,0.30434782608695654,0.043478260869565216,0.08695652173913043,0.2608695652173913,0.043478260869565216
Fréquences(répliques),0.22629582806573956,0.0632111251580278,0.33375474083438683,0.025284450063211124,0.0012642225031605564,0.04993678887484197,0.13463969658659924,0.019595448798988623,0.05246523388116309,0.08091024020227561,0.012642225031605562
Confrontation,0.18333333333333332,0.1,0.225,0.041666666666666664,0.025,0.1,0.11666666666666667,0.025,0.05,0.09166666666666666,0.041666666666666664
Déviations,#licidas,#polemon,#celie,#cleone,#un-page,#telariste,#clarigene,#dicee,#cleante,#cephise,#clarigene-ravisseur
#licidas,6.260869565217391,2.1010728402032743,0.4294184076792774,1.9130434782608696,0.9565217391304348,0.003952569169960469,0.5426312817617166,0.4782608695652174,1.1383399209486165,0.4453227931488802,0.5691699604743082
#polemon,2.1010728402032743,11.130434782608695,0.37311446317657515,0.03881987577639754,0.6086956521739131,1.2173913043478262,2.130434782608696,0.30434782608695654,0.6086956521739131,0.01656314699792963,0.30434782608695654
#celie,0.4294184076792774,0.37311446317657515,3.5217391304347814,0.13121118012422353,0.5031055900621116,0.13121118012422353,0.1282165039929014,0.2515527950310558,0.03881987577639754,0.11645962732919247,0.2515527950310558
#cleone,1.9130434782608696,0.03881987577639754,0.13121118012422353,15.695652173913043,0.34782608695652173,0.6956521739130435,1.2173913043478262,0.17391304347826086,0.34782608695652173,0.0018115942028985484,0.17391304347826086
#un-page,0.9565217391304348,0.6086956521739131,0.5031055900621116,0.34782608695652173,19.17391304347826,0.34782608695652173,0.2515527950310558,0.08695652173913043,0.17391304347826086,0.5217391304347826,0.08695652173913043
#telariste,0.003952569169960469,1.2173913043478262,0.13121118012422353,0.6956521739130435,0.34782608695652173,15.695652173913043,2.6102484472049685,3.9239130434782608,1.2228260869565217,0.0018115942028985484,3.9239130434782608
#clarigene,0.5426312817617166,2.130434782608696,0.1282165039929014,1.2173913043478262,0.2515527950310558,2.6102484472049685,11.130434782608695,1.590062111801242,0.2515527950310558,1.826086956521739,1.590062111801242
#dicee,0.4782608695652174,0.30434782608695654,0.2515527950310558,0.17391304347826086,0.08695652173913043,3.9239130434782608,1.590062111801242,21.043478260869566,0.08695652173913043,0.2608695652173913,0.043478260869565216
#cleante,1.1383399209486165,0.6086956521739131,0.03881987577639754,0.34782608695652173,0.17391304347826086,1.2228260869565217,0.2515527950310558,0.08695652173913043,19.17391304347826,0.5217391304347826,9.58695652173913
#cephise,0.44532279314887985,0.016563146997929584,0.11645962732919261,0.0018115942028985484,0.5217391304347826,0.0018115942028985484,1.8260869565217392,0.2608695652173913,0.5217391304347826,12.56521739130435,0.2608695652173913
#clarigene-ravisseur,0.5691699604743082,0.30434782608695654,0.2515527950310558,0.17391304347826086,0.08695652173913043,3.9239130434782608,1.590062111801242,0.043478260869565216,9.58695652173913,0.2608695652173913,21.043478260869566
Successions,#licidas,#polemon,#celie,#cleone,#un-page,#telariste,#clarigene,#dicee,#cleante,#cephise,#clarigene-ravisseur
#licidas,0.022988505747126436,0.3103448275862069,0.22988505747126436,0.0,0.0,0.011494252873563218,0.12643678160919541,0.011494252873563218,0.1724137931034483,0.10344827586206896,0.011494252873563218
#polemon,0.8709677419354839,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#celie,0.30952380952380953,0.03571428571428571,0.0,0.19047619047619047,0.023809523809523808,0.011904761904761904,0.2261904761904762,0.047619047619047616,0.0,0.15476190476190477,0.0
#cleone,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0
#un-page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#telariste,0.11764705882352941,0.0,0.23529411764705882,0.0,0.0,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.0,0.0,0.0
#clarigene,0.12195121951219512,0.0,0.5365853658536586,0.0,0.0,0.3170731707317073,0.0,0.0,0.0,0.0,0.024390243902439025
#dicee,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
#cleante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cephise,0.27586206896551724,0.0,0.4827586206896552,0.20689655172413793,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
#clarigene-ravisseur,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
