VALEUR,#salmacis,#licanor,#dorise,#nourrice,#sidere,#l-ermite,#page,#sophronie,#melampe,#cleon,#le-pere-de-sidere
Fréquences (scènes),0.5833333333333334,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.26720947446336046,0.20799407846039972,0.19615099925980756,0.028867505551443375,0.11917098445595854,0.05477424130273871,0.0029607698001480384,0.04145077720207254,0.05477424130273871,0.008882309400444115,0.01776461880088823
Confrontation,0.1891891891891892,0.12162162162162163,0.10810810810810811,0.05405405405405406,0.17567567567567569,0.05405405405405406,0.04054054054054054,0.08108108108108109,0.06756756756756757,0.05405405405405406,0.05405405405405406
Déviations,#salmacis,#licanor,#dorise,#nourrice,#sidere,#l-ermite,#page,#sophronie,#melampe,#cleon,#le-pere-de-sidere
#salmacis,2.083333333333332,0.07142857142857142,0.28809523809523824,1.1666666666666665,0.28809523809523824,0.5952380952380955,0.5833333333333333,0.02380952380952377,0.5952380952380955,0.2976190476190477,0.2976190476190477
#licanor,0.07142857142857142,3.0,2.5,1.0,0.9,1.0,0.5,1.0,1.0,0.5,0.5
#dorise,0.28809523809523824,2.5,4.083333333333332,0.8333333333333333,0.5633333333333335,0.8333333333333333,0.41666666666666663,0.8333333333333333,0.8333333333333333,0.41666666666666663,0.41666666666666663
#nourrice,1.1666666666666667,1.0,0.8333333333333334,8.333333333333336,1.6333333333333329,0.3333333333333333,4.166666666666668,1.3333333333333337,0.3333333333333333,0.16666666666666666,0.16666666666666666
#sidere,0.28809523809523824,0.9,0.5633333333333335,1.6333333333333337,4.083333333333332,0.03333333333333337,0.8166666666666669,1.6333333333333337,0.03333333333333337,0.8166666666666669,0.8166666666666669
#l-ermite,0.5952380952380951,1.0,0.8333333333333334,0.3333333333333333,0.03333333333333332,8.333333333333336,0.16666666666666666,1.3333333333333337,0.3333333333333333,0.16666666666666666,0.16666666666666666
#page,0.5833333333333334,0.5,0.4166666666666667,4.166666666666668,0.8166666666666664,0.16666666666666666,10.083333333333332,4.166666666666668,0.16666666666666666,0.08333333333333333,0.08333333333333333
#sophronie,0.02380952380952383,1.0,0.8333333333333334,1.3333333333333337,1.6333333333333329,1.3333333333333337,4.166666666666668,8.333333333333336,0.3333333333333333,0.16666666666666666,0.16666666666666666
#melampe,0.5952380952380951,1.0,0.8333333333333334,0.3333333333333333,0.03333333333333332,0.3333333333333333,0.16666666666666666,0.3333333333333333,8.333333333333336,4.166666666666668,4.166666666666668
#cleon,0.29761904761904756,0.5,0.4166666666666667,0.16666666666666666,0.8166666666666664,0.16666666666666666,0.08333333333333333,0.16666666666666666,4.166666666666668,10.083333333333332,10.083333333333332
#cleon,0.29761904761904756,0.5,0.4166666666666667,0.16666666666666666,0.8166666666666664,0.16666666666666666,0.08333333333333333,0.16666666666666666,4.166666666666668,10.083333333333332,10.083333333333332
Successions,#salmacis,#licanor,#dorise,#nourrice,#sidere,#l-ermite,#page,#sophronie,#melampe,#cleon,#le-pere-de-sidere
#salmacis,0.0,0.29508196721311475,0.3442622950819672,0.0,0.13114754098360656,0.09836065573770492,0.0,0.04918032786885246,0.04918032786885246,0.03278688524590164,0.0
#licanor,0.3050847457627119,0.0,0.5084745762711864,0.0,0.1694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0
#dorise,0.3125,0.453125,0.0,0.0,0.21875,0.0,0.0,0.0,0.015625,0.0,0.0
#nourrice,0.09090909090909091,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
#sidere,0.22,0.2,0.26,0.22,0.0,0.02,0.02,0.02,0.0,0.02,0.02
#l-ermite,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#page,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#sophronie,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
#melampe,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#cleon,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-sidere,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
