VALEUR,#bruneo,#florisel,#agesilan,#darinel,#arlandes,#rosaran,#daraide,#diane,#ardenie,#sydonie,#page,#anaxarte,#premier-cavalier,#second-cavalier,#troisieme-cavalier
Fréquences (scènes),0.16666666666666666,0.3,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5,0.4,0.43333333333333335,0.4,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.08191808191808192,0.12387612387612387,0.04395604395604396,0.07392607392607392,0.013986013986013986,0.045454545454545456,0.1773226773226773,0.12087912087912088,0.11488511488511488,0.16333666333666333,0.0024975024975024975,0.03196803196803197,0.001998001998001998,0.000999000999000999,0.002997002997002997
Confrontation,0.06372549019607843,0.09803921568627451,0.00980392156862745,0.06372549019607843,0.014705882352941176,0.03431372549019608,0.18137254901960784,0.1568627450980392,0.15196078431372548,0.1323529411764706,0.004901960784313725,0.029411764705882353,0.0196078431372549,0.0196078431372549,0.0196078431372549
Déviations,#bruneo,#florisel,#agesilan,#darinel,#arlandes,#rosaran,#daraide,#diane,#ardenie,#sydonie,#page,#anaxarte,#premier-cavalier,#second-cavalier,#troisieme-cavalier
#bruneo,20.83333333333334,0.16666666666666666,4.166666666666668,0.02380952380952383,0.3333333333333333,0.3333333333333333,0.9,0.5,0.6282051282051284,0.0,0.16666666666666666,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668
#florisel,0.16666666666666666,14.700000000000006,0.3,2.1,3.266666666666666,3.266666666666666,0.05555555555555555,0.7111111111111112,0.9256410256410259,0.10000000000000002,0.3,0.6,1.633333333333333,1.633333333333333,1.633333333333333
#agesilan,4.166666666666668,0.3,28.03333333333333,2.519047619047619,0.06666666666666667,0.06666666666666667,0.5,0.4000000000000001,0.43333333333333335,0.4000000000000001,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
#darinel,0.02380952380952377,2.1,2.519047619047619,17.633333333333336,0.4666666666666667,0.4666666666666667,0.6428571428571429,0.014285714285714247,0.00036630036630036375,2.8000000000000003,0.23333333333333334,0.4666666666666667,0.23333333333333334,0.23333333333333334,0.23333333333333334
#arlandes,0.3333333333333333,3.266666666666666,0.06666666666666667,0.4666666666666667,26.133333333333336,5.633333333333334,1.0,0.8000000000000002,0.8666666666666667,0.8000000000000002,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
#rosaran,0.3333333333333333,3.266666666666666,0.06666666666666667,0.4666666666666667,5.633333333333334,26.133333333333336,0.0,0.049999999999999975,0.020512820512820502,0.049999999999999975,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
#daraide,0.9,0.05555555555555555,0.5,0.6428571428571429,1.0,0.0,7.5,1.5,0.34615384615384615,0.6666666666666666,0.5,0.0,0.5,0.5,0.5
#diane,0.5,0.7111111111111108,0.4000000000000001,0.014285714285714311,0.8000000000000002,0.049999999999999975,1.5,10.799999999999995,4.43076923076923,0.008333333333333273,0.4000000000000001,0.049999999999999975,0.4000000000000001,0.4000000000000001,0.4000000000000001
#ardenie,0.6282051282051281,0.9256410256410257,0.43333333333333335,0.00036630036630036375,0.8666666666666667,0.020512820512820502,0.34615384615384615,4.43076923076923,9.633333333333331,0.007692307692307706,0.43333333333333335,0.020512820512820502,0.43333333333333335,0.43333333333333335,0.43333333333333335
#sydonie,0.0,0.0999999999999999,0.4000000000000001,2.8,0.8000000000000002,0.049999999999999975,0.6666666666666666,0.008333333333333273,0.007692307692307706,10.799999999999995,0.8999999999999999,1.7999999999999998,0.4000000000000001,0.4000000000000001,0.4000000000000001
#page,0.16666666666666666,0.3,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5,0.4000000000000001,0.43333333333333335,0.8999999999999999,28.03333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
#anaxarte,1.3333333333333337,0.6,0.06666666666666667,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.049999999999999975,0.020512820512820502,1.7999999999999998,0.06666666666666667,26.133333333333336,0.06666666666666667,0.06666666666666667,0.06666666666666667
#premier-cavalier,4.166666666666668,1.633333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5,0.4000000000000001,0.43333333333333335,0.4000000000000001,0.03333333333333333,0.06666666666666667,28.03333333333333,28.03333333333333,28.03333333333333
#premier-cavalier,4.166666666666668,1.633333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5,0.4000000000000001,0.43333333333333335,0.4000000000000001,0.03333333333333333,0.06666666666666667,28.03333333333333,28.03333333333333,28.03333333333333
