VALEUR,#bruneo,#florisel,#agesilan,#darinel,#arlandes,#rosaran,#daraide,#diane,#ardenie,#sydonie,#page,#anaxarte,#premier-cavalier,#second-cavalier,#troisieme-cavalier
#premier-cavalier,4.166666666666668,1.633333333333333,0.03333333333333333,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.5,0.4000000000000001,0.43333333333333335,0.4000000000000001,0.03333333333333333,0.06666666666666667,28.03333333333333,28.03333333333333,28.03333333333333
Successions,#bruneo,#florisel,#agesilan,#darinel,#arlandes,#rosaran,#daraide,#diane,#ardenie,#sydonie,#page,#anaxarte,#premier-cavalier,#second-cavalier,#troisieme-cavalier
#bruneo,0.0,0.46153846153846156,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0
#florisel,0.11627906976744186,0.0,0.0,0.023255813953488372,0.11627906976744186,0.3488372093023256,0.13953488372093023,0.06976744186046512,0.023255813953488372,0.13953488372093023,0.0,0.0,0.0,0.0,0.023255813953488372
#agesilan,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#darinel,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.45161290322580644,0.0967741935483871,0.16129032258064516,0.0,0.0,0.0,0.0,0.0,0.0
#arlandes,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosaran,0.0,0.8421052631578947,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
#daraide,0.012345679012345678,0.07407407407407407,0.0,0.19753086419753085,0.0,0.012345679012345678,0.0,0.32098765432098764,0.08641975308641975,0.19753086419753085,0.0,0.09876543209876543,0.0,0.0,0.0
#diane,0.0,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.38095238095238093,0.0,0.42857142857142855,0.12698412698412698,0.0,0.015873015873015872,0.0,0.0,0.0
#ardenie,0.0,0.0425531914893617,0.0,0.0851063829787234,0.0,0.0,0.2765957446808511,0.5319148936170213,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0,0.0
#sydonie,0.024390243902439025,0.12195121951219512,0.0,0.024390243902439025,0.0,0.04878048780487805,0.36585365853658536,0.14634146341463414,0.07317073170731707,0.024390243902439025,0.07317073170731707,0.0975609756097561,0.0,0.0,0.0
#page,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#anaxarte,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.13333333333333333,0.26666666666666666,0.0,0.06666666666666667,0.0,0.0,0.0
#premier-cavalier,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-cavalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#troisieme-cavalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
