VALEUR,#poquelin,#monsieur-astringent,#jean-baptiste,#françois,#madeleine,#françois #madeleine,#le-charlatan,#fritelin,#maitre-bejart,#toinette,#tous,#le-docteur-sans-pareil,#les-enfants,#maitre-bejard
Fréquences (scènes),0.5555555555555556,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.1506276150627615,0.12412831241283125,0.2775453277545328,0.14365411436541142,0.07391910739191074,0.001394700139470014,0.030683403068340307,0.13249651324965134,0.03486750348675035,0.02510460251046025,0.002789400278940028,0.0,0.001394700139470014,0.001394700139470014
Confrontation,0.09375,0.08482142857142858,0.09821428571428571,0.08928571428571429,0.08482142857142858,0.013392857142857142,0.07142857142857142,0.07142857142857142,0.08035714285714286,0.08035714285714286,0.07142857142857142,0.05357142857142857,0.05357142857142857,0.05357142857142857
Déviations,#poquelin,#monsieur-astringent,#jean-baptiste,#françois,#madeleine,#françois #madeleine,#le-charlatan,#fritelin,#maitre-bejart,#toinette,#tous,#le-docteur-sans-pareil,#les-enfants,#maitre-bejard
#poquelin,1.7777777777777781,1.422222222222222,0.5333333333333331,0.6722222222222223,0.26666666666666655,0.5555555555555556,0.01111111111111112,0.01111111111111112,1.0666666666666669,1.0666666666666669,0.711111111111111,0.3555555555555555,0.3555555555555555,0.3555555555555555
#monsieur-astringent,1.422222222222222,2.777777777777778,0.1666666666666666,0.3402777777777777,0.0833333333333333,0.4444444444444444,0.013888888888888902,0.013888888888888902,0.3333333333333334,0.3333333333333334,1.388888888888889,0.6944444444444445,0.6944444444444445,0.6944444444444445
#jean-baptiste,0.5333333333333334,0.1666666666666666,1.0,0.6666666666666669,0.5,0.1666666666666667,0.3333333333333334,0.3333333333333334,0.5,0.5,0.0833333333333333,0.1666666666666667,0.1666666666666667,0.1666666666666667
#françois,0.6722222222222223,0.3402777777777777,0.6666666666666669,2.777777777777778,2.083333333333334,0.6944444444444445,1.388888888888889,1.388888888888889,0.0833333333333333,0.0833333333333333,0.013888888888888902,0.6944444444444445,0.6944444444444445,0.6944444444444445
#madeleine,0.2666666666666667,0.0833333333333333,0.5,2.083333333333334,4.0,1.3333333333333337,2.6666666666666674,2.6666666666666674,0.0,0.0,0.1666666666666667,1.3333333333333337,1.3333333333333337,1.3333333333333337
#françois #madeleine,0.5555555555555556,0.4444444444444444,0.1666666666666667,0.6944444444444445,1.3333333333333337,7.111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111
