VALEUR,#ormene,#cassandre,#hecube,#tiridate,#pharnabase,#phraarte,#orosmane,#polixene,#tigrane,#garde,#citoyen,#euphorbe,#troile
Fréquences (scènes),0.27586206896551724,0.2413793103448276,0.10344827586206896,0.4827586206896552,0.20689655172413793,0.2413793103448276,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655
Fréquences(répliques),0.1376539903588645,0.01713979646491698,0.011247991430101767,0.2281735404392073,0.0578468130690948,0.05249062667380825,0.11837171933583289,0.1365827530798072,0.19228709159078736,0.0016068559185859668,0.016068559185859668,0.017675415104445636,0.012854847348687734
Confrontation,0.1179245283018868,0.0660377358490566,0.0330188679245283,0.14622641509433962,0.07075471698113207,0.08490566037735849,0.14622641509433962,0.1320754716981132,0.12735849056603774,0.0330188679245283,0.0047169811320754715,0.0047169811320754715,0.0330188679245283
Déviations,#ormene,#cassandre,#hecube,#tiridate,#pharnabase,#phraarte,#orosmane,#polixene,#tigrane,#garde,#citoyen,#euphorbe,#troile
#ormene,15.20689655172414,0.002463054187192112,1.6609195402298855,0.33528325123152697,0.07183908045977012,0.44889162561576357,0.3072100313479625,0.00039184952978056083,0.3072100313479625,0.36422413793103453,0.27586206896551724,0.27586206896551724,1.9008620689655176
#cassandre,0.0024630541871921282,16.68965517241379,7.152709359605912,0.5629838142153414,1.4482758620689657,1.6896551724137934,0.16166592028660984,0.16166592028660984,0.044782803403493124,0.48275862068965514,0.24137931034482757,0.24137931034482757,0.24137931034482757
#hecube,1.6609195402298855,7.152709359605912,23.310344827586206,0.138752052545156,0.6206896551724138,0.7241379310344829,1.1379310344827585,1.1379310344827585,0.01671891327063737,0.20689655172413793,0.10344827586206896,0.10344827586206896,0.10344827586206896
#tiridate,0.33528325123152725,0.5629838142153414,0.138752052545156,7.758620689655173,3.32512315270936,0.11400422237860658,0.018137035378414632,1.0051500223914014,1.0051500223914014,0.0012315270935960641,0.48275862068965514,0.48275862068965514,0.5541871921182268
#pharnabase,0.07183908045977012,1.4482758620689657,0.6206896551724138,3.32512315270936,18.24137931034483,0.138752052545156,0.23040752351097205,0.7152560083594564,0.7152560083594564,0.41379310344827586,0.20689655172413793,0.20689655172413793,3.040229885057472
#phraarte,0.44889162561576346,1.6896551724137934,0.7241379310344829,0.11400422237860658,0.138752052545156,16.68965517241379,0.044782803403493124,0.6811464397671297,0.16166592028660984,0.5541871921182268,0.24137931034482757,2.38423645320197,2.38423645320197
#orosmane,0.3072100313479625,0.16166592028661003,1.1379310344827587,0.018137035378414733,0.2304075235109717,0.044782803403493006,11.172413793103448,1.91621544599601,0.007124536905101178,0.07680250783699062,1.0156739811912228,0.3793103448275862,1.0156739811912228
#polixene,0.00039184952978056083,0.16166592028661003,1.1379310344827587,1.005150022391402,0.7152560083594568,0.6811464397671292,1.91621544599601,11.172413793103448,0.8005129666571672,0.07680250783699062,0.3793103448275862,0.3793103448275862,1.0156739811912228
#tigrane,0.3072100313479625,0.044782803403493006,0.01671891327063742,1.005150022391402,0.7152560083594568,0.16166592028661003,0.007124536905101178,0.8005129666571672,11.172413793103448,2.0313479623824455,0.3793103448275862,0.3793103448275862,1.0156739811912228
#garde,0.36422413793103453,0.4827586206896552,0.20689655172413793,0.001231527093596056,0.41379310344827586,0.5541871921182264,0.07680250783699062,0.07680250783699062,2.0313479623824455,25.137931034482758,0.06896551724137931,0.06896551724137931,0.06896551724137931
#citoyen,0.27586206896551724,0.2413793103448276,0.10344827586206896,0.4827586206896552,0.20689655172413793,0.2413793103448276,1.0156739811912228,0.3793103448275862,0.3793103448275862,0.06896551724137931,27.034482758620694,0.034482758620689655,0.034482758620689655
