VALEUR,#clara,#tiburce,#ensemble,#ursule,#severin,#le-concierge,#tiburce #severin,#les-hommes,#les-femmes
Fréquences (scènes),0.6,0.4,0.2,0.6666666666666666,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.2235294117647059,0.03529411764705882,0.29411764705882354,0.4,0.023529411764705882,0.0,0.0,0.011764705882352941,0.011764705882352941
Confrontation,0.16379310344827586,0.15517241379310345,0.09482758620689655,0.1896551724137931,0.16379310344827586,0.017241379310344827,0.09482758620689655,0.0603448275862069,0.0603448275862069
Déviations,#clara,#tiburce,#ensemble,#ursule,#severin,#le-concierge,#tiburce #severin,#les-hommes,#les-femmes
#clara,2.4000000000000012,0.04444444444444442,0.3555555555555556,0.0,0.3428571428571429,0.2666666666666667,0.5333333333333334,0.2666666666666667,0.2666666666666667
#tiburce,0.04444444444444453,5.399999999999998,0.533333333333333,0.0,0.5142857142857145,0.4000000000000001,1.7999999999999998,0.8999999999999999,0.8999999999999999
#ensemble,0.3555555555555554,0.533333333333333,9.599999999999998,0.0,1.828571428571429,0.20000000000000004,0.8999999999999999,3.2000000000000006,3.2000000000000006
#ursule,0.0,0.0,0.0,1.6666666666666672,0.023809523809523767,0.1666666666666667,0.3333333333333334,0.1666666666666667,0.1666666666666667
#severin,0.3428571428571429,0.514285714285714,1.828571428571428,0.0238095238095239,4.266666666666667,0.4666666666666667,1.219047619047619,0.6095238095238095,0.6095238095238095
#le-concierge,0.2666666666666667,0.4000000000000001,0.20000000000000004,0.1666666666666667,0.4666666666666667,13.066666666666668,0.13333333333333333,0.06666666666666667,0.06666666666666667
#tiburce #severin,0.5333333333333334,1.7999999999999998,0.8999999999999999,0.3333333333333334,1.219047619047619,0.13333333333333333,11.266666666666667,5.633333333333334,5.633333333333334
#les-hommes,0.2666666666666667,0.8999999999999999,3.2000000000000006,0.1666666666666667,0.6095238095238095,0.06666666666666667,5.633333333333334,13.066666666666668,13.066666666666668
#les-hommes,0.2666666666666667,0.8999999999999999,3.2000000000000006,0.1666666666666667,0.6095238095238095,0.06666666666666667,5.633333333333334,13.066666666666668,13.066666666666668
Successions,#clara,#tiburce,#ensemble,#ursule,#severin,#le-concierge,#tiburce #severin,#les-hommes,#les-femmes
#clara,0.05263157894736842,0.5526315789473685,0.0,0.2631578947368421,0.10526315789473684,0.013157894736842105,0.013157894736842105,0.0,0.0
#tiburce,0.45161290322580644,0.021505376344086023,0.010752688172043012,0.0967741935483871,0.40860215053763443,0.0,0.010752688172043012,0.0,0.0
#ensemble,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0
#ursule,0.275,0.1,0.0125,0.05,0.5625,0.0,0.0,0.0,0.0
#severin,0.07526881720430108,0.43010752688172044,0.010752688172043012,0.4838709677419355,0.0,0.0,0.0,0.0,0.0
#le-concierge,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tiburce #severin,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#les-hommes,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-femmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
