VALEUR,#folleville,#daiglemont,#deschamps,#monsieur-daiglemont,#l-hotesse,#julie,#jourdain,#michel
Fréquences (scènes),0.2894736842105263,0.39473684210526316,0.2631578947368421,0.4473684210526316,0.18421052631578946,0.34210526315789475,0.15789473684210525,0.15789473684210525
Fréquences(répliques),0.20694752402069475,0.19068736141906872,0.11382113821138211,0.22320768662232077,0.09608277900960828,0.07908351810790835,0.04065040650406504,0.04951958610495196
Confrontation,0.12142857142857143,0.17857142857142858,0.1,0.2,0.06428571428571428,0.1357142857142857,0.1,0.1
Déviations,#folleville,#daiglemont,#deschamps,#monsieur-daiglemont,#l-hotesse,#julie,#jourdain,#michel
#folleville,19.18421052631579,0.026953748006379577,0.003827751196172273,0.2365606529693215,2.026315789473684,0.826094957673905,0.31259968102073354,0.31259968102073354
#daiglemont,0.026953748006379577,13.921052631578942,1.0673684210526317,1.0948400412796695,1.125062656641604,0.24952766531713907,0.16842105263157905,0.16842105263157905
#deschamps,0.0038277511961722402,1.067368421052631,20.63157894736842,0.050154798761609935,0.38496240601503756,3.421052631578947,1.5789473684210527,1.5789473684210527
#monsieur-daiglemont,0.2365606529693215,1.0948400412796695,0.050154798761609935,11.605263157894738,0.4088898717381688,0.005834722552988801,0.037151702786377735,0.037151702786377735
#l-hotesse,2.026315789473684,1.125062656641604,0.38496240601503756,0.40888987173816904,25.289473684210524,2.8342972816657026,1.1052631578947367,1.1052631578947367
#julie,0.8260949576739053,0.24952766531713907,3.421052631578947,0.005834722552988801,2.834297281665704,16.44736842105263,0.5398110661268554,0.5398110661268554
#jourdain,0.3125996810207337,0.16842105263157905,1.5789473684210527,0.037151702786377735,1.1052631578947367,0.5398110661268557,26.94736842105263,26.94736842105263
#jourdain,0.3125996810207337,0.16842105263157905,1.5789473684210527,0.037151702786377735,1.1052631578947367,0.5398110661268557,26.94736842105263,26.94736842105263
Successions,#folleville,#daiglemont,#deschamps,#monsieur-daiglemont,#l-hotesse,#julie,#jourdain,#michel
#folleville,0.011111111111111112,0.4666666666666667,0.05555555555555555,0.36666666666666664,0.0,0.022222222222222223,0.05555555555555555,0.022222222222222223
#daiglemont,0.44086021505376344,0.010752688172043012,0.23655913978494625,0.021505376344086023,0.06451612903225806,0.15053763440860216,0.021505376344086023,0.053763440860215055
#deschamps,0.09375,0.328125,0.0,0.375,0.1875,0.015625,0.0,0.0
#monsieur-daiglemont,0.3017241379310345,0.008620689655172414,0.21551724137931033,0.04310344827586207,0.1206896551724138,0.16379310344827586,0.05172413793103448,0.09482758620689655
#l-hotesse,0.0,0.12962962962962962,0.2222222222222222,0.2777777777777778,0.018518518518518517,0.35185185185185186,0.0,0.0
#julie,0.05263157894736842,0.22807017543859648,0.0,0.3157894736842105,0.3684210526315789,0.017543859649122806,0.0,0.017543859649122806
#jourdain,0.11428571428571428,0.11428571428571428,0.0,0.22857142857142856,0.0,0.02857142857142857,0.0,0.5142857142857142
#michel,0.02702702702702703,0.10810810810810811,0.0,0.2702702702702703,0.0,0.0,0.5945945945945946,0.0
