VALEUR,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#garde,#attale
Fréquences (scènes),0.52,0.24,0.48,0.28,0.44,0.16,0.12,0.04,0.2
Fréquences(répliques),0.2568627450980392,0.03333333333333333,0.16993464052287582,0.1261437908496732,0.25163398692810457,0.052941176470588235,0.08496732026143791,0.00392156862745098,0.020261437908496733
Confrontation,0.19827586206896552,0.06896551724137931,0.1896551724137931,0.12931034482758622,0.15517241379310345,0.08620689655172414,0.07758620689655173,0.017241379310344827,0.07758620689655173
Déviations,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#garde,#attale
#jocaste,5.760000000000001,0.4020512820512821,0.09256410256410251,0.03560439560439549,1.2934265734265733,0.0030769230769230826,1.3292307692307692,0.44307692307692303,0.9846153846153848
#olympe,0.4020512820512821,14.440000000000005,0.005000000000000009,1.6800000000000002,0.1551515151515152,0.0016666666666666698,0.72,0.24,1.2000000000000002
#antigone,0.09256410256410251,0.005000000000000009,6.760000000000001,0.5504761904761907,0.9845454545454547,2.253333333333334,0.21777777777777782,0.48,0.816666666666667
#eteocle,0.03560439560439549,1.6800000000000002,0.5504761904761907,12.959999999999992,1.196883116883116,0.01285714285714288,0.03047619047619044,0.28,0.2571428571428568
#creon,1.2934265734265737,0.155151515151515,0.9845454545454541,1.1968831168831169,7.84,1.76,1.3199999999999998,0.44,3.563636363636363
#hemon,0.0030769230769230826,0.0016666666666666698,2.253333333333334,0.01285714285714288,1.76,17.639999999999997,4.8133333333333335,0.16,0.8000000000000002
#polynice,1.3292307692307692,0.72,0.21777777777777782,0.03047619047619044,1.32,4.8133333333333335,19.360000000000003,6.453333333333333,0.6000000000000001
#garde,0.44307692307692303,0.24,0.48,0.28,0.44,0.16,6.453333333333333,23.04,0.20000000000000004
#attale,0.9846153846153848,1.2,0.8166666666666665,0.257142857142857,3.563636363636363,0.8000000000000002,0.6,0.20000000000000004,16.0
Successions,#jocaste,#olympe,#antigone,#eteocle,#creon,#hemon,#polynice,#garde,#attale
#jocaste,0.07407407407407407,0.05555555555555555,0.16666666666666666,0.2037037037037037,0.2037037037037037,0.0,0.2962962962962963,0.0,0.0
#olympe,0.25,0.0,0.4166666666666667,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.08333333333333333
#antigone,0.2641509433962264,0.11320754716981132,0.05660377358490566,0.03773584905660377,0.33962264150943394,0.1509433962264151,0.03773584905660377,0.0,0.0
#eteocle,0.375,0.0,0.03125,0.0,0.34375,0.0,0.21875,0.0,0.03125
#creon,0.14,0.04,0.44,0.22,0.0,0.0,0.0,0.0,0.16
#hemon,0.0,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
#polynice,0.6,0.0,0.08,0.24,0.0,0.04,0.0,0.04,0.0
#garde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#attale,0.0,0.0,0.1,0.2,0.7,0.0,0.0,0.0,0.0
