VALEUR,#laure,#fenise,#federic,#le-duc,#fabrice,#carlos,#camille,#la-duchesse
Fréquences (scènes),0.3076923076923077,0.48717948717948717,0.1794871794871795,0.5641025641025641,0.48717948717948717,0.3076923076923077,0.1794871794871795,0.28205128205128205
Fréquences(répliques),0.06103515625,0.2421875,0.0654296875,0.24169921875,0.1171875,0.109375,0.02734375,0.1357421875
Confrontation,0.10683760683760683,0.1752136752136752,0.05982905982905983,0.19230769230769232,0.1794871794871795,0.09829059829059829,0.05555555555555555,0.13247863247863248
Déviations,#laure,#fenise,#federic,#le-duc,#fabrice,#carlos,#camille,#la-duchesse
#laure,18.692307692307686,4.543522267206479,0.618131868131868,2.0987762237762237,0.12246963562753027,3.6923076923076925,0.618131868131868,0.1118881118881119
#fenise,4.543522267206477,10.256410256410259,0.10198573356468098,0.6892405839774257,0.17053768023297086,1.3856275303643728,1.703489492963177,0.07667770825665572
#federic,0.6181318681318684,0.10198573356468098,26.256410256410255,0.227938727938728,0.5831887410834778,0.3324175824175821,1.2564102564102564,0.48085248085248095
#le-duc,2.0987762237762246,0.6892405839774257,0.227938727938728,7.41025641025641,2.6031161820635513,0.4624125874125878,0.9617049617049619,0.5191777919050645
#fabrice,0.12246963562753051,0.17053768023297086,0.5831887410834778,2.6031161820635513,10.256410256410259,1.3856275303643728,0.5831887410834778,0.07667770825665572
#carlos,3.6923076923076925,1.3856275303643721,0.3324175824175825,0.4624125874125874,1.3856275303643721,18.692307692307686,3.7609890109890114,0.1118881118881119
#camille,0.6181318681318684,1.703489492963177,1.2564102564102564,0.9617049617049619,0.5831887410834778,3.760989010989009,26.256410256410255,0.0003330003330003306
#la-duchesse,0.11188811188811172,0.07667770825665572,0.48085248085248095,0.5191777919050645,0.07667770825665572,0.11188811188811172,0.0003330003330003306,20.102564102564102
Successions,#laure,#fenise,#federic,#le-duc,#fabrice,#carlos,#camille,#la-duchesse
#laure,0.016666666666666666,0.5333333333333333,0.0,0.05,0.31666666666666665,0.0,0.06666666666666667,0.016666666666666666
#fenise,0.19852941176470587,0.0,0.07352941176470588,0.3382352941176471,0.10294117647058823,0.07352941176470588,0.014705882352941176,0.19852941176470587
#federic,0.027777777777777776,0.2222222222222222,0.027777777777777776,0.5277777777777778,0.05555555555555555,0.1388888888888889,0.0,0.0
#le-duc,0.038461538461538464,0.22527472527472528,0.0989010989010989,0.02197802197802198,0.2967032967032967,0.07692307692307693,0.02197802197802198,0.21978021978021978
#fabrice,0.19387755102040816,0.16326530612244897,0.01020408163265306,0.5510204081632653,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.01020408163265306
#carlos,0.018518518518518517,0.18518518518518517,0.09259259259259259,0.24074074074074073,0.0,0.0,0.2962962962962963,0.16666666666666666
#camille,0.07407407407407407,0.14814814814814814,0.0,0.18518518518518517,0.07407407407407407,0.48148148148148145,0.0,0.037037037037037035
#la-duchesse,0.0379746835443038,0.31645569620253167,0.012658227848101266,0.4810126582278481,0.02531645569620253,0.12658227848101267,0.0,0.0
