VALEUR,#trigaudin,#madame-trigaudin,#grifonet,#griffonet,#toinon,#babet,#leandre,#guillot,#mathieu
Fréquences (scènes),0.6842105263157895,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421
Fréquences(répliques),0.42538975501113585,0.0467706013363029,0.0556792873051225,0.015590200445434299,0.1492204899777283,0.0334075723830735,0.1403118040089087,0.062360801781737196,0.07126948775055679
Confrontation,0.2631578947368421,0.013157894736842105,0.09210526315789473,0.05263157894736842,0.10526315789473684,0.07894736842105263,0.10526315789473684,0.14473684210526316,0.14473684210526316
Déviations,#trigaudin,#madame-trigaudin,#grifonet,#griffonet,#toinon,#babet,#leandre,#guillot,#mathieu
#trigaudin,1.8947368421052624,0.1457489878542511,0.19838056680161928,0.09919028340080964,0.2975708502024289,1.102226720647773,0.09797570850202429,0.09797570850202429,0.09797570850202429
#madame-trigaudin,0.145748987854251,17.05263157894737,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421
#grifonet,0.19838056680161947,0.21052631578947367,11.842105263157896,0.7960526315789475,0.05482456140350875,0.029605263157894756,1.0526315789473684,0.0026315789473684154,0.0026315789473684154
#griffonet,0.09919028340080974,0.10526315789473684,0.7960526315789475,15.210526315789474,0.631578947368421,0.42105263157894735,0.5263157894736842,0.42631578947368426,0.42631578947368426
#toinon,0.2975708502024293,0.3157894736842105,0.05482456140350875,0.631578947368421,8.894736842105264,0.4298245614035089,0.11228070175438594,1.5789473684210527,1.5789473684210527
#babet,1.1022267206477734,0.21052631578947367,0.029605263157894756,0.42105263157894735,0.4298245614035089,11.842105263157896,0.8526315789473685,1.0526315789473684,1.0526315789473684
#leandre,0.09797570850202429,0.2631578947368421,1.0526315789473684,0.5263157894736842,0.11228070175438594,0.8526315789473685,10.31578947368421,1.3157894736842104,1.3157894736842104
#guillot,0.09797570850202429,0.2631578947368421,0.0026315789473684154,0.42631578947368426,1.5789473684210527,1.0526315789473684,1.3157894736842104,10.31578947368421,10.31578947368421
#guillot,0.09797570850202429,0.2631578947368421,0.0026315789473684154,0.42631578947368426,1.5789473684210527,1.0526315789473684,1.3157894736842104,10.31578947368421,10.31578947368421
Successions,#trigaudin,#madame-trigaudin,#grifonet,#griffonet,#toinon,#babet,#leandre,#guillot,#mathieu
#trigaudin,0.039473684210526314,0.11842105263157894,0.11842105263157894,0.013157894736842105,0.06578947368421052,0.0,0.32894736842105265,0.13157894736842105,0.18421052631578946
#madame-trigaudin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#grifonet,0.6428571428571429,0.0,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
#madame-trigaudin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#toinon,0.35,0.0,0.15,0.0,0.1,0.2,0.2,0.0,0.0
#babet,0.1,0.0,0.2,0.0,0.6,0.0,0.1,0.0,0.0
#leandre,0.7333333333333333,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0
#guillot,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778
#mathieu,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.0
