VALEUR,#buttler,#tersky,#illo,#isolan,#gallas,#geraldin,#thecla,#alfred,#wallstein,#elise,#harald,#un-soldat,#un-second-soldat,#un-troisieme-soldat,#l-officier
Fréquences (scènes),0.18181818181818182,0.2727272727272727,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.18181818181818182,0.5,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456
Fréquences(répliques),0.05614515576857241,0.07052379322149949,0.03628894214310168,0.03526189661074974,0.09106470386853817,0.09756932557343376,0.1126326600479288,0.11537144813420061,0.3046901745977405,0.02156795617939062,0.03355015405682985,0.0006846970215679561,0.00034234851078397807,0.00034234851078397807,0.023964395754878465
Confrontation,0.09693877551020408,0.11224489795918367,0.09183673469387756,0.07142857142857142,0.061224489795918366,0.08673469387755102,0.1326530612244898,0.07142857142857142,0.17857142857142858,0.030612244897959183,0.00510204081632653,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.015306122448979591
Déviations,#buttler,#tersky,#illo,#isolan,#gallas,#geraldin,#thecla,#alfred,#wallstein,#elise,#harald,#un-soldat,#un-second-soldat,#un-troisieme-soldat,#l-officier
#buttler,29.45454545454545,0.640151515151515,0.4155844155844156,22.090909090909093,0.7575757575757578,5.844155844155845,1.744019138755981,0.14204545454545456,1.0,0.9090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365
#tersky,0.640151515151515,23.27272727272727,2.2900432900432897,0.2474747474747474,0.08080808080808087,0.004329004329004321,1.9537480063795853,0.640151515151515,1.5,1.3636363636363635,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454
#illo,0.4155844155844156,2.29004329004329,31.113636363636367,0.0021645021645021714,0.0021645021645021714,0.7054730983302414,0.3460355434039646,0.05844155844155843,0.6428571428571429,0.7954545454545455,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.3181818181818182
#isolan,22.090909090909093,0.2474747474747474,0.0021645021645021606,32.81818181818182,1.7070707070707074,1.1450216450216448,0.9768740031897927,1.0909090909090908,1.3333333333333333,0.6818181818181818,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.2727272727272727
#gallas,0.7575757575757578,0.08080808080808087,0.0021645021645021606,1.7070707070707074,32.81818181818182,4.383116883116883,0.9768740031897927,0.007575757575757562,3.0,0.6818181818181818,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.2727272727272727
#geraldin,5.844155844155845,0.004329004329004343,0.7054730983302414,1.145021645021645,4.383116883116884,31.113636363636367,1.3535543403964458,0.05844155844155843,0.6428571428571429,0.7954545454545455,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.1590909090909091,0.3181818181818182
#thecla,1.744019138755981,1.9537480063795853,0.34603554340396436,0.9768740031897927,0.9768740031897927,1.3535543403964454,14.204545454545453,0.6913875598086123,1.2894736842105263,3.7380382775119614,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.4318181818181818,1.4952153110047843
#alfred,0.14204545454545456,0.640151515151515,0.05844155844155843,1.0909090909090908,0.007575757575757562,0.05844155844155843,0.6913875598086123,29.45454545454545,0.0,0.9090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365
#wallstein,1.0,1.5,0.6428571428571429,1.3333333333333333,3.0,0.6428571428571429,1.2894736842105263,0.0,11.0,0.9,0.5,0.5,0.5,0.5,0.0
#elise,0.9090909090909092,1.3636363636363635,0.7954545454545455,0.6818181818181818,0.6818181818181818,0.7954545454545455,3.7380382775119614,0.9090909090909092,0.9,34.56818181818182,0.11363636363636365,0.11363636363636365,0.11363636363636365,0.11363636363636365,0.2272727272727273
#harald,0.18181818181818182,0.2727272727272727,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.18181818181818182,0.5,0.11363636363636363,42.02272727272727,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456
#un-soldat,0.18181818181818182,0.2727272727272727,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.18181818181818182,0.5,0.11363636363636363,0.022727272727272728,42.02272727272727,42.02272727272727,42.02272727272727,0.045454545454545456
#un-soldat,0.18181818181818182,0.2727272727272727,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.18181818181818182,0.5,0.11363636363636363,0.022727272727272728,42.02272727272727,42.02272727272727,42.02272727272727,0.045454545454545456
#un-soldat,0.18181818181818182,0.2727272727272727,0.1590909090909091,0.13636363636363635,0.13636363636363635,0.1590909090909091,0.4318181818181818,0.18181818181818182,0.5,0.11363636363636363,0.022727272727272728,42.02272727272727,42.02272727272727,42.02272727272727,0.045454545454545456
#l-officier,0.36363636363636365,0.5454545454545454,0.3181818181818182,0.2727272727272727,0.2727272727272727,0.3181818181818182,1.4952153110047843,0.36363636363636365,0.0,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,40.09090909090909
Successions,#buttler,#tersky,#illo,#isolan,#gallas,#geraldin,#thecla,#alfred,#wallstein,#elise,#harald,#un-soldat,#un-second-soldat,#un-troisieme-soldat,#l-officier
#buttler,0.0,0.024390243902439025,0.04878048780487805,0.4878048780487805,0.04878048780487805,0.24390243902439024,0.0,0.0,0.12195121951219512,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
#tersky,0.06521739130434782,0.0,0.10869565217391304,0.0,0.0,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0
#illo,0.038461538461538464,0.19230769230769232,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0
#isolan,0.7307692307692307,0.038461538461538464,0.0,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gallas,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.24444444444444444,0.06666666666666667,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#geraldin,0.24324324324324326,0.0,0.0,0.02702702702702703,0.32432432432432434,0.0,0.0,0.0,0.40540540540540543,0.0,0.0,0.0,0.0,0.0,0.0
#thecla,0.0,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.07246376811594203,0.0,0.043478260869565216,0.13043478260869565,0.2028985507246377,0.30434782608695654,0.0,0.0,0.0,0.0,0.18840579710144928
#alfred,0.020833333333333332,0.020833333333333332,0.0,0.0,0.4583333333333333,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#wallstein,0.06060606060606061,0.26515151515151514,0.12878787878787878,0.0,0.0,0.10606060606060606,0.07575757575757576,0.11363636363636363,0.05303030303030303,0.030303030303030304,0.12878787878787878,0.0,0.0,0.007575757575757576,0.030303030303030304
#elise,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
#harald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#harald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-second-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#un-troisieme-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#l-officier,0.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
