VALEUR,#parmenon,#phedrie,#thais,#gnaton,#pamphile,#cheree,#thrason,#damis,#pythie,#dorus,#dorie,#chremes,#syrisce,#sanga,#donax
Fréquences (scènes),0.5161290322580645,0.3548387096774194,0.2903225806451613,0.25806451612903225,0.12903225806451613,0.1935483870967742,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.03225806451612903,0.03225806451612903,0.03225806451612903
Fréquences(répliques),0.24059405940594059,0.12425742574257426,0.10297029702970296,0.12425742574257426,0.03861386138613861,0.10297029702970296,0.0806930693069307,0.06732673267326733,0.06188118811881188,0.0024752475247524753,0.0014851485148514852,0.048514851485148516,0.0004950495049504951,0.0029702970297029703,0.0004950495049504951
Confrontation,0.1308411214953271,0.14953271028037382,0.09813084112149532,0.0794392523364486,0.04205607476635514,0.102803738317757,0.07009345794392523,0.056074766355140186,0.037383177570093455,0.014018691588785047,0.018691588785046728,0.102803738317757,0.03271028037383177,0.03271028037383177,0.03271028037383177
Déviations,#parmenon,#phedrie,#thais,#gnaton,#pamphile,#cheree,#thrason,#damis,#pythie,#dorus,#dorie,#chremes,#syrisce,#sanga,#donax
#parmenon,7.258064516129033,0.30810117302052775,0.5826612903225808,0.30871975806451607,0.002016129032258061,0.2634408602150538,0.38844086021505375,1.8145161290322582,2.064516129032258,0.5161290322580645,1.032258064516129,0.0030241935483870915,0.5161290322580645,0.5161290322580645,0.5161290322580645
#phedrie,0.30810117302052775,12.903225806451612,1.021831215379602,1.1909824046920823,0.123900293255132,1.6441837732160316,0.5987292277614857,0.23753665689149553,0.23753665689149553,1.1730205278592374,0.11876832844574776,1.6441837732160316,1.1730205278592374,1.1730205278592374,1.1730205278592374
#thais,0.5826612903225803,1.021831215379602,15.612903225806448,0.044802867383512475,0.022401433691756237,0.3160095579450418,0.038231780167264036,0.022401433691756237,2.911290322580646,1.7347670250896063,0.30286738351254494,0.3160095579450418,0.29032258064516125,0.29032258064516125,0.29032258064516125
#gnaton,0.30871975806451607,1.1909824046920823,0.044802867383512586,17.06451612903226,0.0010080645161290305,0.19422043010752688,7.694220430107527,1.032258064516129,1.032258064516129,0.25806451612903225,0.5161290322580645,0.19422043010752688,2.1330645161290325,2.1330645161290325,2.1330645161290325
#pamphile,0.002016129032258061,0.123900293255132,0.022401433691756293,0.0010080645161290305,23.516129032258064,1.9408602150537635,0.7741935483870968,0.45362903225806456,0.5161290322580645,0.12903225806451613,0.25806451612903225,0.06586021505376345,0.12903225806451613,0.12903225806451613,0.12903225806451613
#cheree,0.2634408602150538,1.6441837732160316,0.316009557945042,0.19422043010752688,1.9408602150537635,20.16129032258065,0.022401433691756237,1.9408602150537635,0.7741935483870968,0.1935483870967742,0.3870967741935484,6.939068100358425,3.3602150537634405,3.3602150537634405,3.3602150537634405
