VALEUR,#lisis,#clarimond,#adrian,#anselme,#charite,#lucide,#montenor,#angelique,#motenor,#hircan,#satyre,#sinope,#clorise
Fréquences (scènes),0.6060606060606061,0.3939393939393939,0.09090909090909091,0.3333333333333333,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.42424242424242425,0.030303030303030304,0.18181818181818182,0.030303030303030304,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.34755512943432404,0.13854266538830298,0.042665388302972194,0.05656759348034516,0.14237775647171622,0.046021093000958774,0.030680728667305847,0.07526366251198466,0.0014381591562799617,0.05896452540747843,0.012943432406519654,0.03978906999041227,0.007190795781399808
Confrontation,0.14583333333333334,0.11904761904761904,0.020833333333333332,0.1130952380952381,0.1488095238095238,0.08630952380952381,0.09523809523809523,0.1488095238095238,0.020833333333333332,0.02976190476190476,0.011904761904761904,0.02976190476190476,0.02976190476190476
Déviations,#lisis,#clarimond,#adrian,#anselme,#charite,#lucide,#montenor,#angelique,#motenor,#hircan,#satyre,#sinope,#clorise
#lisis,5.121212121212121,0.0018648018648018615,0.018181818181818146,0.4166666666666664,0.13090909090909067,0.38787878787878766,0.05454545454545463,0.7277056277056275,0.25606060606060604,0.7363636363636366,0.25606060606060604,0.7681818181818179,0.7681818181818179
#clarimond,0.0018648018648018615,12.121212121212121,2.7972027972027966,0.10256410256410267,0.20139860139860136,0.08391608391608377,0.08391608391608377,1.119547119547119,0.9324009324009325,0.7867132867132868,0.9324009324009325,1.1818181818181819,1.1818181818181819
#adrian,0.018181818181818146,2.797202797202798,27.272727272727277,1.0,1.3636363636363635,0.8181818181818181,0.040404040404040435,0.05844155844155843,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.2727272727272727,0.2727272727272727
#anselme,0.41666666666666674,0.10256410256410267,1.0,14.66666666666667,0.8,1.3333333333333333,0.3333333333333333,2.3809523809523805,1.333333333333333,0.5,0.33333333333333337,0.0,0.0
#charite,0.13090909090909109,0.20139860139860136,1.3636363636363638,0.8,9.818181818181818,2.0686868686868687,0.20202020202020204,2.077922077922077,0.6545454545454544,0.19393939393939405,0.6545454545454544,0.09696969696969703,0.09696969696969703
#lucide,0.3878787878787881,0.0839160839160839,0.8181818181818182,1.3333333333333333,2.0686868686868687,17.45454545454546,0.9730639730639737,0.3658008658008657,1.9393939393939397,1.6363636363636365,0.2727272727272727,0.8181818181818182,0.8181818181818182
#montenor,0.05454545454545444,0.0839160839160839,0.04040404040404038,0.3333333333333333,0.20202020202020204,0.9730639730639737,17.45454545454546,0.3658008658008657,1.9393939393939397,0.24747474747474754,0.2727272727272727,0.04040404040404038,0.04040404040404038
#angelique,0.7277056277056275,1.11954711954712,0.05844155844155843,2.380952380952382,2.077922077922078,0.365800865800866,0.365800865800866,10.93939393939394,0.7813852813852812,0.08116883116883118,0.7813852813852812,0.05844155844155843,0.05844155844155843
#motenor,0.25606060606060604,0.9324009324009325,0.09090909090909091,1.3333333333333337,0.6545454545454544,1.9393939393939397,1.9393939393939397,0.7813852813852812,31.03030303030303,0.18181818181818182,0.030303030303030304,0.09090909090909091,0.09090909090909091
#hircan,0.7363636363636366,0.7867132867132864,0.5454545454545454,0.5,0.19393939393939383,1.6363636363636362,0.2474747474747474,0.08116883116883118,0.18181818181818182,22.090909090909093,0.18181818181818182,0.5454545454545454,0.5454545454545454
#satyre,0.25606060606060604,0.9324009324009325,0.09090909090909091,0.3333333333333333,0.6545454545454544,0.2727272727272727,0.2727272727272727,0.7813852813852812,0.030303030303030304,0.18181818181818182,31.03030303030303,0.09090909090909091,0.09090909090909091
#sinope,0.7681818181818179,1.1818181818181817,0.2727272727272727,0.0,0.09696969696969691,0.8181818181818181,0.040404040404040435,0.05844155844155843,0.09090909090909091,0.5454545454545454,0.09090909090909091,27.272727272727277,27.272727272727277
