VALEUR,#lise,#langoumois,#hortense,#eraste,#alcipe,#la-vicomtesse,#cesar,#lysandre,#sylviane
Fréquences (scènes),0.25,0.28125,0.375,0.65625,0.34375,0.3125,0.03125,0.21875,0.125
Fréquences(répliques),0.0,0.0,0.20408163265306123,0.24489795918367346,0.20408163265306123,0.0,0.0,0.3469387755102041,0.0
Confrontation,0.06707317073170732,0.07317073170731707,0.17073170731707318,0.23170731707317074,0.15853658536585366,0.1402439024390244,0.012195121951219513,0.0975609756097561,0.04878048780487805
Déviations,#lise,#langoumois,#hortense,#eraste,#alcipe,#la-vicomtesse,#cesar,#lysandre,#sylviane
#lise,18.0,0.25,0.0,2.011904761904762,2.75,2.5,0.25,0.03571428571428571,0.0
#langoumois,0.25,16.53125,3.375,0.2025462962962963,1.4169823232323233,1.1680555555555556,0.28125,1.96875,1.125
#hortense,0.0,3.375,12.5,0.001984126984126984,0.1856060606060606,0.4166666666666667,0.375,2.1488095238095237,0.16666666666666666
#eraste,2.011904761904762,0.2025462962962963,0.001984126984126984,3.78125,0.4395292207792208,0.048214285714285716,0.65625,0.5529336734693877,0.05357142857142857
#alcipe,2.75,1.4169823232323233,0.1856060606060606,0.4395292207792208,13.78125,1.9102272727272727,1.2528409090909092,0.14650974025974026,0.10227272727272728
#la-vicomtesse,2.5,1.1680555555555556,0.4166666666666667,0.048214285714285716,1.9102272727272727,15.125,1.5125,0.30178571428571427,0.05
#cesar,0.25,0.28125,0.375,0.65625,1.2528409090909092,1.5125,30.03125,0.21875,0.125
#lysandre,0.03571428571428571,1.96875,2.1488095238095237,0.5529336734693877,0.14650974025974026,0.30178571428571427,0.21875,19.53125,0.875
#sylviane,0.0,1.125,0.16666666666666666,0.05357142857142857,0.10227272727272728,0.05,0.125,0.875,24.5
Successions,#lise,#langoumois,#hortense,#eraste,#alcipe,#la-vicomtesse,#cesar,#lysandre,#sylviane
#lise,0.0,0.46511627906976744,0.23255813953488372,0.11627906976744186,0.0,0.0,0.0,0.13953488372093023,0.046511627906976744
#langoumois,0.4318181818181818,0.022727272727272728,0.0,0.4772727272727273,0.0,0.06818181818181818,0.0,0.0,0.0
#hortense,0.10752688172043011,0.0,0.0,0.5161290322580645,0.0967741935483871,0.08602150537634409,0.0,0.17204301075268819,0.021505376344086023
#eraste,0.03910614525139665,0.11173184357541899,0.26256983240223464,0.0335195530726257,0.24022346368715083,0.16201117318435754,0.0,0.11173184357541899,0.03910614525139665
#alcipe,0.0,0.012987012987012988,0.09090909090909091,0.5584415584415584,0.025974025974025976,0.24675324675324675,0.012987012987012988,0.05194805194805195,0.0
#la-vicomtesse,0.0,0.029411764705882353,0.10294117647058823,0.39705882352941174,0.2647058823529412,0.029411764705882353,0.014705882352941176,0.14705882352941177,0.014705882352941176
#cesar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#lysandre,0.10714285714285714,0.0,0.35714285714285715,0.35714285714285715,0.08928571428571429,0.08928571428571429,0.0,0.0,0.0
#sylviane,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
