VALEUR,#hipolite,#jacinte,#le-premier-nicandre,#ragotin,#ismene,#le-second-nicandre,#robin,#isidore,#le-commisaire,#eutrope,#le-sergent
Fréquences (scènes),0.375,0.48214285714285715,0.35714285714285715,0.16071428571428573,0.19642857142857142,0.23214285714285715,0.48214285714285715,0.16071428571428573,0.017857142857142856,0.14285714285714285,0.03571428571428571
Fréquences(répliques),0.10184287099903007,0.1425800193986421,0.14888457807953442,0.05722599418040737,0.12269641125121242,0.11590688651794374,0.24102812803103782,0.037827352085354024,0.002909796314258002,0.025703200775945685,0.0033947623666343357
Confrontation,0.14324324324324325,0.1810810810810811,0.08378378378378379,0.05675675675675676,0.08648648648648649,0.10270270270270271,0.14864864864864866,0.0918918918918919,0.002702702702702703,0.0891891891891892,0.013513513513513514
Déviations,#hipolite,#jacinte,#le-premier-nicandre,#ragotin,#ismene,#le-second-nicandre,#robin,#isidore,#le-commisaire,#eutrope,#le-sergent
#hipolite,21.875,6.125,1.6333333333333333,0.11574074074074056,0.8522727272727273,0.25961538461538464,0.9645061728395061,0.7824074074074069,0.375,0.0,0.75
#jacinte,6.125,15.017857142857144,0.7243386243386241,0.026528512639623768,0.017376142376142406,0.4786833536833534,0.07958553791887117,0.6355820105820105,0.4821428571428571,1.190476190476191,0.00132275132275133
#le-premier-nicandre,1.6333333333333333,0.7243386243386241,23.142857142857142,0.45873015873015877,0.0012987012987013056,1.5043956043956046,0.7243386243386241,0.45873015873015877,0.3571428571428571,0.007142857142857182,0.7142857142857142
#ragotin,0.11574074074074074,0.026528512639623768,0.45873015873015877,39.44642857142857,2.818362193362194,0.0038156288156288264,2.569738389182834,0.21186067019400334,0.1607142857142857,0.396825396825397,0.3214285714285714
#ismene,0.8522727272727273,0.017376142376142406,0.0012987012987012894,2.8183621933621925,36.16071428571429,0.12000499500499509,0.32040644540644553,0.8587662337662335,3.287337662337663,1.2987012987012987,0.39285714285714285
#le-second-nicandre,0.25961538461538464,0.4786833536833534,1.5043956043956046,0.0038156288156288264,0.12000499500499492,33.017857142857146,5.242216117216116,0.39697802197802184,0.23214285714285712,0.7032967032967036,0.46428571428571425
#robin,0.9645061728395061,0.07958553791887117,0.7243386243386241,2.569738389182834,0.32040644540644553,5.242216117216116,15.017857142857144,0.10060258671369779,0.4821428571428571,0.3386243386243389,1.1124338624338628
#isidore,0.7824074074074074,0.6355820105820105,0.45873015873015877,0.21186067019400334,0.8587662337662338,0.39697802197802184,0.10060258671369779,39.44642857142857,0.1607142857142857,25.3968253968254,1.4325396825396828
#le-commisaire,0.375,0.48214285714285715,0.35714285714285715,0.16071428571428573,3.287337662337663,0.23214285714285715,0.48214285714285715,0.16071428571428573,54.017857142857146,0.14285714285714285,0.03571428571428571
#eutrope,0.0,1.1904761904761902,0.007142857142857136,0.3968253968253967,1.2987012987012987,0.7032967032967032,0.3386243386243386,25.396825396825395,0.14285714285714285,41.14285714285715,1.7857142857142858
#le-sergent,0.75,0.0013227513227513216,0.7142857142857143,0.32142857142857145,0.39285714285714285,0.4642857142857143,1.112433862433862,1.4325396825396826,0.03571428571428571,1.7857142857142858,52.07142857142858
Successions,#hipolite,#jacinte,#le-premier-nicandre,#ragotin,#ismene,#le-second-nicandre,#robin,#isidore,#le-commisaire,#eutrope,#le-sergent
#hipolite,0.0,0.23809523809523808,0.10476190476190476,0.009523809523809525,0.22857142857142856,0.24761904761904763,0.10476190476190476,0.06666666666666667,0.0,0.0,0.0
#jacinte,0.18,0.013333333333333334,0.26666666666666666,0.08,0.04666666666666667,0.11333333333333333,0.24666666666666667,0.02666666666666667,0.0,0.02666666666666667,0.0
#le-premier-nicandre,0.09859154929577464,0.28169014084507044,0.0,0.11971830985915492,0.16901408450704225,0.028169014084507043,0.2746478873239437,0.007042253521126761,0.0,0.02112676056338028,0.0
#ragotin,0.03076923076923077,0.16923076923076924,0.26153846153846155,0.0,0.26153846153846155,0.26153846153846155,0.0,0.0,0.0,0.015384615384615385,0.0
#ismene,0.25,0.08333333333333333,0.22916666666666666,0.16666666666666666,0.010416666666666666,0.0625,0.13541666666666666,0.010416666666666666,0.03125,0.020833333333333332,0.0
#le-second-nicandre,0.17557251908396945,0.1297709923664122,0.030534351145038167,0.1297709923664122,0.03816793893129771,0.0,0.48854961832061067,0.007633587786259542,0.0,0.0,0.0
#robin,0.055248618784530384,0.1878453038674033,0.24861878453038674,0.0055248618784530384,0.06629834254143646,0.3314917127071823,0.016574585635359115,0.016574585635359115,0.0,0.04419889502762431,0.027624309392265192
#isidore,0.18518518518518517,0.25925925925925924,0.037037037037037035,0.0,0.037037037037037035,0.0,0.1111111111111111,0.0,0.0,0.37037037037037035,0.0
#le-commisaire,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#eutrope,0.03571428571428571,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.21428571428571427,0.35714285714285715,0.0,0.0,0.03571428571428571
#le-sergent,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
