VALEUR,#la-france,#la-victoire,#mars,#la-paix,#la-discorde,#l-envie,#l-hymenee,#choeur-de-musique,#medee,#chalciope,#aaete,#absyrte,#jason,#pelee,#iphite,#orphee,#iris,#junon,#pallas,#sirenes,#hypsipyle,#glauque,#voix,#amour,#zethes,#calais,#soleil,#jupiter
Fréquences (scènes),0.08823529411764706,0.058823529411764705,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
Fréquences(répliques),0.02736098852603707,0.01500441306266549,0.0088261253309797,0.03398058252427184,0.00088261253309797,0.00088261253309797,0.0176522506619594,0.00176522506619594,0.19329214474845544,0.0353045013239188,0.1412180052956752,0.09532215357458076,0.14827890556045895,0.00617828773168579,0.00529567519858782,0.00794351279788173,0.00441306266548985,0.08384819064430715,0.0048543689320388345,0.00529567519858782,0.12312444836716681,0.00617828773168579,0.00353045013239188,0.00353045013239188,0.00264783759929391,0.00176522506619594,0.011915269196822596,0.009708737864077669
Confrontation,0.03515625,0.015625,0.0,0.03125,0.01953125,0.01953125,0.03125,0.01953125,0.09375,0.01171875,0.08984375,0.0703125,0.125,0.02734375,0.0078125,0.03515625,0.01953125,0.09765625,0.01953125,0.0234375,0.09375,0.0234375,0.00390625,0.0078125,0.03125,0.015625,0.015625,0.015625
Déviations,#la-france,#la-victoire,#mars,#la-paix,#la-discorde,#l-envie,#l-hymenee,#choeur-de-musique,#medee,#chalciope,#aaete,#absyrte,#jason,#pelee,#iphite,#orphee,#iris,#junon,#pallas,#sirenes,#hypsipyle,#glauque,#voix,#amour,#zethes,#calais,#soleil,#jupiter
#la-france,28.264705882352942,18.84313725490196,0.08823529411764705,11.375816993464053,9.42156862745098,9.42156862745098,18.84313725490196,9.42156862745098,1.0588235294117647,0.1764705882352941,0.8823529411764706,0.7941176470588235,1.2352941176470589,0.1764705882352941,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.7941176470588235,0.08823529411764705,0.08823529411764705,0.9705882352941178,0.08823529411764705,0.08823529411764705,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.08823529411764705,0.08823529411764705
#la-victoire,18.843137254901958,30.11764705882353,0.058823529411764705,3.8431372549019605,0.058823529411764705,0.058823529411764705,6.617647058823529,0.058823529411764705,0.7058823529411765,0.11764705882352941,0.5882352941176471,0.5294117647058824,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.5294117647058824,0.058823529411764705,0.058823529411764705,0.6470588235294118,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705
#mars,0.08823529411764706,0.058823529411764705,32.029411764705884,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#la-paix,11.375816993464053,3.843137254901961,0.08823529411764705,28.264705882352942,9.42156862745098,9.42156862745098,18.84313725490196,9.42156862745098,1.0588235294117647,0.1764705882352941,0.8823529411764706,0.7941176470588235,1.2352941176470589,0.1764705882352941,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.7941176470588235,0.08823529411764705,0.08823529411764705,0.9705882352941178,0.08823529411764705,0.08823529411764705,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.08823529411764705,0.08823529411764705
#la-discorde,9.421568627450979,0.058823529411764705,0.029411764705882353,9.421568627450979,32.029411764705884,32.029411764705884,15.058823529411764,32.029411764705884,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
#la-discorde,9.421568627450979,0.058823529411764705,0.029411764705882353,9.421568627450979,32.029411764705884,32.029411764705884,15.058823529411764,32.029411764705884,0.35294117647058826,0.058823529411764705,0.29411764705882354,0.2647058823529412,0.4117647058823529,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.029411764705882353,0.029411764705882353
