VALEUR,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
Fréquences (scènes),0.11538461538461539,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.4230769230769231,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.038461538461538464
Fréquences(répliques),0.05240174672489083,0.2495321272613849,0.10106051154086089,0.019962570180910792,0.330630068621335,0.07673112913287586,0.10605115408608859,0.046163443543356206,0.017467248908296942
Confrontation,0.06896551724137931,0.1896551724137931,0.1724137931034483,0.13793103448275862,0.15517241379310345,0.08620689655172414,0.13793103448275862,0.034482758620689655,0.017241379310344827
Déviations,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
#pollux,20.346153846153843,0.020512820512820544,0.6923076923076923,0.6282051282051281,1.2692307692307692,0.6923076923076923,2.47008547008547,0.34615384615384615,0.11538461538461539
#jason,0.020512820512820544,9.846153846153845,1.2410256410256404,0.1384615384615384,1.1762237762237762,0.7410256410256412,0.7410256410256412,1.153846153846154,0.38461538461538464
#creuse,0.6923076923076923,1.2410256410256404,15.384615384615381,4.673076923076922,2.5384615384615383,1.3846153846153846,0.27350427350427353,0.13675213675213677,0.23076923076923078
#cleone,0.6282051282051281,0.1384615384615384,4.673076923076922,18.615384615384613,1.6923076923076923,0.9230769230769231,1.2564102564102562,0.46153846153846156,0.15384615384615385
#medee,1.2692307692307694,1.1762237762237762,2.5384615384615388,1.6923076923076925,8.653846153846152,0.8414918414918411,0.9324009324009327,0.05710955710955717,0.7867132867132864
#nerine,0.6923076923076923,0.7410256410256412,1.3846153846153846,0.9230769230769231,0.8414918414918418,15.384615384615381,1.3846153846153846,0.6923076923076923,0.23076923076923078
#creon,2.47008547008547,0.7410256410256412,0.27350427350427353,1.2564102564102562,0.9324009324009324,1.3846153846153846,15.384615384615381,0.6923076923076923,0.23076923076923078
#aegee,0.34615384615384615,1.153846153846154,0.13675213675213677,0.46153846153846156,0.057109557109557084,0.6923076923076923,0.6923076923076923,20.346153846153843,0.11538461538461539
#theudas,0.11538461538461539,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.7867132867132866,0.23076923076923078,0.23076923076923078,0.11538461538461539,24.038461538461537
Successions,#pollux,#jason,#creuse,#cleone,#medee,#nerine,#creon,#aegee,#theudas
#pollux,0.0,0.5789473684210527,0.0,0.05263157894736842,0.0,0.0,0.3684210526315789,0.0,0.0
#jason,0.2727272727272727,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.4318181818181818,0.06818181818181818,0.022727272727272728,0.0,0.0
#creuse,0.0,0.4117647058823529,0.0,0.17647058823529413,0.0,0.0,0.29411764705882354,0.11764705882352941,0.0
#cleone,0.125,0.125,0.5,0.0,0.0,0.0,0.25,0.0,0.0
#medee,0.0,0.3508771929824561,0.0,0.017543859649122806,0.05263157894736842,0.2807017543859649,0.14035087719298245,0.07017543859649122,0.08771929824561403
#nerine,0.0,0.09523809523809523,0.0,0.0,0.8095238095238095,0.047619047619047616,0.0,0.047619047619047616,0.0
#creon,0.2692307692307692,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.0,0.0
#aegee,0.0,0.0,0.3333333333333333,0.0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0
#theudas,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0
