VALEUR,#zopire,#darie,#megabise,#hesione,#araminte,#cleone,#oropaste,#patisite,#mitrobate,#le-garde
Fréquences (scènes),0.36666666666666664,0.26666666666666666,0.26666666666666666,0.5,0.26666666666666666,0.1,0.5,0.36666666666666664,0.06666666666666667,0.03333333333333333
Fréquences(répliques),0.12444046553267682,0.03983885407341092,0.2135183527305282,0.1432408236347359,0.05550581915846016,0.01566696508504924,0.3187108325872874,0.08728737690241718,0.0008952551477170994,0.0008952551477170994
Confrontation,0.13068181818181818,0.11931818181818182,0.07954545454545454,0.19318181818181818,0.11363636363636363,0.05113636363636364,0.17045454545454544,0.10795454545454546,0.022727272727272728,0.011363636363636364
Déviations,#zopire,#darie,#megabise,#hesione,#araminte,#cleone,#oropaste,#patisite,#mitrobate,#le-garde
#zopire,12.033333333333335,1.4560606060606063,0.2969696969696969,0.045454545454545456,1.4560606060606063,0.009090909090909106,2.227272727272727,1.0250688705234159,0.7333333333333333,0.36666666666666664
#darie,1.4560606060606063,16.133333333333336,0.6020833333333333,2.25,1.6333333333333335,1.7999999999999998,1.0,2.933333333333333,0.5333333333333333,0.26666666666666666
#megabise,0.2969696969696969,0.6020833333333333,16.133333333333336,1.0,0.6020833333333333,0.8000000000000002,0.25,1.4560606060606063,0.5333333333333333,0.26666666666666666
#hesione,0.045454545454545456,2.25,1.0,7.5,1.0,1.5,0.03333333333333333,2.227272727272727,0.0,0.5
#araminte,1.4560606060606063,1.6333333333333335,0.6020833333333333,1.0,16.133333333333336,0.049999999999999975,0.25,2.933333333333333,0.5333333333333333,0.26666666666666666
#cleone,0.009090909090909068,1.7999999999999998,0.8000000000000002,1.5,0.049999999999999975,24.3,0.16666666666666666,1.0999999999999999,0.20000000000000004,0.10000000000000002
#oropaste,2.227272727272727,1.0,0.25,0.03333333333333333,0.25,0.16666666666666666,7.5,1.1363636363636365,1.0,0.5
#patisite,1.0250688705234159,2.933333333333333,1.4560606060606063,2.227272727272727,2.933333333333333,1.1,1.1363636363636365,12.033333333333335,0.09696969696969701,1.093939393939394
#mitrobate,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,0.20000000000000004,1.0,0.09696969696969701,26.133333333333336,0.06666666666666667
#le-garde,0.36666666666666664,0.26666666666666666,0.26666666666666666,0.5,0.26666666666666666,0.10000000000000002,0.5,1.093939393939394,0.06666666666666667,28.03333333333333
Successions,#zopire,#darie,#megabise,#hesione,#araminte,#cleone,#oropaste,#patisite,#mitrobate,#le-garde
#zopire,0.0,0.10256410256410256,0.1794871794871795,0.1794871794871795,0.24358974358974358,0.0,0.0641025641025641,0.23076923076923078,0.0,0.0
#darie,0.2413793103448276,0.0,0.06896551724137931,0.3793103448275862,0.3103448275862069,0.0,0.0,0.0,0.0,0.0
#megabise,0.20689655172413793,0.06896551724137931,0.017241379310344827,0.10344827586206896,0.0,0.017241379310344827,0.25862068965517243,0.3275862068965517,0.0,0.0
#hesione,0.16304347826086957,0.09782608695652174,0.06521739130434782,0.0,0.06521739130434782,0.07608695652173914,0.4673913043478261,0.06521739130434782,0.0,0.0
#araminte,0.4772727272727273,0.18181818181818182,0.022727272727272728,0.1590909090909091,0.0,0.0,0.1590909090909091,0.0,0.0,0.0
#cleone,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0
#oropaste,0.02654867256637168,0.0,0.12389380530973451,0.336283185840708,0.07964601769911504,0.008849557522123894,0.017699115044247787,0.37168141592920356,0.017699115044247787,0.017699115044247787
#patisite,0.24705882352941178,0.0,0.23529411764705882,0.08235294117647059,0.0,0.0,0.43529411764705883,0.0,0.0,0.0
#mitrobate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#le-garde,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
