VALEUR,#cassandre,#le-choeur,#andromaque,#hector,#nourrice,#priam,#hecube,#antenor,#messager,#helene
Fréquences (scènes),0.3333333333333333,1.0,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666
Fréquences(répliques),0.05105386416861827,0.1433255269320843,0.22763466042154568,0.17423887587822015,0.017330210772833723,0.15737704918032788,0.06838407494145199,0.060421545667447306,0.06838407494145199,0.03185011709601874
Confrontation,0.05555555555555555,0.19444444444444445,0.14814814814814814,0.10185185185185185,0.046296296296296294,0.12962962962962962,0.12962962962962962,0.08333333333333333,0.07407407407407407,0.037037037037037035
Déviations,#cassandre,#le-choeur,#andromaque,#hector,#nourrice,#priam,#hecube,#antenor,#messager,#helene
#cassandre,2.6666666666666674,0.0,0.0833333333333333,1.0,0.3333333333333333,0.0,0.0,0.1666666666666667,0.6666666666666666,0.3333333333333333
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#andromaque,0.0833333333333333,0.0,0.6666666666666669,0.0,0.1666666666666667,0.5,0.5,0.0833333333333333,0.0833333333333333,0.6666666666666666
#hector,1.0,0.0,0.0,1.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5
#nourrice,0.3333333333333333,0.0,0.1666666666666667,0.5,4.166666666666668,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666
#priam,0.0,0.0,0.5,0.16666666666666666,0.5,1.5,1.5,0.0,0.0,0.5
#priam,0.0,0.0,0.5,0.16666666666666666,0.5,1.5,1.5,0.0,0.0,0.5
#antenor,0.1666666666666667,0.0,0.0833333333333333,0.0,0.3333333333333333,0.0,0.0,2.6666666666666674,0.1666666666666667,1.3333333333333337
#messager,0.6666666666666666,0.0,0.0833333333333333,0.0,0.3333333333333333,0.0,0.0,0.1666666666666667,2.6666666666666674,1.3333333333333337
#helene,0.3333333333333333,0.0,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,1.3333333333333337,1.3333333333333337,4.166666666666668
Successions,#cassandre,#le-choeur,#andromaque,#hector,#nourrice,#priam,#hecube,#antenor,#messager,#helene
#cassandre,0.0,0.9615384615384616,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.41935483870967744,0.04838709677419355,0.14516129032258066,0.2903225806451613,0.0,0.04838709677419355,0.016129032258064516,0.0,0.016129032258064516,0.016129032258064516
#andromaque,0.011235955056179775,0.11235955056179775,0.0,0.16853932584269662,0.1348314606741573,0.5168539325842697,0.0449438202247191,0.011235955056179775,0.0,0.0
#hector,0.0,0.2,0.18823529411764706,0.0,0.0,0.4235294117647059,0.011764705882352941,0.1411764705882353,0.03529411764705882,0.0
#nourrice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#priam,0.0,0.025423728813559324,0.3644067796610169,0.3135593220338983,0.0,0.0,0.23728813559322035,0.025423728813559324,0.03389830508474576,0.0
#hecube,0.0,0.02857142857142857,0.17142857142857143,0.0,0.0,0.7428571428571429,0.0,0.0,0.05714285714285714,0.0
#antenor,0.0,0.0,0.0625,0.75,0.0,0.1875,0.0,0.0,0.0,0.0
#messager,0.0,0.1,0.1,0.3,0.0,0.4,0.1,0.0,0.0,0.0
#helene,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
