VALEUR,#le-roi,#araxe,#berenice,#clitie,#philoclee,#philoxene,#anaxaris,#iphite,#hesione,#cleophis
Fréquences (scènes),0.3125,0.25,0.375,0.125,0.4375,0.3125,0.375,0.125,0.0625,0.03125
Fréquences(répliques),0.14951923076923077,0.1293269230769231,0.2144230769230769,0.02548076923076923,0.11057692307692307,0.1764423076923077,0.13942307692307693,0.022115384615384617,0.0057692307692307696,0.026923076923076925
Confrontation,0.16153846153846155,0.1076923076923077,0.13076923076923078,0.038461538461538464,0.19230769230769232,0.14615384615384616,0.13076923076923078,0.038461538461538464,0.015384615384615385,0.038461538461538464
Déviations,#le-roi,#araxe,#berenice,#clitie,#philoclee,#philoxene,#anaxaris,#iphite,#hesione,#cleophis
#le-roi,15.125,0.9,0.8166666666666667,0.05,1.575,0.005,0.15,1.25,0.625,1.5125
#araxe,0.9,18.0,0.0,1.0,0.6428571428571429,0.9,3.0,1.0,0.5,2.25
#berenice,0.8166666666666667,0.0,12.5,1.5,2.011904761904762,0.016666666666666666,1.3888888888888888,1.5,0.75,1.0416666666666667
#clitie,0.05,1.0,1.5,24.5,0.32142857142857145,1.25,1.5,0.5,0.25,0.125
#philoclee,1.575,0.6428571428571429,2.011904761904762,0.32142857142857145,10.125,0.03214285714285714,0.10714285714285714,1.75,1.4464285714285714,0.7232142857142857
#philoxene,0.005,0.9,0.016666666666666666,1.25,0.03214285714285714,15.125,0.8166666666666667,0.05,0.625,1.5125
#anaxaris,0.15,3.0,1.3888888888888888,1.5,0.10714285714285714,0.8166666666666667,12.5,4.166666666666667,0.75,0.375
#iphite,1.25,1.0,1.5,0.5,1.75,0.05,4.166666666666667,24.5,0.25,0.125
#hesione,0.625,0.5,0.75,0.25,1.4464285714285714,0.625,0.75,0.25,28.125,0.0625
#cleophis,1.5125,2.25,1.0416666666666667,0.125,0.7232142857142857,1.5125,0.375,0.125,0.0625,30.03125
Successions,#le-roi,#araxe,#berenice,#clitie,#philoclee,#philoxene,#anaxaris,#iphite,#hesione,#cleophis
#le-roi,0.01818181818181818,0.2909090909090909,0.03636363636363636,0.09090909090909091,0.3090909090909091,0.09090909090909091,0.05454545454545454,0.0,0.01818181818181818,0.09090909090909091
#araxe,0.3409090909090909,0.0,0.11363636363636363,0.0,0.045454545454545456,0.4318181818181818,0.0,0.0,0.0,0.06818181818181818
#berenice,0.05172413793103448,0.06896551724137931,0.017241379310344827,0.13793103448275862,0.1206896551724138,0.41379310344827586,0.1896551724137931,0.0,0.0,0.0
#clitie,0.35294117647058826,0.058823529411764705,0.47058823529411764,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0
#philoclee,0.25925925925925924,0.018518518518518517,0.09259259259259259,0.05555555555555555,0.018518518518518517,0.14814814814814814,0.3148148148148148,0.0,0.09259259259259259,0.0
#philoxene,0.1267605633802817,0.28169014084507044,0.323943661971831,0.014084507042253521,0.08450704225352113,0.014084507042253521,0.1267605633802817,0.0,0.0,0.028169014084507043
#anaxaris,0.06896551724137931,0.0,0.22413793103448276,0.0,0.2413793103448276,0.1724137931034483,0.0,0.29310344827586204,0.0,0.0
#iphite,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#hesione,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0
#cleophis,0.3,0.2,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0
