VALEUR,#lariffardiere,#alain,#dramantour,#lahausse,#malingre,#dandinville,#malingre #dandinville,#tous,#adele,#choeur,#tantmieux,#geronte
Fréquences (scènes),0.7368421052631579,0.10526315789473684,0.3684210526315789,0.21052631578947367,0.631578947368421,0.15789473684210525,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.3684210526315789
Fréquences(répliques),0.402555910543131,0.0,0.07667731629392971,0.0670926517571885,0.11182108626198083,0.01597444089456869,0.0,0.003194888178913738,0.08945686900958466,0.012779552715654952,0.16932907348242812,0.051118210862619806
Confrontation,0.14960629921259844,0.03543307086614173,0.1220472440944882,0.08661417322834646,0.15354330708661418,0.08267716535433071,0.027559055118110236,0.05905511811023622,0.07086614173228346,0.023622047244094488,0.0984251968503937,0.09055118110236221
Déviations,#lariffardiere,#alain,#dramantour,#lahausse,#malingre,#dandinville,#malingre #dandinville,#tous,#adele,#choeur,#tantmieux,#geronte
#lariffardiere,1.3157894736842104,0.18796992481203015,0.004833512352309347,0.3759398496240603,0.08020050125313266,0.2819548872180453,0.09398496240601507,0.18796992481203015,0.027067669172932348,0.09398496240601507,0.04010025062656633,0.25993555316863587
#alain,0.18796992481203015,15.210526315789474,0.09398496240601507,0.7960526315789475,0.4298245614035089,1.4824561403508774,7.605263157894737,2.960526315789474,0.5263157894736842,0.10526315789473684,0.631578947368421,0.7368421052631579
#dramantour,0.004833512352309347,0.09398496240601507,7.57894736842105,1.5808270676691731,0.07581453634085225,3.2481203007518804,1.0827067669172932,2.1654135338345863,0.7278195488721805,1.0827067669172932,0.2819548872180453,0.7830290010741139
#lahausse,0.3759398496240603,0.7960526315789475,1.5808270676691731,11.842105263157896,0.08881578947368426,8.881578947368421,2.960526315789474,5.921052631578948,0.0026315789473684154,2.960526315789474,0.4298245614035089,0.1522556390977443
#malingre,0.08020050125313266,0.4298245614035089,0.07581453634085225,0.08881578947368426,2.5789473684210535,0.6447368421052634,0.21491228070175444,0.4298245614035089,0.007894736842105269,0.21491228070175444,1.2894736842105268,0.07581453634085225
#dandinville,0.2819548872180453,1.4824561403508774,3.2481203007518804,8.881578947368421,0.6447368421052634,13.473684210526315,4.491228070175438,8.982456140350877,0.05614035087719297,4.491228070175438,1.1695906432748542,0.010025062656641583
#malingre #dandinville,0.09398496240601507,7.605263157894737,1.0827067669172932,2.960526315789474,0.21491228070175444,4.491228070175438,17.05263157894737,7.605263157894737,0.2631578947368421,0.05263157894736842,0.3157894736842105,0.3684210526315789
#tous,0.18796992481203015,2.960526315789474,2.1654135338345863,5.921052631578948,0.4298245614035089,8.982456140350877,7.605263157894737,15.210526315789474,0.42631578947368426,0.10526315789473684,0.21491228070175444,0.09398496240601507
#adele,0.027067669172932348,0.5263157894736842,0.7278195488721805,0.0026315789473684154,0.007894736842105269,0.05614035087719297,0.2631578947368421,0.42631578947368426,10.31578947368421,0.2631578947368421,0.11228070175438594,0.7278195488721805
#choeur,0.09398496240601507,0.10526315789473684,1.0827067669172932,2.960526315789474,0.21491228070175444,4.491228070175438,0.05263157894736842,0.10526315789473684,0.2631578947368421,17.05263157894737,1.4824561403508774,0.3684210526315789
