VALEUR,#lepide,#aurilcar,#erixene,#scipion,#isperie,#ermilie,#lucejus,#barce,#annibal,#sextus
Fréquences (scènes),0.16666666666666666,0.1,0.2,0.5,0.5,0.1,0.1,0.03333333333333333,0.1,0.03333333333333333
Fréquences(répliques),0.07070020394289599,0.04894629503738953,0.0938137321549966,0.33378653976886474,0.20598232494901428,0.02107409925220938,0.07545887151597552,0.016315431679129844,0.13052345343303876,0.003399048266485384
Confrontation,0.09259259259259259,0.05555555555555555,0.09259259259259259,0.25925925925925924,0.25925925925925924,0.05555555555555555,0.07407407407407407,0.018518518518518517,0.05555555555555555,0.037037037037037035
Déviations,#lepide,#aurilcar,#erixene,#scipion,#isperie,#ermilie,#lucejus,#barce,#annibal,#sextus
#lepide,20.83333333333334,0.5,0.0,0.1,2.5,0.5,0.5,0.16666666666666666,0.5,0.16666666666666666
#aurilcar,0.5,24.3,0.2666666666666665,0.16666666666666666,1.5,0.30000000000000004,0.30000000000000004,0.10000000000000002,0.30000000000000004,0.10000000000000002
#erixene,0.0,0.2666666666666665,19.199999999999996,1.3333333333333333,1.3333333333333333,0.6000000000000001,0.6000000000000001,3.2000000000000006,0.6000000000000001,0.20000000000000004
#scipion,0.1,0.16666666666666666,1.3333333333333333,7.5,0.8333333333333334,1.5,0.16666666666666666,0.5,0.16666666666666666,0.5
#isperie,2.5,1.5,1.3333333333333333,0.8333333333333334,7.5,1.5,1.5,0.5,0.16666666666666666,0.5
#ermilie,0.5,0.30000000000000004,0.6000000000000001,1.5,1.5,24.3,0.30000000000000004,0.10000000000000002,0.30000000000000004,0.10000000000000002
#lucejus,0.5,0.30000000000000004,0.6000000000000001,0.16666666666666666,1.5,0.30000000000000004,24.3,0.10000000000000002,0.30000000000000004,0.10000000000000002
#barce,0.16666666666666666,0.10000000000000002,3.2000000000000006,0.5,0.5,0.10000000000000002,0.10000000000000002,28.03333333333333,0.10000000000000002,0.03333333333333333
#annibal,0.5,0.30000000000000004,0.6000000000000001,0.16666666666666666,0.16666666666666666,0.30000000000000004,0.30000000000000004,0.10000000000000002,24.3,0.10000000000000002
#sextus,0.16666666666666666,0.10000000000000002,0.20000000000000004,0.5,0.5,0.10000000000000002,0.10000000000000002,0.03333333333333333,0.10000000000000002,28.03333333333333
Successions,#lepide,#aurilcar,#erixene,#scipion,#isperie,#ermilie,#lucejus,#barce,#annibal,#sextus
#lepide,0.0,0.17647058823529413,0.058823529411764705,0.7058823529411765,0.0,0.0,0.0,0.058823529411764705,0.0,0.0
#aurilcar,0.23076923076923078,0.0,0.3076923076923077,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0
#erixene,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0
#scipion,0.22033898305084745,0.1016949152542373,0.06779661016949153,0.03389830508474576,0.3389830508474576,0.0,0.03389830508474576,0.0,0.2033898305084746,0.0
#isperie,0.0,0.0,0.0425531914893617,0.40425531914893614,0.0425531914893617,0.06382978723404255,0.2765957446808511,0.0,0.14893617021276595,0.02127659574468085
#ermilie,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0
#lucejus,0.0,0.0,0.0,0.1875,0.8125,0.0,0.0,0.0,0.0,0.0
#barce,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#annibal,0.0,0.0,0.0,0.631578947368421,0.3684210526315789,0.0,0.0,0.0,0.0,0.0
#sextus,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
