VALEUR,#camille,#valerie,#le-page,#diocletian,#maximin,#genest,#decorateur,#marcele,#voix-du-ciel,#plancien,#adrian,#flavie,#geolier,#natalie,#garde,#anthyme,#lentule,#soldat,#sergeste,#octave,#albin
Fréquences (scènes),0.18421052631578946,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.34210526315789475,0.05263157894736842,0.2631578947368421,0.02631578947368421,0.13157894736842105,0.23684210526315788,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.02631578947368421
Fréquences(répliques),0.02294348069390039,0.06603245663122552,0.005595970900951315,0.10408505875769446,0.0727476217123671,0.2059317291550084,0.005595970900951315,0.07050923335198657,0.002238388360380526,0.03077783995523223,0.18522663682148852,0.0817011751538892,0.003357582540570789,0.11975377728035815,0.001119194180190263,0.01119194180190263,0.00391717963066592,0.0005595970900951316,0.0005595970900951316,0.005595970900951315,0.0005595970900951316
Confrontation,0.065625,0.121875,0.0125,0.11875,0.0875,0.078125,0.00625,0.11875,0.003125,0.075,0.04375,0.046875,0.01875,0.015625,0.01875,0.015625,0.053125,0.009375,0.025,0.053125,0.0125
Déviations,#camille,#valerie,#le-page,#diocletian,#maximin,#genest,#decorateur,#marcele,#voix-du-ciel,#plancien,#adrian,#flavie,#geolier,#natalie,#garde,#anthyme,#lentule,#soldat,#sergeste,#octave,#albin
#camille,25.289473684210524,3.520050125313284,7.2255639097744355,0.2819548872180453,0.7278195488721805,0.8123192596876808,0.3684210526315789,0.013533834586466174,0.18421052631578946,0.006766917293233087,1.657894736842105,0.06498388829215897,0.7368421052631579,0.7368421052631579,0.3684210526315789,0.18421052631578946,0.36215538847117806,3.6127819548872178,3.6127819548872178,0.7368421052631579,0.18421052631578946
#valerie,3.520050125313284,17.789473684210527,0.21491228070175444,7.164473684210528,4.674561403508772,1.0796221322537114,0.631578947368421,0.22456140350877188,0.3157894736842105,1.2789473684210526,1.1939571150097466,0.6629072681704258,1.263157894736842,1.263157894736842,0.631578947368421,1.4824561403508774,1.1695906432748542,0.3157894736842105,1.4824561403508774,0.4298245614035089,0.3157894736842105
#le-page,7.2255639097744355,0.21491228070175444,34.10526315789474,0.21491228070175444,0.5263157894736842,0.6842105263157895,0.10526315789473684,0.5263157894736842,0.05263157894736842,0.2631578947368421,0.47368421052631576,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.05263157894736842
#diocletian,0.2819548872180453,7.164473684210528,0.21491228070175444,17.789473684210527,4.674561403508772,0.2975708502024293,0.631578947368421,0.22456140350877188,0.3157894736842105,1.2789473684210526,1.1939571150097466,0.6629072681704258,1.263157894736842,1.263157894736842,0.631578947368421,1.4824561403508774,1.1695906432748542,0.3157894736842105,1.4824561403508774,0.4298245614035089,0.3157894736842105
#maximin,0.7278195488721805,4.674561403508772,0.5263157894736842,4.674561403508772,20.63157894736842,0.5902834008097166,0.5263157894736842,0.15157894736842095,0.2631578947368421,2.155789473684211,0.790643274853801,1.8421052631578947,1.0526315789473684,1.0526315789473684,0.5263157894736842,0.2631578947368421,0.05614035087719297,0.2631578947368421,2.0631578947368427,0.0026315789473684154,0.2631578947368421
#genest,0.8123192596876805,1.0796221322537107,0.6842105263157894,0.2975708502024289,0.5902834008097166,16.44736842105263,2.5303643724696365,0.7287449392712552,1.2651821862348183,0.048987854251012146,3.0789473684210527,2.394736842105263,1.9453441295546565,1.3684210526315788,0.1457489878542511,0.3421052631578947,0.0006747638326585624,0.3421052631578947,1.2651821862348183,0.09919028340080964,0.3421052631578947
#decorateur,0.3684210526315789,0.631578947368421,0.10526315789473684,0.631578947368421,0.5263157894736842,2.530364372469636,34.10526315789474,0.5263157894736842,0.05263157894736842,0.2631578947368421,0.47368421052631576,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.05263157894736842
#marcele,0.013533834586466174,0.22456140350877188,0.5263157894736842,0.22456140350877188,0.15157894736842095,0.7287449392712552,0.5263157894736842,20.63157894736842,0.2631578947368421,5.475789473684211,0.790643274853801,0.013533834586466174,0.8526315789473685,1.0526315789473684,0.42631578947368426,2.0631578947368427,6.189473684210524,2.0631578947368427,2.0631578947368427,8.252631578947371,2.0631578947368427
#voix-du-ciel,0.18421052631578946,0.3157894736842105,0.05263157894736842,0.3157894736842105,0.2631578947368421,1.265182186234818,0.05263157894736842,0.2631578947368421,36.02631578947369,0.13157894736842105,0.23684210526315788,0.18421052631578946,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.02631578947368421,0.02631578947368421,0.10526315789473684,0.02631578947368421
#plancien,0.006766917293233087,1.2789473684210526,0.2631578947368421,1.2789473684210526,2.155789473684211,0.048987854251012146,0.2631578947368421,5.475789473684211,0.13157894736842105,28.65789473684211,1.1842105263157894,0.9210526315789473,0.5263157894736842,0.5263157894736842,2.0631578947368427,0.13157894736842105,6.528070175438595,0.13157894736842105,5.731578947368422,11.626315789473686,5.731578947368422
#adrian,1.657894736842105,1.1939571150097466,0.47368421052631576,1.1939571150097466,0.790643274853801,3.0789473684210527,0.47368421052631576,0.790643274853801,0.23684210526315788,1.1842105263157894,22.131578947368425,3.3086883876357565,0.9473684210526315,4.447368421052632,0.5847953216374271,2.4590643274853803,0.1179337231968811,0.23684210526315788,0.23684210526315788,0.9473684210526315,0.23684210526315788
#flavie,0.06498388829215897,0.6629072681704258,0.3684210526315789,0.6629072681704258,1.8421052631578947,2.3947368421052633,0.3684210526315789,0.013533834586466174,0.18421052631578946,0.9210526315789473,3.3086883876357565,25.289473684210524,0.09398496240601507,2.1654135338345863,1.0827067669172932,0.18421052631578946,0.5526315789473684,3.6127819548872178,0.18421052631578946,0.09398496240601507,0.18421052631578946
#geolier,0.7368421052631579,1.263157894736842,0.21052631578947367,1.263157894736842,1.0526315789473684,1.9453441295546556,0.21052631578947367,0.8526315789473685,0.10526315789473684,0.5263157894736842,0.9473684210526315,0.09398496240601507,30.42105263157895,0.42105263157894735,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.10526315789473684
#natalie,0.7368421052631579,1.263157894736842,0.21052631578947367,1.263157894736842,1.0526315789473684,1.368421052631579,0.21052631578947367,1.0526315789473684,0.10526315789473684,0.5263157894736842,4.447368421052632,2.1654135338345863,0.42105263157894735,30.42105263157895,0.21052631578947367,0.10526315789473684,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.42105263157894735,0.10526315789473684
