VALEUR,#albin,#othon,#vinius,#plautine,#flavie,#martian,#lacus,#camille,#albiane,#galba,#rutile,#atticus,#fl6ao
Fréquences (scènes),0.13333333333333333,0.3333333333333333,0.2,0.43333333333333335,0.06666666666666667,0.23333333333333334,0.16666666666666666,0.4,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667,0.03333333333333333
Fréquences(répliques),0.023784355179704016,0.16173361522198731,0.13054968287526428,0.17230443974630022,0.04704016913319239,0.07241014799154334,0.07716701902748414,0.17389006342494714,0.034355179704016914,0.07928118393234672,0.006871035940803382,0.019556025369978858,0.0010570824524312897
Confrontation,0.04310344827586207,0.11206896551724138,0.11206896551724138,0.15517241379310345,0.02586206896551724,0.10344827586206896,0.06896551724137931,0.16379310344827586,0.017241379310344827,0.10344827586206896,0.02586206896551724,0.05172413793103448,0.017241379310344827
Déviations,#albin,#othon,#vinius,#plautine,#flavie,#martian,#lacus,#camille,#albiane,#galba,#rutile,#atticus,#fl6ao
#albin,22.533333333333335,2.083333333333334,0.8000000000000002,1.7333333333333334,0.26666666666666666,0.9333333333333333,0.6666666666666666,0.09999999999999995,0.26666666666666666,0.8000000000000002,0.26666666666666666,0.26666666666666666,0.13333333333333333
#othon,2.083333333333334,13.333333333333336,0.5,0.10256410256410237,0.6666666666666666,2.3333333333333335,1.6666666666666665,2.25,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333
#vinius,0.8000000000000002,0.5,19.199999999999996,0.06153846153846151,0.4000000000000001,0.11428571428571424,0.0,0.06666666666666678,0.4000000000000001,0.533333333333333,0.4000000000000001,0.8999999999999999,0.20000000000000004
#plautine,1.7333333333333334,0.10256410256410267,0.06153846153846151,9.633333333333331,1.482051282051282,0.35201465201465193,0.6282051282051281,3.3923076923076922,0.8666666666666667,0.9846153846153848,0.020512820512820502,0.020512820512820502,0.741025641025641
#flavie,0.26666666666666666,0.6666666666666666,0.4000000000000001,1.482051282051282,26.133333333333336,0.4666666666666667,0.3333333333333333,0.8000000000000002,0.13333333333333333,0.4000000000000001,0.13333333333333333,0.13333333333333333,13.066666666666668
#martian,0.9333333333333333,2.333333333333333,0.11428571428571435,0.35201465201465193,0.4666666666666667,17.633333333333336,2.880952380952382,0.014285714285714247,0.4666666666666667,0.11428571428571435,0.4666666666666667,5.038095238095238,0.23333333333333334
#lacus,0.6666666666666666,1.6666666666666665,0.0,0.6282051282051284,0.3333333333333333,2.8809523809523805,20.83333333333334,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
#camille,0.09999999999999995,2.25,0.06666666666666678,3.3923076923076922,0.8000000000000002,0.014285714285714311,0.0,10.799999999999995,1.7999999999999998,1.066666666666666,0.049999999999999975,0.049999999999999975,0.4000000000000001
#albiane,0.26666666666666666,0.6666666666666666,0.4000000000000001,0.8666666666666667,0.13333333333333333,0.4666666666666667,0.3333333333333333,1.7999999999999998,26.133333333333336,0.4000000000000001,0.13333333333333333,0.13333333333333333,0.06666666666666667
#galba,0.8000000000000002,0.5,0.533333333333333,0.9846153846153848,0.4000000000000001,0.11428571428571424,0.0,1.066666666666666,0.4000000000000001,19.199999999999996,0.8999999999999999,0.8999999999999999,0.20000000000000004
#rutile,0.26666666666666666,0.6666666666666666,0.4000000000000001,0.020512820512820502,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.049999999999999975,0.13333333333333333,0.8999999999999999,26.133333333333336,0.13333333333333333,0.06666666666666667
#atticus,0.26666666666666666,0.6666666666666666,0.8999999999999999,0.020512820512820502,0.13333333333333333,5.038095238095238,0.3333333333333333,0.049999999999999975,0.13333333333333333,0.8999999999999999,0.13333333333333333,26.133333333333336,0.06666666666666667
#fl6ao,0.13333333333333333,0.3333333333333333,0.20000000000000004,0.741025641025641,13.066666666666668,0.23333333333333334,0.16666666666666666,0.4000000000000001,0.06666666666666667,0.20000000000000004,0.06666666666666667,0.06666666666666667,28.03333333333333
Successions,#albin,#othon,#vinius,#plautine,#flavie,#martian,#lacus,#camille,#albiane,#galba,#rutile,#atticus,#fl6ao
#albin,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
#othon,0.16,0.02,0.26,0.38,0.02,0.0,0.0,0.1,0.0,0.06,0.0,0.0,0.0
#vinius,0.0,0.5555555555555556,0.037037037037037035,0.18518518518518517,0.0,0.0,0.07407407407407407,0.0,0.0,0.14814814814814814,0.0,0.0,0.0
#plautine,0.0,0.24358974358974358,0.07692307692307693,0.01282051282051282,0.1794871794871795,0.16666666666666666,0.02564102564102564,0.2564102564102564,0.0,0.0,0.0,0.02564102564102564,0.01282051282051282
#flavie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#martian,0.0,0.0,0.0,0.40625,0.0,0.0,0.1875,0.3125,0.0,0.03125,0.0,0.0625,0.0
#lacus,0.0,0.0,0.19047619047619047,0.09523809523809523,0.0,0.38095238095238093,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#camille,0.014492753623188406,0.057971014492753624,0.014492753623188406,0.2608695652173913,0.0,0.13043478260869565,0.13043478260869565,0.0,0.18840579710144928,0.15942028985507245,0.043478260869565216,0.0,0.0
#albiane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#galba,0.0,0.13043478260869565,0.08695652173913043,0.043478260869565216,0.0,0.043478260869565216,0.08695652173913043,0.43478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0
#rutile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0
#atticus,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
#flavie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
