VALEUR,#christierne,#rodolphe,#frederic,#casimir,#adelaide,#leonor,#gustave,#sophie
Fréquences (scènes),0.3902439024390244,0.1951219512195122,0.17073170731707318,0.1951219512195122,0.4634146341463415,0.1951219512195122,0.3170731707317073,0.04878048780487805
Fréquences(répliques),0.22135821669258685,0.08864696734059098,0.11560393986521514,0.06894764126490409,0.18506998444790046,0.08657335406946605,0.2099533437013997,0.023846552617936754
Confrontation,0.17346938775510204,0.10204081632653061,0.07142857142857142,0.08163265306122448,0.25510204081632654,0.1326530612244898,0.16326530612244897,0.02040816326530612
Déviations,#christierne,#rodolphe,#frederic,#casimir,#adelaide,#leonor,#gustave,#sophie
#christierne,15.24390243902439,1.1297637195121948,0.19599303135888513,3.1219512195121952,2.628449935815148,0.4032012195121952,0.0010553470919324596,0.7804878048780488
#rodolphe,1.1297637195121948,26.5609756097561,1.3658536585365855,1.5609756097560976,0.1349486521181002,0.12347560975609753,2.5365853658536586,0.3902439024390244
#frederic,0.19599303135888535,1.3658536585365857,28.195121951219505,0.2944250871080136,0.47698514579130796,0.09799651567944268,2.2195121951219514,0.3414634146341464
#casimir,3.1219512195121952,1.5609756097560976,0.29442508710801385,26.5609756097561,0.1349486521181002,1.5609756097560976,0.0846622889305816,0.3902439024390244
#adelaide,2.628449935815148,0.1349486521181002,0.4769851457913077,0.1349486521181002,11.804878048780488,1.4178433889602051,9.874592673052253e-05,1.2426187419768937
#leonor,0.4032012195121952,0.12347560975609753,0.09799651567944256,1.5609756097560976,1.4178433889602051,26.5609756097561,0.11350844277673548,0.3902439024390244
#gustave,0.0010553470919324596,2.5365853658536586,2.2195121951219514,0.0846622889305816,9.874592673052253e-05,0.11350844277673548,19.121951219512198,0.6341463414634146
#sophie,0.7804878048780488,0.3902439024390244,0.34146341463414637,0.3902439024390244,1.2426187419768937,0.3902439024390244,0.6341463414634146,37.09756097560975
Successions,#christierne,#rodolphe,#frederic,#casimir,#adelaide,#leonor,#gustave,#sophie
#christierne,0.11904761904761904,0.2976190476190476,0.23809523809523808,0.0,0.08333333333333333,0.03571428571428571,0.2261904761904762,0.0
#rodolphe,0.7352941176470589,0.029411764705882353,0.0,0.0,0.14705882352941177,0.08823529411764706,0.0,0.0
#frederic,0.5428571428571428,0.0,0.02857142857142857,0.14285714285714285,0.2571428571428571,0.02857142857142857,0.0,0.0
#casimir,0.04,0.0,0.16,0.04,0.24,0.04,0.48,0.0
#adelaide,0.11688311688311688,0.05194805194805195,0.1038961038961039,0.06493506493506493,0.05194805194805195,0.16883116883116883,0.33766233766233766,0.1038961038961039
#leonor,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.0,0.5217391304347826,0.0,0.13043478260869565,0.0
#gustave,0.28125,0.015625,0.0,0.21875,0.40625,0.03125,0.046875,0.0
#sophie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
