VALEUR,#pierrot,#almoraddin,#hanif,#sindbad,#assan,#amine,#nour,#la-reine,#estonish,#almoraddin #la-reine
Fréquences (scènes),0.5555555555555556,0.7777777777777778,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.23170731707317074,0.259581881533101,0.06968641114982578,0.04006968641114982,0.08362369337979095,0.02613240418118467,0.13763066202090593,0.14634146341463414,0.0017421602787456446,0.003484320557491289
Confrontation,0.21875,0.25,0.0625,0.0625,0.10416666666666667,0.03125,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.041666666666666664
Déviations,#pierrot,#almoraddin,#hanif,#sindbad,#assan,#amine,#nour,#la-reine,#estonish,#almoraddin #la-reine
#pierrot,3.5555555555555562,0.634920634920635,0.26666666666666655,0.711111111111111,1.633333333333333,1.1111111111111112,0.27222222222222214,0.27222222222222214,0.5555555555555556,0.3555555555555555
#almoraddin,0.6349206349206343,0.8888888888888886,0.7619047619047616,0.12698412698412712,1.5238095238095233,1.5555555555555551,0.00396825396825394,0.25396825396825423,0.06349206349206356,0.06349206349206356
#hanif,0.2666666666666667,0.761904761904762,12.5,1.3333333333333337,1.0,1.3333333333333337,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666
#sindbad,0.711111111111111,0.12698412698412698,1.3333333333333337,14.222222222222221,0.1666666666666667,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111
#assan,1.6333333333333335,1.523809523809524,1.0,0.1666666666666667,8.0,2.6666666666666674,0.0833333333333333,1.3333333333333333,1.3333333333333337,0.3333333333333333
#amine,1.1111111111111112,1.5555555555555556,1.3333333333333337,0.2222222222222222,2.6666666666666674,14.222222222222221,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.1111111111111111
#nour,0.27222222222222214,0.0039682539682539715,0.6666666666666666,0.4444444444444444,0.0833333333333333,0.4444444444444444,10.88888888888889,1.388888888888889,0.2222222222222222,2.7222222222222223
#la-reine,0.27222222222222214,0.25396825396825395,0.6666666666666666,0.4444444444444444,1.3333333333333333,0.4444444444444444,1.388888888888889,10.88888888888889,0.2222222222222222,2.7222222222222223
#estonish,0.5555555555555556,0.06349206349206349,0.16666666666666666,0.1111111111111111,1.3333333333333337,0.1111111111111111,0.2222222222222222,0.2222222222222222,16.055555555555557,0.05555555555555555
#almoraddin #la-reine,0.3555555555555555,0.06349206349206349,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.1111111111111111,2.7222222222222223,2.7222222222222223,0.05555555555555555,16.055555555555557
Successions,#pierrot,#almoraddin,#hanif,#sindbad,#assan,#amine,#nour,#la-reine,#estonish,#almoraddin #la-reine
#pierrot,0.0,0.5573770491803278,0.06557377049180328,0.04918032786885246,0.04918032786885246,0.0,0.22950819672131148,0.04918032786885246,0.0,0.0
#almoraddin,0.4696969696969697,0.015151515151515152,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.09090909090909091,0.3333333333333333,0.0,0.0
#hanif,0.1,0.3,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0
#sindbad,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#assan,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.0
#amine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#nour,0.6190476190476191,0.2857142857142857,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0
#la-reine,0.3076923076923077,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
#amine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#almoraddin #la-reine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
