VALEUR,#jodelet,#don-juan,#etienne,#don-louis,#isabelle,#beatrix,#don-fernand,#lucrece
Fréquences (scènes),0.43333333333333335,0.35,0.05,0.2833333333333333,0.3333333333333333,0.23333333333333334,0.36666666666666664,0.15
Fréquences(répliques),0.28085519922254615,0.19096209912536444,0.009718172983479106,0.10835762876579202,0.09718172983479106,0.11564625850340136,0.12487852283770651,0.07240038872691934
Confrontation,0.17105263157894737,0.17543859649122806,0.021929824561403508,0.16228070175438597,0.16228070175438597,0.07017543859649122,0.16228070175438597,0.07456140350877193
Déviations,#jodelet,#don-juan,#etienne,#don-louis,#isabelle,#beatrix,#don-fernand,#lucrece
#jodelet,19.266666666666662,2.6384615384615393,0.06923076923076925,0.2535444947209652,0.05128205128205119,2.726007326007326,0.6731934731934731,2.1564102564102563
#don-juan,2.6384615384615393,25.350000000000005,0.002380952380952385,0.18529411764705875,0.0,3.1040816326530614,0.0636363636363635,0.007142857142857135
#etienne,0.06923076923076925,0.0023809523809523647,54.15,1.5558823529411763,1.0,0.12857142857142861,1.0999999999999999,0.44999999999999996
#don-louis,0.25354449472096546,0.1852941176470591,1.555882352941176,30.816666666666666,0.019607843137254975,0.2355742296918768,1.2279857397504466,0.8245098039215689
#isabelle,0.05128205128205146,0.0,1.0,0.019607843137254975,26.66666666666667,0.023809523809523767,0.015151515151515124,0.3333333333333333
#beatrix,2.726007326007326,3.1040816326530605,0.1285714285714285,0.2355742296918768,0.0238095238095239,35.26666666666667,0.8865800865800864,0.5761904761904763
#don-fernand,0.6731934731934731,0.0636363636363635,1.1,1.2279857397504454,0.015151515151515124,0.8865800865800868,24.06666666666667,0.14848484848484858
#lucrece,2.1564102564102567,0.007142857142857135,0.45,0.8245098039215689,0.3333333333333333,0.5761904761904763,0.14848484848484858,43.35000000000001
Successions,#jodelet,#don-juan,#etienne,#don-louis,#isabelle,#beatrix,#don-fernand,#lucrece
#jodelet,0.03125,0.46875,0.025,0.09375,0.1125,0.05,0.2125,0.00625
#don-juan,0.5426356589147286,0.007751937984496124,0.015503875968992248,0.17054263565891473,0.08527131782945736,0.007751937984496124,0.12403100775193798,0.046511627906976744
#etienne,0.4444444444444444,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0
#don-louis,0.24285714285714285,0.32857142857142857,0.014285714285714285,0.0,0.07142857142857142,0.08571428571428572,0.18571428571428572,0.07142857142857142
#isabelle,0.3709677419354839,0.04838709677419355,0.0,0.0967741935483871,0.0,0.2903225806451613,0.12903225806451613,0.06451612903225806
#beatrix,0.2,0.05,0.05,0.125,0.475,0.0,0.1,0.0
#don-fernand,0.3707865168539326,0.15730337078651685,0.0,0.20224719101123595,0.06741573033707865,0.0449438202247191,0.0898876404494382,0.06741573033707865
#lucrece,0.0,0.4090909090909091,0.0,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.2727272727272727,0.0
