VALEUR,#climante,#ariste,#jodelet,#olympe,#oronte,#pancrace,#lisette,#le-caporal,#premier-violon,#second-violon,#troisieme-violon,#l-exempt
Fréquences (scènes),0.45454545454545453,0.45454545454545453,0.30303030303030304,0.5151515151515151,0.45454545454545453,0.3333333333333333,0.24242424242424243,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
Fréquences(répliques),0.15194508009153318,0.21922196796338672,0.13043478260869565,0.10983981693363844,0.1505720823798627,0.17299771167048056,0.043020594965675056,0.012356979405034324,0.002745995423340961,0.002745995423340961,0.0009153318077803204,0.003203661327231121
Confrontation,0.15328467153284672,0.15328467153284672,0.09854014598540146,0.15328467153284672,0.13503649635036497,0.12043795620437957,0.09124087591240876,0.0036496350364963502,0.021897810218978103,0.021897810218978103,0.021897810218978103,0.025547445255474453
Déviations,#climante,#ariste,#jodelet,#olympe,#oronte,#pancrace,#lisette,#le-caporal,#premier-violon,#second-violon,#troisieme-violon,#l-exempt
#climante,9.818181818181818,0.004848484848484839,0.06545454545454554,0.2096256684491981,0.698181818181818,0.0,0.03636363636363629,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.6545454545454544,0.6545454545454544
#ariste,0.004848484848484839,9.818181818181818,0.04545454545454537,1.3860962566844925,0.004848484848484839,0.0,0.11136363636363647,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.6545454545454544,0.6545454545454544
#jodelet,0.06545454545454533,0.04545454545454556,16.03030303030303,0.8985739750445632,1.425454545454545,0.8333333333333336,0.13674242424242422,1.6030303030303032,1.6030303030303032,1.6030303030303032,1.6030303030303032,1.6030303030303032
#olympe,0.2096256684491981,1.3860962566844925,0.8985739750445632,7.757575757575757,0.2096256684491981,0.49019607843137225,0.18738859180035655,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.45632798573975053
#oronte,0.698181818181818,0.004848484848484839,1.4254545454545458,0.2096256684491981,9.818181818181818,0.0,0.03636363636363629,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.4545454545454546,0.6545454545454544
#pancrace,0.0,0.0,0.8333333333333331,0.49019607843137225,0.0,14.66666666666667,2.0416666666666656,0.33333333333333337,1.333333333333333,1.333333333333333,1.333333333333333,1.333333333333333
#lisette,0.03636363636363639,0.11136363636363633,0.13674242424242422,0.18738859180035655,0.03636363636363639,2.0416666666666674,18.939393939393938,0.24242424242424243,0.24242424242424243,0.24242424242424243,0.24242424242424243,2.367424242424242
#le-caporal,0.45454545454545453,0.45454545454545453,1.6030303030303032,0.5151515151515151,0.45454545454545453,0.3333333333333333,0.24242424242424243,31.03030303030303,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304
#premier-violon,0.6545454545454544,0.6545454545454544,1.6030303030303032,0.5151515151515151,0.45454545454545453,1.3333333333333337,0.24242424242424243,0.030303030303030304,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304
#premier-violon,0.6545454545454544,0.6545454545454544,1.6030303030303032,0.5151515151515151,0.45454545454545453,1.3333333333333337,0.24242424242424243,0.030303030303030304,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304
#premier-violon,0.6545454545454544,0.6545454545454544,1.6030303030303032,0.5151515151515151,0.45454545454545453,1.3333333333333337,0.24242424242424243,0.030303030303030304,31.03030303030303,31.03030303030303,31.03030303030303,0.030303030303030304
#l-exempt,0.6545454545454544,0.6545454545454544,1.6030303030303032,0.45632798573975053,0.6545454545454544,1.3333333333333337,2.367424242424242,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,31.03030303030303
Successions,#climante,#ariste,#jodelet,#olympe,#oronte,#pancrace,#lisette,#le-caporal,#premier-violon,#second-violon,#troisieme-violon,#l-exempt
#climante,0.0,0.4329268292682927,0.006097560975609756,0.17682926829268292,0.36585365853658536,0.012195121951219513,0.006097560975609756,0.0,0.0,0.0,0.0,0.0
#ariste,0.38219895287958117,0.015706806282722512,0.17801047120418848,0.2198952879581152,0.16753926701570682,0.02617801047120419,0.0,0.0,0.005235602094240838,0.005235602094240838,0.0,0.0
#jodelet,0.016,0.256,0.0,0.0,0.008,0.456,0.128,0.136,0.0,0.0,0.0,0.0
#olympe,0.24615384615384617,0.3153846153846154,0.0,0.0,0.3769230769230769,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.0,0.0
#oronte,0.325,0.2125,0.00625,0.34375,0.0125,0.04375,0.03125,0.0,0.0,0.0,0.0,0.025
#pancrace,0.02197802197802198,0.06593406593406594,0.6153846153846154,0.01098901098901099,0.08791208791208792,0.01098901098901099,0.18681318681318682,0.0,0.0,0.0,0.0,0.0
#lisette,0.046511627906976744,0.06976744186046512,0.3488372093023256,0.06976744186046512,0.11627906976744186,0.3488372093023256,0.0,0.0,0.0,0.0,0.0,0.0
#le-caporal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-violon,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
#second-violon,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0
#troisieme-violon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#l-exempt,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
