VALEUR,#lincoln,#macdal,#washington,#l-aide-de-camp,#johnson,#laurens,#soldats,#lismor,#madame-nelson,#madame-laurens,#le-secretaire,#l-orateur,#le-peuple,#les-senateurs,#le-depute,#l-ambassadeur
Fréquences (scènes),0.4074074074074074,0.1111111111111111,0.4444444444444444,0.037037037037037035,0.14814814814814814,0.4444444444444444,0.037037037037037035,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.14776119402985075,0.03805970149253731,0.14850746268656717,0.0014925373134328358,0.12313432835820895,0.16343283582089552,0.0007462686567164179,0.09328358208955224,0.14328358208955225,0.03656716417910448,0.022388059701492536,0.056716417910447764,0.0007462686567164179,0.0007462686567164179,0.002238805970149254,0.020895522388059702
Confrontation,0.12857142857142856,0.05714285714285714,0.15,0.007142857142857143,0.05,0.2,0.02857142857142857,0.1,0.06428571428571428,0.02142857142857143,0.06428571428571428,0.04285714285714286,0.02857142857142857,0.02857142857142857,0.014285714285714285,0.014285714285714285
Déviations,#lincoln,#macdal,#washington,#l-aide-de-camp,#johnson,#laurens,#soldats,#lismor,#madame-nelson,#madame-laurens,#le-secretaire,#l-orateur,#le-peuple,#les-senateurs,#le-depute,#l-ambassadeur
#lincoln,9.481481481481485,2.5858585858585865,0.9116161616161621,0.4074074074074074,1.6296296296296295,0.002525252525252548,0.8619528619528619,3.259259259259259,2.444444444444444,0.8148148148148148,0.2432659932659932,0.8148148148148148,0.4074074074074074,0.4074074074074074,0.8619528619528619,0.4074074074074074
#macdal,2.5858585858585865,21.333333333333332,0.3333333333333334,0.1111111111111111,0.4444444444444444,0.3333333333333334,7.111111111111111,0.8888888888888888,0.6666666666666666,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#washington,0.9116161616161621,0.3333333333333334,8.333333333333336,0.6944444444444445,0.3402777777777777,0.5208333333333335,0.6944444444444445,1.8368055555555554,2.6666666666666665,0.8888888888888888,1.7777777777777777,0.8888888888888888,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6944444444444445
#l-aide-de-camp,0.4074074074074074,0.1111111111111111,0.6944444444444445,25.03703703703704,0.14814814814814814,0.4444444444444444,0.037037037037037035,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#johnson,1.6296296296296295,0.4444444444444444,0.3402777777777777,0.14814814814814814,19.59259259259259,0.3402777777777777,0.14814814814814814,0.5601851851851853,0.013888888888888902,0.2962962962962963,0.5925925925925926,0.2962962962962963,4.898148148148148,4.898148148148148,0.14814814814814814,0.14814814814814814
#laurens,0.002525252525252548,0.3333333333333334,0.5208333333333335,0.4444444444444444,0.3402777777777777,8.333333333333336,0.6944444444444445,0.0868055555555555,1.0416666666666665,0.8888888888888888,0.8402777777777779,1.388888888888889,0.6944444444444445,0.6944444444444445,0.4444444444444444,0.6944444444444445
#soldats,0.8619528619528619,7.111111111111111,0.6944444444444445,0.037037037037037035,0.14814814814814814,0.6944444444444445,25.03703703703704,0.2962962962962963,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
