VALEUR,#fabrice,#florival,#jeannette,#clarisse,#le-baron,#zerbine,#le-vicomte,#jeannette #fabrice,#ensemble,#le-baron #florival,#tous-ensemble,#florival #clarisse,#florival #zerbine,#le-baron #le-vicomte #clarisse #zerbine #fabrice #florival #jeannette
Fréquences (scènes),0.23255813953488372,0.46511627906976744,0.3953488372093023,0.20930232558139536,0.4186046511627907,0.32558139534883723,0.20930232558139536,0.023255813953488372,0.13953488372093023,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.023255813953488372
Fréquences(répliques),0.14345991561181434,0.20675105485232068,0.22573839662447256,0.056962025316455694,0.07805907172995781,0.18354430379746836,0.03375527426160337,0.006329113924050633,0.0379746835443038,0.010548523206751054,0.004219409282700422,0.002109704641350211,0.002109704641350211,0.008438818565400843
Confrontation,0.08823529411764706,0.16339869281045752,0.12091503267973856,0.0915032679738562,0.14705882352941177,0.1111111111111111,0.0718954248366013,0.00980392156862745,0.07516339869281045,0.049019607843137254,0.00980392156862745,0.013071895424836602,0.029411764705882353,0.0196078431372549
Déviations,#fabrice,#florival,#jeannette,#clarisse,#le-baron,#zerbine,#le-vicomte,#jeannette #fabrice,#ensemble,#le-baron #florival,#tous-ensemble,#florival #clarisse,#florival #zerbine,#le-baron #le-vicomte #clarisse #zerbine #fabrice #florival #jeannette
#fabrice,25.32558139534883,0.5861627906976746,0.0005471956224350225,0.004134366925064614,0.3360465116279071,0.9343853820598002,0.5708010335917314,2.532558139534884,4.86201550387597,0.13100775193798447,0.23255813953488372,2.532558139534884,2.532558139534884,2.532558139534884
#florival,0.5861627906976746,12.302325581395346,1.2099179206566348,1.8916020671834621,0.8248708010335912,0.3509136212624589,0.3360465116279071,0.46511627906976744,0.01569767441860464,1.845348837209302,0.6151162790697676,0.6151162790697676,0.6151162790697676,0.6151162790697676
#jeannette,0.0005471956224350225,1.2099179206566348,15.720930232558143,0.6823225414196686,0.17510259917920662,1.1609341410982998,0.08755129958960331,0.9247606019151846,1.1171910624715007,0.02918376652986773,0.3953488372093023,0.3953488372093023,0.9247606019151846,0.9247606019151846
#clarisse,0.004134366925064614,1.8916020671834621,0.6823225414196684,26.88372093023256,0.4032443296009187,0.29531192321890015,2.3775480907263855,0.20930232558139533,0.0521102497846684,2.9982773471145565,2.987080103359174,2.987080103359174,2.987080103359174,0.20930232558139533
#le-baron,0.3360465116279071,0.8248708010335912,0.17510259917920637,0.4032443296009187,14.534883720930234,0.22157622739018062,0.4032443296009187,0.41860465116279066,0.1042204995693368,2.4224806201550386,0.41860465116279066,0.8074935400516797,0.8074935400516797,0.8074935400516797
#zerbine,0.9343853820598002,0.3509136212624589,1.1609341410982998,0.29531192321890015,0.22157622739018062,19.55813953488371,0.0016611295681062967,0.32558139534883723,2.143964562569214,1.071982281284607,1.3970099667774085,0.32558139534883723,1.3970099667774085,1.3970099667774085
#le-vicomte,0.5708010335917314,0.3360465116279071,0.08755129958960318,2.3775480907263855,0.4032443296009187,0.0016611295681062967,26.88372093023256,0.20930232558139533,0.0521102497846684,0.2204995693367786,0.20930232558139533,0.20930232558139533,2.987080103359174,0.20930232558139533
#jeannette #fabrice,2.532558139534884,0.46511627906976744,0.9247606019151846,0.20930232558139536,0.4186046511627907,0.32558139534883723,0.20930232558139536,41.02325581395348,5.3062015503875966,0.06976744186046512,0.02325581395348837,0.02325581395348837,0.02325581395348837,0.02325581395348837
#ensemble,4.86201550387597,0.01569767441860464,1.1171910624715007,0.0521102497846684,0.1042204995693368,2.143964562569214,0.0521102497846684,5.3062015503875966,31.837209302325586,0.8074935400516797,0.13953488372093023,0.13953488372093023,5.3062015503875966,5.3062015503875966
#le-baron #florival,0.13100775193798447,1.845348837209302,0.02918376652986773,2.9982773471145565,2.4224806201550386,1.071982281284607,0.2204995693367786,0.06976744186046512,0.8074935400516797,37.2093023255814,0.06976744186046512,0.06976744186046512,12.403100775193797,0.06976744186046512
#tous-ensemble,0.23255813953488372,0.6151162790697676,0.3953488372093023,2.9870801033591725,0.4186046511627907,1.3970099667774085,0.20930232558139536,0.02325581395348837,0.13953488372093023,0.06976744186046512,41.02325581395348,0.02325581395348837,0.02325581395348837,0.02325581395348837
#florival #clarisse,2.532558139534884,0.6151162790697676,0.3953488372093023,2.9870801033591725,0.8074935400516793,0.32558139534883723,0.20930232558139536,0.02325581395348837,0.13953488372093023,0.06976744186046512,0.02325581395348837,41.02325581395348,0.02325581395348837,0.02325581395348837
#florival #zerbine,2.532558139534884,0.6151162790697676,0.9247606019151846,2.9870801033591725,0.8074935400516793,1.3970099667774085,2.9870801033591725,0.02325581395348837,5.3062015503875966,12.403100775193797,0.02325581395348837,0.02325581395348837,41.02325581395348,0.02325581395348837
#le-baron #le-vicomte #clarisse #zerbine #fabrice #florival #jeannette,2.532558139534884,0.6151162790697676,0.9247606019151846,0.20930232558139536,0.8074935400516793,1.3970099667774085,0.20930232558139536,0.02325581395348837,5.3062015503875966,0.06976744186046512,0.02325581395348837,0.02325581395348837,0.02325581395348837,41.02325581395348
Successions,#fabrice,#florival,#jeannette,#clarisse,#le-baron,#zerbine,#le-vicomte,#jeannette #fabrice,#ensemble,#le-baron #florival,#tous-ensemble,#florival #clarisse,#florival #zerbine,#le-baron #le-vicomte #clarisse #zerbine #fabrice #florival #jeannette
#fabrice,0.0,0.030303030303030304,0.24242424242424243,0.0,0.06060606060606061,0.5757575757575758,0.0,0.030303030303030304,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0
#florival,0.016129032258064516,0.0,0.3709677419354839,0.16129032258064516,0.3064516129032258,0.016129032258064516,0.11290322580645161,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0
#jeannette,0.1568627450980392,0.4117647058823529,0.0,0.0196078431372549,0.23529411764705882,0.09803921568627451,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0196078431372549
#clarisse,0.045454545454545456,0.22727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0
#le-baron,0.017543859649122806,0.38596491228070173,0.21052631578947367,0.05263157894736842,0.0,0.10526315789473684,0.17543859649122806,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0
#zerbine,0.5714285714285714,0.11428571428571428,0.0,0.02857142857142857,0.22857142857142856,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
