VALEUR,#elvire,#le-comte,#chimene,#l-infante,#leonor,#page,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
Fréquences (scènes),0.25,0.125,0.46875,0.25,0.09375,0.0625,0.28125,0.28125,0.0625,0.21875,0.15625,0.0625
Fréquences(répliques),0.05422993492407809,0.07212581344902386,0.25216919739696314,0.1079175704989154,0.03470715835140998,0.0021691973969631237,0.1306941431670282,0.1816702819956616,0.01789587852494577,0.11171366594360087,0.031995661605206074,0.0027114967462039045
Confrontation,0.08333333333333333,0.03333333333333333,0.20833333333333334,0.09166666666666666,0.03333333333333333,0.03333333333333333,0.10833333333333334,0.09166666666666666,0.03333333333333333,0.14166666666666666,0.1,0.041666666666666664
Déviations,#elvire,#le-comte,#chimene,#l-infante,#leonor,#page,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
#elvire,18.0,0.0,1.35,2.0,0.75,0.5,2.25,0.027777777777777776,0.5,1.75,0.05,0.5
#le-comte,0.0,24.5,1.875,1.0,0.375,0.25,0.013888888888888888,0.013888888888888888,2.25,0.875,0.625,0.25
#chimene,1.35,1.875,9.03125,0.016666666666666666,1.40625,0.004166666666666667,0.35208333333333336,0.35208333333333336,0.9375,0.1574404761904762,1.1704166666666667,0.9375
#l-infante,2.0,1.0,0.016666666666666666,18.0,6.75,4.5,2.25,0.6944444444444444,0.5,0.32142857142857145,1.25,0.5
#leonor,0.75,0.375,1.40625,6.75,26.28125,3.5208333333333335,0.84375,0.84375,0.1875,0.65625,0.46875,0.1875
#page,0.5,0.25,0.004166666666666667,4.5,3.5208333333333335,28.125,0.5625,0.5625,0.125,0.4375,0.3125,0.125
#don-diegue,2.25,0.013888888888888888,0.35208333333333336,2.25,0.84375,0.5625,16.53125,0.11149691358024691,0.5625,2.095734126984127,0.25069444444444444,0.3402777777777778
#don-rodrigue,0.027777777777777776,0.013888888888888888,0.35208333333333336,0.6944444444444444,0.84375,0.5625,0.11149691358024691,16.53125,0.5625,0.000496031746031746,1.40625,0.5625
#don-arias,0.5,2.25,0.9375,0.5,0.1875,0.125,0.5625,0.5625,28.125,0.7232142857142857,1.5125,6.125
#don-fernand,1.75,0.875,0.1574404761904762,0.32142857142857145,0.65625,0.4375,2.095734126984127,0.000496031746031746,0.7232142857142857,19.53125,3.3223214285714286,5.580357142857143
#don-sanche,0.05,0.625,1.1704166666666667,1.25,0.46875,0.3125,0.25069444444444444,1.40625,1.5125,3.3223214285714286,22.78125,1.5125
#don-alonse,0.5,0.25,0.9375,0.5,0.1875,0.125,0.3402777777777778,0.5625,6.125,5.580357142857143,1.5125,28.125
Successions,#elvire,#le-comte,#chimene,#l-infante,#leonor,#page,#don-diegue,#don-rodrigue,#don-arias,#don-fernand,#don-sanche,#don-alonse
#elvire,0.0,0.037037037037037035,0.8148148148148148,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0,0.0
#le-comte,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.0,0.0,0.0
#chimene,0.22580645161290322,0.0,0.010752688172043012,0.16129032258064516,0.0,0.03225806451612903,0.08602150537634409,0.2903225806451613,0.0,0.11827956989247312,0.07526881720430108,0.0
#l-infante,0.02631578947368421,0.02631578947368421,0.42105263157894735,0.02631578947368421,0.42105263157894735,0.02631578947368421,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0
#leonor,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#page,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-diegue,0.0,0.35714285714285715,0.21428571428571427,0.0,0.0,0.0,0.047619047619047616,0.21428571428571427,0.0,0.16666666666666666,0.0,0.0
#don-rodrigue,0.07017543859649122,0.19298245614035087,0.47368421052631576,0.017543859649122806,0.0,0.0,0.17543859649122806,0.0,0.0,0.07017543859649122,0.0,0.0
#don-arias,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0
#don-fernand,0.0,0.0,0.3142857142857143,0.02857142857142857,0.0,0.0,0.2,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.14285714285714285,0.08571428571428572
#don-sanche,0.08333333333333333,0.0,0.5,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
#don-alonse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
