VALEUR,#le-chevalier,#le-marquis,#la-presidente,#la-fleur,#monsieur-serpolet,#l-amour,#l-esperance,#mercure,#caron,#pluton,#la-vieillesse,#la-migraine,#la-necessite,#la-paralysie,#l-envie,#la-haine,#la-fievre,#le-transport
Fréquences (scènes),0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.04792746113989637,0.038860103626943004,0.05829015544041451,0.006476683937823834,0.01683937823834197,0.09067357512953368,0.02072538860103627,0.327720207253886,0.02849740932642487,0.08031088082901554,0.029792746113989636,0.04145077720207254,0.03238341968911917,0.03367875647668394,0.03756476683937824,0.027202072538860103,0.010362694300518135,0.07124352331606218
Confrontation,0.10256410256410256,0.08974358974358974,0.08974358974358974,0.038461538461538464,0.038461538461538464,0.02564102564102564,0.01282051282051282,0.21794871794871795,0.01282051282051282,0.16666666666666666,0.02564102564102564,0.01282051282051282,0.02564102564102564,0.02564102564102564,0.038461538461538464,0.038461538461538464,0.01282051282051282,0.02564102564102564
Déviations,#le-chevalier,#le-marquis,#la-presidente,#la-fleur,#monsieur-serpolet,#l-amour,#l-esperance,#mercure,#caron,#pluton,#la-vieillesse,#la-migraine,#la-necessite,#la-paralysie,#l-envie,#la-haine,#la-fievre,#le-transport
#le-chevalier,9.941176470588236,7.455882352941176,7.455882352941176,2.485294117647059,2.485294117647059,0.47058823529411764,0.47058823529411764,2.588235294117647,0.23529411764705882,1.6470588235294117,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882
#le-marquis,7.455882352941177,11.529411764705882,4.0849673202614385,3.843137254901961,3.843137254901961,0.3529411764705882,0.3529411764705882,1.9411764705882355,0.1764705882352941,1.2352941176470589,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941
#la-presidente,7.455882352941177,4.0849673202614385,11.529411764705882,3.843137254901961,3.843137254901961,0.3529411764705882,0.3529411764705882,1.9411764705882355,0.1764705882352941,1.2352941176470589,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941
#la-fleur,2.485294117647059,3.8431372549019605,3.8431372549019605,15.058823529411764,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#monsieur-serpolet,2.485294117647059,3.8431372549019605,3.8431372549019605,0.058823529411764705,15.058823529411764,0.11764705882352941,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#l-amour,0.47058823529411764,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.11764705882352941,13.235294117647058,2.485294117647059,0.06684491978609627,0.11764705882352941,0.8235294117647058,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
#l-esperance,0.47058823529411764,0.35294117647058826,0.35294117647058826,0.11764705882352941,0.11764705882352941,2.485294117647059,13.235294117647058,1.2941176470588236,0.11764705882352941,0.8235294117647058,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941
#mercure,2.588235294117647,1.9411764705882355,1.9411764705882355,0.6470588235294118,0.6470588235294118,0.06684491978609627,1.2941176470588236,2.1176470588235285,0.19251336898395718,1.3475935828877006,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718
#caron,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,15.058823529411764,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
