VALEUR,#titsa,#melech,#dagar,#les-jeunes-filles,#dagar #les-jeunes-filles,#juna,#ane,#melech #dagar #les-jeunes-filles,#schem,#loth,#le-choeur,#raab,#ensemble,#juna #ane,#tous,#loth #raab #les-jeunes-filles,#le-gomorrheen
Fréquences (scènes),0.5,0.75,0.5833333333333334,0.08333333333333333,0.041666666666666664,0.25,0.25,0.041666666666666664,0.25,0.4166666666666667,0.125,0.25,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.0,0.2018140589569161,0.4557823129251701,0.06802721088435375,0.009070294784580499,0.0022675736961451248,0.0045351473922902496,0.009070294784580499,0.06575963718820861,0.04308390022675737,0.06349206349206349,0.0,0.031746031746031744,0.02947845804988662,0.006802721088435374,0.009070294784580499,0.0
Confrontation,0.09392265193370165,0.14917127071823205,0.1408839779005525,0.03867403314917127,0.013812154696132596,0.08287292817679558,0.08287292817679558,0.013812154696132596,0.06629834254143646,0.10220994475138122,0.049723756906077346,0.058011049723756904,0.03867403314917127,0.008287292817679558,0.024861878453038673,0.024861878453038673,0.011049723756906077
Déviations,#titsa,#melech,#dagar,#les-jeunes-filles,#dagar #les-jeunes-filles,#juna,#ane,#melech #dagar #les-jeunes-filles,#schem,#loth,#le-choeur,#raab,#ensemble,#juna #ane,#tous,#loth #raab #les-jeunes-filles,#le-gomorrheen
#titsa,6.0,0.0,0.14285714285714285,1.0,0.5,1.3333333333333333,1.3333333333333333,0.5,1.3333333333333333,0.0,0.16666666666666666,1.3333333333333333,0.0,0.5,0.5,0.5,0.5
#melech,0.0,1.5,0.023809523809523808,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.3,0.25,0.05555555555555555,0.16666666666666666,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333
#dagar,0.14285714285714285,0.023809523809523808,4.166666666666664,0.5952380952380955,0.2976190476190477,0.07142857142857142,0.07142857142857142,0.2976190476190477,0.6428571428571429,0.2333333333333331,0.8928571428571429,0.6428571428571429,0.5952380952380955,0.5833333333333333,0.2976190476190477,0.2976190476190477,0.5833333333333333
#les-jeunes-filles,1.0,0.16666666666666666,0.5952380952380951,20.166666666666664,10.083333333333332,4.5,4.5,0.08333333333333333,0.5,0.03333333333333332,2.25,0.5,4.166666666666668,0.08333333333333333,10.083333333333332,10.083333333333332,0.08333333333333333
#dagar #les-jeunes-filles,0.5,0.08333333333333333,0.29761904761904756,10.083333333333332,22.04166666666667,2.25,2.25,0.041666666666666664,0.25,0.4166666666666667,0.125,0.25,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#juna,1.3333333333333333,0.05555555555555555,0.07142857142857142,4.5,2.25,13.5,13.5,2.25,1.5,0.1,0.08333333333333333,1.5,0.5,2.25,2.25,2.25,0.25
#juna,1.3333333333333333,0.05555555555555555,0.07142857142857142,4.5,2.25,13.5,13.5,2.25,1.5,0.1,0.08333333333333333,1.5,0.5,2.25,2.25,2.25,0.25
#melech #dagar #les-jeunes-filles,0.5,0.08333333333333333,0.29761904761904756,0.08333333333333333,0.041666666666666664,2.25,2.25,22.04166666666667,0.25,0.4166666666666667,0.125,0.25,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#schem,1.3333333333333333,0.05555555555555555,0.6428571428571429,0.5,0.25,1.5,1.5,0.25,13.5,0.1,2.0833333333333335,0.16666666666666666,0.5,0.25,0.25,0.25,2.25
#loth,0.0,0.3,0.2333333333333331,0.03333333333333337,0.41666666666666663,0.1,0.1,0.41666666666666663,0.1,8.166666666666664,0.45,0.1,1.6333333333333337,0.41666666666666663,0.8166666666666669,0.8166666666666669,0.41666666666666663
#le-choeur,0.16666666666666666,0.25,0.8928571428571429,2.25,0.125,0.08333333333333333,0.08333333333333333,0.125,2.0833333333333335,0.45,18.375,0.08333333333333333,2.25,0.125,6.125,6.125,0.125
#raab,1.3333333333333333,0.05555555555555555,0.6428571428571429,0.5,0.25,1.5,1.5,0.25,0.16666666666666666,0.1,0.08333333333333333,13.5,0.5,2.25,0.25,0.25,2.25
#ensemble,0.0,0.16666666666666666,0.5952380952380951,4.166666666666668,0.08333333333333333,0.5,0.5,0.08333333333333333,0.5,1.6333333333333329,2.25,0.5,20.166666666666664,0.08333333333333333,10.083333333333332,10.083333333333332,0.08333333333333333
#juna #ane,0.5,0.75,0.5833333333333334,0.08333333333333333,0.041666666666666664,2.25,2.25,0.041666666666666664,0.25,0.4166666666666667,0.125,2.25,0.08333333333333333,22.04166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664
#tous,0.5,0.08333333333333333,0.29761904761904756,10.083333333333332,0.041666666666666664,2.25,2.25,0.041666666666666664,0.25,0.8166666666666664,6.125,0.25,10.083333333333332,0.041666666666666664,22.04166666666667,22.04166666666667,0.041666666666666664
#tous,0.5,0.08333333333333333,0.29761904761904756,10.083333333333332,0.041666666666666664,2.25,2.25,0.041666666666666664,0.25,0.8166666666666664,6.125,0.25,10.083333333333332,0.041666666666666664,22.04166666666667,22.04166666666667,0.041666666666666664
#le-gomorrheen,0.5,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.041666666666666664,0.25,0.25,0.041666666666666664,2.25,0.4166666666666667,0.125,2.25,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,22.04166666666667
Successions,#titsa,#melech,#dagar,#les-jeunes-filles,#dagar #les-jeunes-filles,#juna,#ane,#melech #dagar #les-jeunes-filles,#schem,#loth,#le-choeur,#raab,#ensemble,#juna #ane,#tous,#loth #raab #les-jeunes-filles,#le-gomorrheen
#titsa,0.017857142857142856,0.19642857142857142,0.48214285714285715,0.0,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.07142857142857142,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melech,0.08771929824561403,0.008771929824561403,0.6052631578947368,0.07017543859649122,0.008771929824561403,0.0,0.008771929824561403,0.0,0.008771929824561403,0.18421052631578946,0.008771929824561403,0.0,0.0,0.0,0.0,0.008771929824561403,0.0
#dagar,0.16666666666666666,0.4074074074074074,0.012345679012345678,0.024691358024691357,0.0,0.024691358024691357,0.012345679012345678,0.0,0.16666666666666666,0.13580246913580246,0.018518518518518517,0.006172839506172839,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0
#les-jeunes-filles,0.0,0.5,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dagar #les-jeunes-filles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#juna,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.13333333333333333,0.0,0.2,0.0,0.06666666666666667,0.0,0.0,0.0
