VALEUR,#titsa,#melech,#dagar,#les-jeunes-filles,#dagar #les-jeunes-filles,#juna,#ane,#melech #dagar #les-jeunes-filles,#schem,#loth,#le-choeur,#raab,#ensemble,#juna #ane,#tous,#loth #raab #les-jeunes-filles,#le-gomorrheen
#ane,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0
#melech #dagar #les-jeunes-filles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#schem,0.15384615384615385,0.02564102564102564,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0,0.10256410256410256
#loth,0.15942028985507245,0.30434782608695654,0.3333333333333333,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.028985507246376812,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#raab,0.0,0.09090909090909091,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
#ensemble,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#juna #ane,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#loth #raab #les-jeunes-filles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-gomorrheen,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
