VALEUR,#la-satire,#apollon,#uranie,#clio,#la-renommee,#calliope,#melpomene,#terpsicore,#thalie,#les-muses,#polymnie,#polymnie #calliope,#le-chef-des-arts,#le-chef-des-talents,#tous,#isabelle,#clarice,#dorise,#hassan,#dorise #isabelle,#osmin,#axelie,#d-oberval,#une-esclave,#les-deux-esclaves,#choeur-d-esclaves,#une-des-deux-esclaves,#le-choeur,#l-esclave,#dernier-choeur,#le-peuple,#le-paysan,#la-paysanne
Fréquences (scènes),0.11538461538461539,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.3076923076923077,0.2692307692307692,0.3076923076923077,0.0,0.11538461538461539,0.07692307692307693,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fréquences(répliques),0.030035335689045935,0.028268551236749116,0.00530035335689046,0.007067137809187279,0.011778563015312132,0.006478209658421673,0.015901060070671377,0.0005889281507656066,0.03356890459363958,0.0005889281507656066,0.001177856301531213,0.002944640753828033,0.001177856301531213,0.0017667844522968198,0.0017667844522968198,0.06713780918727916,0.11366313309776208,0.1254416961130742,0.2414605418138987,0.010011778563015312,0.07773851590106007,0.02237926972909305,0.14546525323910484,0.009422850412249705,0.0035335689045936395,0.0005889281507656066,0.009422850412249705,0.007067137809187279,0.00530035335689046,0.002355712603062426,0.0,0.004711425206124852,0.005889281507656066
Confrontation,0.07303370786516854,0.10674157303370786,0.056179775280898875,0.0898876404494382,0.07303370786516854,0.016853932584269662,0.056179775280898875,0.016853932584269662,0.056179775280898875,0.03932584269662921,0.0,0.0,0.0,0.0,0.0,0.06741573033707865,0.07303370786516854,0.08426966292134831,0.07865168539325842,0.0,0.02247191011235955,0.016853932584269662,0.07303370786516854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Déviations,#la-satire,#apollon,#uranie,#clio,#la-renommee,#calliope,#melpomene,#terpsicore,#thalie,#les-muses,#polymnie,#polymnie #calliope,#le-chef-des-arts,#le-chef-des-talents,#tous,#isabelle,#clarice,#dorise,#hassan,#dorise #isabelle,#osmin,#axelie,#d-oberval,#une-esclave,#les-deux-esclaves,#choeur-d-esclaves,#une-des-deux-esclaves,#le-choeur,#l-esclave,#dernier-choeur,#le-peuple,#le-paysan,#la-paysanne
#la-satire,20.346153846153843,10.176923076923075,13.564102564102562,5.128205128205127,7.901709401709401,0.11538461538461539,2.5641025641025634,0.11538461538461539,7.901709401709401,6.782051282051281,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.9230769230769231,0.8076923076923077,0.9230769230769231,0.0,0.34615384615384615,0.23076923076923078,1.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,10.176923076923075,16.96153846153846,6.7846153846153845,13.569230769230769,10.176923076923075,3.3923076923076922,6.7846153846153845,3.3923076923076922,3.510256410256409,3.3923076923076922,0.0,0.0,0.0,0.0,0.0,1.153846153846154,1.5384615384615385,1.346153846153846,1.5384615384615385,0.0,0.576923076923077,0.38461538461538464,2.1153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,13.564102564102562,6.7846153846153845,22.153846153846157,9.307692307692307,2.5641025641025634,0.07692307692307693,4.653846153846153,0.07692307692307693,2.5641025641025634,11.076923076923078,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.0,0.23076923076923078,0.15384615384615385,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clio,5.128205128205127,13.569230769230769,9.307692307692307,18.615384615384613,5.128205128205127,4.653846153846153,9.307692307692307,4.653846153846153,0.6282051282051281,4.653846153846153,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.2307692307692308,1.0769230769230769,1.2307692307692308,0.0,0.46153846153846156,0.3076923076923077,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-renommee,7.901709401709401,10.176923076923075,2.5641025641025634,5.128205128205127,20.346153846153843,6.782051282051281,2.5641025641025634,0.11538461538461539,7.901709401709401,6.782051282051281,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.9230769230769231,0.8076923076923077,0.9230769230769231,0.0,0.34615384615384615,0.23076923076923078,1.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#calliope,0.11538461538461539,3.3923076923076922,0.07692307692307693,4.653846153846153,6.782051282051281,24.038461538461537,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.3076923076923077,0.2692307692307692,0.3076923076923077,0.0,0.11538461538461539,0.07692307692307693,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
