VALEUR,#blaise,#le-baron,#monsieur-grognet,#la-presidente,#la-marquise,#jasmin,#madame-guimauvin,#le-chevalier,#babet,#la-roche,#valere,#tous-les-acteurs-et-actrices,#le-baron #monsieur-grognet,#un-des-acteurs,#un-pantalon,#une-actrice,#un-pantalon #un-polichinelle,#le-pantalon
Fréquences (scènes),0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
Fréquences(répliques),0.2345679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.0,0.07407407407407407,0.04938271604938271,0.18518518518518517,0.16049382716049382,0.2716049382716049
Confrontation,0.1440677966101695,0.13135593220338984,0.1228813559322034,0.0423728813559322,0.038135593220338986,0.00423728813559322,0.09322033898305085,0.0635593220338983,0.0847457627118644,0.08050847457627118,0.0423728813559322,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288
Déviations,#blaise,#le-baron,#monsieur-grognet,#la-presidente,#la-marquise,#jasmin,#madame-guimauvin,#le-chevalier,#babet,#la-roche,#valere,#tous-les-acteurs-et-actrices,#le-baron #monsieur-grognet,#un-des-acteurs,#un-pantalon,#une-actrice,#un-pantalon #un-polichinelle,#le-pantalon
#blaise,8.0,0.34615384615384615,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.5,0.5,0.0,0.07142857142857142,0.2,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#le-baron,0.34615384615384615,11.28125,5.160523504273504,2.6033653846153846,2.4375,0.40625,0.750267094017094,0.12980769230769232,0.2503434065934066,1.0471153846153847,0.04326923076923077,0.8677884615384616,0.8677884615384616,0.40625,0.40625,0.40625,0.40625,0.40625
#monsieur-grognet,0.05555555555555555,5.160523504273504,16.53125,5.510416666666667,1.6875,0.28125,0.08680555555555555,1.0208333333333333,0.5401785714285714,1.1680555555555556,0.3402777777777778,1.8368055555555556,1.8368055555555556,0.28125,0.28125,0.28125,0.28125,0.28125
#la-presidente,0.16666666666666666,2.6033653846153846,5.510416666666667,26.28125,0.5625,0.09375,0.84375,3.673611111111111,0.65625,0.9375,0.1875,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.09375
#la-marquise,0.3333333333333333,2.4375,1.6875,0.5625,21.125,3.5208333333333335,0.05787037037037037,0.6805555555555556,1.3125,0.008333333333333333,0.375,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
#jasmin,0.5,0.40625,0.28125,0.09375,3.5208333333333335,30.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
#madame-guimauvin,0.5,0.750267094017094,0.08680555555555555,0.84375,0.05787037037037037,0.28125,16.53125,0.2800925925925926,8.254464285714286,0.23472222222222222,0.3402777777777778,1.8368055555555556,1.8368055555555556,0.28125,0.28125,0.28125,0.28125,0.28125
#le-chevalier,0.0,0.12980769230769232,1.0208333333333333,3.673611111111111,0.6805555555555556,0.1875,0.2800925925925926,21.125,1.3125,0.4083333333333333,0.375,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
#babet,0.07142857142857142,0.2503434065934066,0.5401785714285714,0.65625,1.3125,0.21875,8.254464285714286,1.3125,19.53125,0.30178571428571427,0.7232142857142857,2.7901785714285716,2.7901785714285716,0.21875,0.21875,0.21875,0.21875,0.21875
#la-roche,0.2,1.0471153846153847,1.1680555555555556,0.9375,0.008333333333333333,0.3125,0.23472222222222222,0.4083333333333333,0.30178571428571427,15.125,3.025,1.5125,1.5125,0.3125,0.3125,0.3125,0.3125,0.3125
#valere,1.0,0.04326923076923077,0.3402777777777778,0.1875,0.375,0.0625,0.3402777777777778,0.375,0.7232142857142857,3.025,28.125,14.0625,14.0625,0.0625,0.0625,0.0625,0.0625,0.0625
#tous-les-acteurs-et-actrices,0.5,0.8677884615384616,1.8368055555555556,0.09375,0.1875,0.03125,1.8368055555555556,0.1875,2.7901785714285716,1.5125,14.0625,30.03125,30.03125,0.03125,0.03125,0.03125,0.03125,0.03125
#tous-les-acteurs-et-actrices,0.5,0.8677884615384616,1.8368055555555556,0.09375,0.1875,0.03125,1.8368055555555556,0.1875,2.7901785714285716,1.5125,14.0625,30.03125,30.03125,0.03125,0.03125,0.03125,0.03125,0.03125
#un-des-acteurs,0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,30.03125,30.03125,30.03125,30.03125,30.03125
#un-des-acteurs,0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,30.03125,30.03125,30.03125,30.03125,30.03125
#un-des-acteurs,0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,30.03125,30.03125,30.03125,30.03125,30.03125
#un-des-acteurs,0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,30.03125,30.03125,30.03125,30.03125,30.03125
#un-des-acteurs,0.5,0.40625,0.28125,0.09375,0.1875,0.03125,0.28125,0.1875,0.21875,0.3125,0.0625,0.03125,0.03125,30.03125,30.03125,30.03125,30.03125,30.03125
Successions,#blaise,#le-baron,#monsieur-grognet,#la-presidente,#la-marquise,#jasmin,#madame-guimauvin,#le-chevalier,#babet,#la-roche,#valere,#tous-les-acteurs-et-actrices,#le-baron #monsieur-grognet,#un-des-acteurs,#un-pantalon,#une-actrice,#un-pantalon #un-polichinelle,#le-pantalon
#blaise,0.0,0.38095238095238093,0.031746031746031744,0.047619047619047616,0.1111111111111111,0.015873015873015872,0.19047619047619047,0.031746031746031744,0.047619047619047616,0.06349206349206349,0.06349206349206349,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0
#le-baron,0.3584905660377358,0.0,0.16981132075471697,0.11320754716981132,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.24528301886792453,0.018867924528301886,0.018867924528301886,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-grognet,0.23333333333333334,0.1,0.0,0.13333333333333333,0.0,0.0,0.2,0.03333333333333333,0.16666666666666666,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-presidente,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.23076923076923078,0.0,0.0,0.0,0.0,0.02564102564102564,0.4358974358974359,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jasmin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-guimauvin,0.2033898305084746,0.03389830508474576,0.11864406779661017,0.0,0.2711864406779661,0.0,0.0,0.1016949152542373,0.22033898305084745,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.18181818181818182,0.0,0.0,0.45454545454545453,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.10714285714285714,0.0,0.17857142857142858,0.0,0.0,0.0,0.4642857142857143,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-roche,0.0625,0.3125,0.020833333333333332,0.0,0.08333333333333333,0.0,0.08333333333333333,0.10416666666666667,0.14583333333333334,0.041666666666666664,0.14583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valere,0.375,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-les-acteurs-et-actrices,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-baron #monsieur-grognet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-les-acteurs-et-actrices,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-pantalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#une-actrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#un-pantalon #un-polichinelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-pantalon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
