VALEUR,#le-choeur,#dorilas,#climene,#silene,#lisimene,#palemon,#damis,#silvanire,#ergaste,#telamire,#philis,#premiere-bergere,#seconde-bergere,#les-deux-bergeres,#bergers
#silene,0.0,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.27692307692307694,0.15384615384615385,0.2,0.26153846153846155,0.015384615384615385,0.03076923076923077,0.0,0.0,0.0,0.0,0.0
#lisimene,0.0,0.010526315789473684,0.1368421052631579,0.18947368421052632,0.031578947368421054,0.0,0.0,0.11578947368421053,0.22105263157894736,0.21052631578947367,0.08421052631578947,0.0,0.0,0.0,0.0
#palemon,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
#damis,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.6111111111111112,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
#silvanire,0.0,0.01098901098901099,0.0,0.2087912087912088,0.12087912087912088,0.0989010989010989,0.23076923076923078,0.01098901098901099,0.01098901098901099,0.3076923076923077,0.0,0.0,0.0,0.0,0.0
#ergaste,0.0,0.02,0.14,0.0,0.42,0.0,0.02,0.04,0.0,0.26,0.1,0.0,0.0,0.0,0.0
#telamire,0.0,0.0,0.0,0.015625,0.3125,0.0,0.0,0.421875,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#philis,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
#premiere-bergere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
#seconde-bergere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#les-deux-bergeres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#bergers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
