VALEUR,#chrysalde,#arnolphe,#alain,#georgette,#agnes,#horace,#alain #georgette,#notaire,#enrique,#oronte
Fréquences (scènes),0.125,0.875,0.28125,0.25,0.1875,0.28125,0.03125,0.0625,0.0625,0.09375
Fréquences(répliques),0.1027327935222672,0.48431174089068824,0.030870445344129555,0.0298582995951417,0.11892712550607287,0.18775303643724697,0.0005060728744939271,0.020748987854251014,0.009615384615384616,0.014676113360323886
Confrontation,0.08208955223880597,0.26865671641791045,0.11940298507462686,0.12686567164179105,0.07462686567164178,0.12686567164179105,0.022388059701492536,0.022388059701492536,0.06716417910447761,0.08955223880597014
Déviations,#chrysalde,#arnolphe,#alain,#georgette,#agnes,#horace,#alain #georgette,#notaire,#enrique,#oronte
#chrysalde,24.5,0.07142857142857142,1.125,1.0,0.08333333333333333,0.6805555555555556,0.125,0.25,12.25,7.041666666666667
#arnolphe,0.07142857142857142,0.5,0.09722222222222222,0.14285714285714285,0.011904761904761904,0.09722222222222222,0.017857142857142856,0.32142857142857145,0.03571428571428571,0.05357142857142857
#alain,1.125,0.09722222222222222,16.53125,10.027777777777779,1.6875,2.53125,1.8368055555555556,0.3402777777777778,0.5625,0.84375
#georgette,1.0,0.14285714285714285,10.027777777777779,18.0,1.5,0.6944444444444444,2.25,0.5,0.5,0.08333333333333333
#agnes,0.08333333333333333,0.011904761904761904,1.6875,1.5,21.125,0.05787037037037037,0.1875,0.375,1.0416666666666667,0.3402777777777778
#horace,0.6805555555555556,0.09722222222222222,2.53125,0.6944444444444444,0.05787037037037037,16.53125,0.28125,0.5625,3.673611111111111,5.510416666666667
#alain #georgette,0.125,0.017857142857142856,1.8368055555555556,2.25,0.1875,0.28125,30.03125,0.0625,0.0625,0.09375
#notaire,0.25,0.32142857142857145,0.3402777777777778,0.5,0.375,0.5625,0.0625,28.125,0.125,0.1875
#enrique,12.25,0.03571428571428571,0.5625,0.5,1.0416666666666667,3.673611111111111,0.0625,0.125,28.125,17.520833333333332
#oronte,7.041666666666667,0.05357142857142857,0.84375,0.08333333333333333,0.3402777777777778,5.510416666666667,0.09375,0.1875,17.520833333333332,26.28125
Successions,#chrysalde,#arnolphe,#alain,#georgette,#agnes,#horace,#alain #georgette,#notaire,#enrique,#oronte
#chrysalde,0.0,0.7105263157894737,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.05263157894736842,0.21052631578947367
#arnolphe,0.13865546218487396,0.04201680672268908,0.09663865546218488,0.06302521008403361,0.31932773109243695,0.2605042016806723,0.0,0.05042016806722689,0.0,0.029411764705882353
#alain,0.0,0.3953488372093023,0.0,0.5813953488372093,0.0,0.0,0.0,0.023255813953488372,0.0,0.0
#georgette,0.0,0.45,0.475,0.0,0.0,0.025,0.025,0.025,0.0,0.0
#agnes,0.0,0.8863636363636364,0.0,0.0,0.0,0.11363636363636363,0.0,0.0,0.0,0.0
#horace,0.0,0.8421052631578947,0.0,0.0,0.14473684210526316,0.0,0.0,0.0,0.0,0.013157894736842105
#alain #georgette,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#notaire,0.0,0.8666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
#enrique,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#oronte,0.3125,0.625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
