VALEUR,#le-duc,#lorenzo,#giomo,#maffio,#le-marchand,#l-orfevre,#le-marchand-de-soieries,#premier-ecolier,#second-ecolier,#la-femme,#le-bourgeois,#un-soldat,#un-page,#salviati,#le-provediteur,#un-masque,#julien,#louise,#le-marquis,#la-marquise,#le-cardinal,#ascanio,#agnolo,#valori,#sire-maurice,#une-femme,#la-voisine,#une-dame-de-la-cour,#le-premier-cavalier,#un-autre-cavalier,#premier-bourgeois,#deuxieme-bourgeois,#l-officier,#premiere-dame,#deuxieme-dame,#le-prieur,#un-des-bourgeois,#le-deuxieme-bourgeois,#catherine,#marie,#premier-banni,#second-banni,#troiseme-banni,#quatrieme-banni,#troisieme-banni,#une-voix,#une-autre-banni,#tous-les-bannis,#philippe,#pierre,#tebaldeo,#bindo,#venturi,#scoronconcolo,#thomas,#second-bourgeois,#un-homme-du-peuple,#les-convives,#ph6ilippe,#convive,#le-medecin,#un-convive,#le-portier,#les-moines,#pierre-strozzi,#alamanno,#pazzi,#deuxieme-banni,#le-deuxieme-banni,#guicciardini,#le-messager,#le-seigneur,#plusieurs-seigneurs,#les-courtisans,#vettori,#capponi,#acciaiuoli,#ruccellai,#canigiani,#corsi,#les-huit,#premier-gentilhomme,#deuxieme-gentilhomme,#premier-precepteur,#deuxieme-precepteur,#le-petit-salviati,#le-petit-strozzi,#l-etudiant,#les-soldats,#un-autre-etudiant,#jean,#pippo,#le-peuple,#le-cardinal-cibo,#come
Fréquences (scènes),0.2564102564102564,0.4358974358974359,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.23076923076923078,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.20512820512820512,0.20512820512820512,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
Fréquences(répliques),0.0,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.031001589825119236,0.03656597774244833,0.016693163751987282,0.010333863275039745,0.011128775834658187,0.02782193958664547,0.02782193958664547,0.011128775834658187,0.011128775834658187,0.011128775834658187,0.030206677265500796,0.013513513513513514,0.01589825119236884,0.0246422893481717,0.013513513513513514,0.011128775834658187,0.011128775834658187,0.019077901430842606,0.0047694753577106515,0.008744038155802861,0.029411764705882353,0.003179650238473768,0.0047694753577106515,0.016693163751987282,0.017488076311605722,0.012718600953895072,0.012718600953895072,0.012718600953895072,0.012718600953895072,0.012718600953895072,0.019077901430842606,0.012718600953895072,0.019077901430842606,0.012718600953895072,0.012718600953895072,0.017488076311605722,0.012718600953895072,0.012718600953895072,0.014308426073131956,0.013513513513513514,0.010333863275039745,0.00794912559618442,0.00794912559618442,0.00794912559618442,0.00794912559618442,0.00794912559618442,0.00794912559618442,0.00794912559618442,0.021462639109697933,0.019077901430842606,0.00397456279809221,0.0047694753577106515,0.0047694753577106515,0.003179650238473768,0.008744038155802861,0.006359300476947536,0.006359300476947536,0.0047694753577106515,0.0047694753577106515,0.0047694753577106515,0.0047694753577106515,0.0047694753577106515,0.0023847376788553257,0.0023847376788553257,0.001589825119236884,0.0023847376788553257,0.0023847376788553257,0.0023847376788553257,0.0023847376788553257,0.01192368839427663,0.012718600953895072,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.01192368839427663,0.000794912559618442,0.000794912559618442,0.00397456279809221,0.00397456279809221,0.00397456279809221,0.00397456279809221,0.0023847376788553257,0.005564387917329093,0.0023847376788553257,0.0023847376788553257,0.0023847376788553257,0.003179650238473768,0.003179650238473768,0.003179650238473768
Déviations,#le-duc,#lorenzo,#giomo,#maffio,#le-marchand,#l-orfevre,#le-marchand-de-soieries,#premier-ecolier,#second-ecolier,#la-femme,#le-bourgeois,#un-soldat,#un-page,#salviati,#le-provediteur,#un-masque,#julien,#louise,#le-marquis,#la-marquise,#le-cardinal,#ascanio,#agnolo,#valori,#sire-maurice,#une-femme,#la-voisine,#une-dame-de-la-cour,#le-premier-cavalier,#un-autre-cavalier,#premier-bourgeois,#deuxieme-bourgeois,#l-officier,#premiere-dame,#deuxieme-dame,#le-prieur,#un-des-bourgeois,#le-deuxieme-bourgeois,#catherine,#marie,#premier-banni,#second-banni,#troiseme-banni,#quatrieme-banni,#troisieme-banni,#une-voix,#une-autre-banni,#tous-les-bannis,#philippe,#pierre,#tebaldeo,#bindo,#venturi,#scoronconcolo,#thomas,#second-bourgeois,#un-homme-du-peuple,#les-convives,#ph6ilippe,#convive,#le-medecin,#un-convive,#le-portier,#les-moines,#pierre-strozzi,#alamanno,#pazzi,#deuxieme-banni,#le-deuxieme-banni,#guicciardini,#le-messager,#le-seigneur,#plusieurs-seigneurs,#les-courtisans,#vettori,#capponi,#acciaiuoli,#ruccellai,#canigiani,#corsi,#les-huit,#premier-gentilhomme,#deuxieme-gentilhomme,#premier-precepteur,#deuxieme-precepteur,#le-petit-salviati,#le-petit-strozzi,#l-etudiant,#les-soldats,#un-autre-etudiant,#jean,#pippo,#le-peuple,#le-cardinal-cibo,#come
#le-duc,21.564102564102566,1.6001508295625935,1.9692307692307693,0.46282051282051295,2.1564102564102567,0.0692307692307692,0.0692307692307692,2.1564102564102567,2.1564102564102567,2.1564102564102567,0.0692307692307692,0.46282051282051295,4.3128205128205135,1.9692307692307693,0.46282051282051295,2.1564102564102567,2.1564102564102567,0.0692307692307692,0.5128205128205128,0.062051282051282,0.20769230769230754,0.2564102564102564,0.5128205128205128,0.0692307692307692,1.9692307692307693,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.5128205128205128,0.2564102564102564,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.7692307692307693,0.2564102564102564,0.2564102564102564,0.0006410256410256366,0.0692307692307692,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,2.051282051282051,2.051282051282051,0.46282051282051295,2.1564102564102567,2.1564102564102567,0.0692307692307692,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564,0.2564102564102564
#lorenzo,1.6001508295625948,12.410256410256409,0.3665158371040724,0.018853695324283555,0.4358974358974359,1.3076923076923077,1.3076923076923077,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.07239819004524888,0.8717948717948718,0.018853695324283555,1.3076923076923077,0.018853695324283555,0.4358974358974359,0.4358974358974359,0.07239819004524888,0.8717948717948718,2.1794871794871793,0.9426847662141782,0.4358974358974359,0.8717948717948718,0.3665158371040724,0.3665158371040724,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.018853695324283555,0.4358974358974359,0.018853695324283555,0.4358974358974359,0.4358974358974359,0.07239819004524888,0.4358974358974359,0.4358974358974359,0.03770739064856711,0.07239819004524888,0.8717948717948718,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.07541478129713422,0.634238310708899,1.4600301659125188,0.7300150829562594,0.7300150829562594,2.190045248868778,0.018853695324283555,0.7300150829562594,0.7300150829562594,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.7300150829562594,0.7300150829562594,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.8717948717948718,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.4358974358974359,0.8717948717948718,0.4358974358974359,0.7300150829562594,0.7300150829562594,0.4358974358974359,0.4358974358974359,0.4358974358974359
#giomo,1.9692307692307696,0.3665158371040724,33.230769230769226,4.653846153846153,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3846153846153846,0.13675213675213677,0.07692307692307693,0.15384615384615385,2.5641025641025634,2.5641025641025634,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.6153846153846154,4.653846153846153,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078,4.653846153846153,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#maffio,0.46282051282051295,0.018853695324283555,4.653846153846153,35.1025641025641,0.05128205128205128,0.15384615384615385,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.2564102564102564,0.46153846153846156,0.05128205128205128,0.10256410256410256,0.15384615384615385,0.15384615384615385,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.05128205128205128,0.05128205128205128,3.0801282051282053,4.653846153846153,7.852564102564103,17.55128205128205,17.55128205128205,17.55128205128205,17.55128205128205,17.55128205128205,17.55128205128205,17.55128205128205,0.41025641025641024,0.41025641025641024,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128
#le-marchand,2.1564102564102567,0.4358974358974359,0.07692307692307693,0.05128205128205128,37.02564102564103,11.076923076923078,11.076923076923078,37.02564102564103,37.02564102564103,37.02564102564103,11.076923076923078,17.55128205128205,17.55128205128205,11.076923076923078,17.55128205128205,37.02564102564103,37.02564102564103,11.076923076923078,0.05128205128205128,0.1282051282051282,0.23076923076923078,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.20512820512820512,0.20512820512820512,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#l-orfevre,0.06923076923076928,1.3076923076923077,0.23076923076923078,0.15384615384615385,11.076923076923078,33.230769230769226,33.230769230769226,11.076923076923078,11.076923076923078,11.076923076923078,13.564102564102562,4.653846153846153,4.653846153846153,13.564102564102562,4.653846153846153,11.076923076923078,11.076923076923078,2.5641025641025634,0.15384615384615385,0.3846153846153846,0.6923076923076923,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.23076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,4.653846153846153,11.076923076923078,4.653846153846153,11.076923076923078,11.076923076923078,2.5641025641025634,11.076923076923078,11.076923076923078,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
