VALEUR,#van-buck,#valentin,#la-baronne,#l-abbe,#le-maitre-de-danse,#cecile,#un-domestique,#un-garçon,#le-garçon,#l-aubergiste
Fréquences (scènes),0.875,0.625,0.625,0.625,0.125,0.625,0.125,0.125,0.125,0.125
Fréquences(répliques),0.9090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.20754716981132076,0.1320754716981132,0.16037735849056603,0.16037735849056603,0.03773584905660377,0.1509433962264151,0.03773584905660377,0.03773584905660377,0.03773584905660377,0.03773584905660377
Déviations,#van-buck,#valentin,#la-baronne,#l-abbe,#le-maitre-de-danse,#cecile,#un-domestique,#un-garçon,#le-garçon,#l-aubergiste
#van-buck,0.125,0.08928571428571429,0.03214285714285714,0.03214285714285714,0.017857142857142856,0.03214285714285714,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
#valentin,0.08928571428571429,1.125,0.405,0.405,0.625,0.405,0.625,0.225,0.225,0.225
#la-baronne,0.03214285714285714,0.405,1.125,1.125,0.225,0.245,0.225,0.625,0.625,0.625
#la-baronne,0.03214285714285714,0.405,1.125,1.125,0.225,0.245,0.225,0.625,0.625,0.625
#le-maitre-de-danse,0.017857142857142856,0.625,0.225,0.225,6.125,0.225,0.125,0.125,0.125,0.125
#cecile,0.03214285714285714,0.405,0.245,0.245,0.225,1.125,0.225,0.625,0.625,0.625
#un-domestique,0.017857142857142856,0.625,0.225,0.225,0.125,0.225,6.125,0.125,0.125,0.125
#un-garçon,0.017857142857142856,0.225,0.625,0.625,0.125,0.625,0.125,6.125,6.125,6.125
#un-garçon,0.017857142857142856,0.225,0.625,0.625,0.125,0.625,0.125,6.125,6.125,6.125
#un-garçon,0.017857142857142856,0.225,0.625,0.625,0.125,0.625,0.125,6.125,6.125,6.125
Successions,#van-buck,#valentin,#la-baronne,#l-abbe,#le-maitre-de-danse,#cecile,#un-domestique,#un-garçon,#le-garçon,#l-aubergiste
#van-buck,0.0,0.7194244604316546,0.18705035971223022,0.04316546762589928,0.0,0.014388489208633094,0.0,0.007194244604316547,0.014388489208633094,0.014388489208633094
#valentin,0.65625,0.00625,0.00625,0.0,0.0,0.3125,0.0,0.0,0.0125,0.00625
#la-baronne,0.4225352112676056,0.04225352112676056,0.014084507042253521,0.352112676056338,0.028169014084507043,0.14084507042253522,0.0,0.0,0.0,0.0
#l-abbe,0.02564102564102564,0.0,0.7948717948717948,0.0,0.05128205128205128,0.10256410256410256,0.02564102564102564,0.0,0.0,0.0
#le-maitre-de-danse,0.0,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#cecile,0.014705882352941176,0.7352941176470589,0.11764705882352941,0.10294117647058823,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
#un-domestique,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-garçon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-garçon,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aubergiste,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
