VALEUR,#dianasse,#argesime,#phebide,#acorate,#lisimacus,#mandricidas,#phillus,#officier,#zelonide,#archidamie
Fréquences (scènes),0.375,0.09375,0.09375,0.4375,0.0625,0.1875,0.0625,0.03125,0.4375,0.125
Fréquences(répliques),0.2854152128401954,0.14166085136078158,0.03279832519190509,0.16678297278436846,0.04675505931612003,0.06629448709002093,0.00837404047452896,0.0006978367062107466,0.2016748080949058,0.04954640614096301
Confrontation,0.14705882352941177,0.07352941176470588,0.04411764705882353,0.25,0.029411764705882353,0.14705882352941177,0.04411764705882353,0.029411764705882353,0.17647058823529413,0.058823529411764705
Déviations,#dianasse,#argesime,#phebide,#acorate,#lisimacus,#mandricidas,#phillus,#officier,#zelonide,#archidamie
#dianasse,12.5,0.6805555555555556,3.125,0.9642857142857143,0.75,2.25,0.75,0.375,2.011904761904762,1.5
#argesime,0.6805555555555556,26.28125,0.28125,0.0744047619047619,0.1875,0.3402777777777778,3.5208333333333335,0.09375,1.3125,0.375
#phebide,3.125,0.28125,26.28125,1.3125,0.1875,0.5625,0.1875,0.09375,1.3125,0.375
#acorate,0.9642857142857143,0.0744047619047619,1.3125,10.125,1.4464285714285714,2.1488095238095237,0.017857142857142856,0.7232142857142857,0.7372448979591837,1.75
#lisimacus,0.75,0.1875,0.1875,1.4464285714285714,28.125,0.375,0.125,0.0625,0.875,0.25
#mandricidas,2.25,0.3402777777777778,0.5625,2.1488095238095237,0.375,21.125,1.0416666666666667,3.5208333333333335,0.1488095238095238,0.75
#phillus,0.75,3.5208333333333335,0.1875,0.017857142857142856,0.125,1.0416666666666667,28.125,0.0625,0.875,0.25
#officier,0.375,0.09375,0.09375,0.7232142857142857,0.0625,3.5208333333333335,0.0625,30.03125,0.4375,0.125
#zelonide,2.011904761904762,1.3125,1.3125,0.7372448979591837,0.875,0.1488095238095238,0.875,0.4375,10.125,2.892857142857143
#archidamie,1.5,0.375,0.375,1.75,0.25,0.75,0.25,0.125,2.892857142857143,24.5
Successions,#dianasse,#argesime,#phebide,#acorate,#lisimacus,#mandricidas,#phillus,#officier,#zelonide,#archidamie
#dianasse,0.0975609756097561,0.21951219512195122,0.21951219512195122,0.21951219512195122,0.0,0.0,0.0,0.0,0.24390243902439024,0.0
#argesime,0.6666666666666666,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0
#phebide,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acorate,0.23809523809523808,0.047619047619047616,0.0,0.047619047619047616,0.16666666666666666,0.11904761904761904,0.0,0.023809523809523808,0.35714285714285715,0.0
#lisimacus,0.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#mandricidas,0.0,0.23076923076923078,0.0,0.38461538461538464,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.0
#phillus,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
#officier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#zelonide,0.23076923076923078,0.0,0.0,0.41025641025641024,0.0,0.07692307692307693,0.02564102564102564,0.0,0.05128205128205128,0.20512820512820512
#archidamie,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0
