VALEUR,#diane,#elise,#julie,#pauline,#clitandre,#clorimant,#geraste,#polemas,#octave,#ormin
Fréquences (scènes),0.36585365853658536,0.43902439024390244,0.36585365853658536,0.36585365853658536,0.3902439024390244,0.43902439024390244,0.3902439024390244,0.21951219512195122,0.24390243902439024,0.2682926829268293
Fréquences(répliques),0.08778120864578738,0.20820467578297308,0.026025584472871635,0.0670489633877371,0.1415968239964711,0.1940891045434495,0.05161005734450816,0.1133656815174239,0.06352007057785619,0.04675782973092192
Confrontation,0.09649122807017543,0.1337719298245614,0.09649122807017543,0.09868421052631579,0.11403508771929824,0.1206140350877193,0.1074561403508772,0.07017543859649122,0.07675438596491228,0.08552631578947369
Déviations,#diane,#elise,#julie,#pauline,#clitandre,#clorimant,#geraste,#polemas,#octave,#ormin
#diane,16.48780487804878,1.014995483288166,13.203360433604336,2.2166937669376687,0.0036585365853658604,0.3816621499548328,0.12449186991869915,1.596386630532972,0.11853658536585356,0.0001478196600147822
#elise,1.014995483288166,12.902439024390244,1.014995483288166,6.2483288166215,8.468834688346898e-05,0.15243902439024393,0.13550135501355012,1.062330623306233,0.08468834688346873,0.006035969450603544
#julie,13.203360433604336,1.014995483288166,16.48780487804878,1.1278048780487802,0.12449186991869915,0.3816621499548328,0.12449186991869915,1.596386630532972,0.11853658536585356,0.0001478196600147822
#pauline,2.2166937669376687,6.2483288166215,1.1278048780487802,16.48780487804878,0.5869918699186991,0.8853658536585368,0.7869918699186993,0.507497741644083,1.9318699186991868,0.2607538802660754
#clitandre,0.0036585365853658604,8.468834688346898e-05,0.12449186991869915,0.5869918699186991,15.24390243902439,2.305640243902439,1.6853086890243902,1.7621951219512195,2.4586890243902437,10.480182926829267
#clorimant,0.3816621499548328,0.15243902439024393,0.3816621499548328,0.8853658536585368,2.305640243902439,12.902439024390244,9.05564024390244,0.22899728997289973,0.4402439024390246,0.6929046563192909
#geraste,0.12449186991869915,0.13550135501355012,0.12449186991869915,0.7869918699186993,1.6853086890243902,9.05564024390244,15.24390243902439,0.6510840108401085,2.1586890243902435,1.2245011086474502
#polemas,1.596386630532972,1.062330623306233,1.596386630532972,0.507497741644083,1.7621951219512195,0.22899728997289973,0.6510840108401085,24.975609756097562,15.350677506775064,0.1419068736141905
#octave,0.11853658536585356,0.08468834688346873,0.11853658536585356,1.9318699186991868,2.4586890243902437,0.4402439024390246,2.1586890243902435,15.350677506775064,23.4390243902439,0.6465631929046561
#ormin,0.0001478196600147822,0.006035969450603608,0.0001478196600147822,0.2607538802660754,10.480182926829267,0.6929046563192904,1.2245011086474502,0.14190687361419074,0.6465631929046566,21.951219512195124
Successions,#diane,#elise,#julie,#pauline,#clitandre,#clorimant,#geraste,#polemas,#octave,#ormin
#diane,0.0,0.10810810810810811,0.12162162162162163,0.013513513513513514,0.44594594594594594,0.1891891891891892,0.013513513513513514,0.0,0.08108108108108109,0.02702702702702703
#elise,0.0625,0.03125,0.015625,0.2734375,0.09375,0.3359375,0.03125,0.1328125,0.0234375,0.0
#julie,0.30303030303030304,0.0,0.030303030303030304,0.30303030303030304,0.09090909090909091,0.030303030303030304,0.12121212121212122,0.0,0.0,0.12121212121212122
#pauline,0.0,0.4861111111111111,0.125,0.0,0.0,0.20833333333333334,0.06944444444444445,0.041666666666666664,0.0,0.06944444444444445
#clitandre,0.336734693877551,0.12244897959183673,0.01020408163265306,0.0,0.0,0.01020408163265306,0.01020408163265306,0.21428571428571427,0.08163265306122448,0.21428571428571427
#clorimant,0.09821428571428571,0.375,0.03571428571428571,0.11607142857142858,0.044642857142857144,0.008928571428571428,0.25,0.044642857142857144,0.017857142857142856,0.008928571428571428
#geraste,0.044444444444444446,0.044444444444444446,0.06666666666666667,0.13333333333333333,0.0,0.6888888888888889,0.0,0.0,0.022222222222222223,0.0
#polemas,0.0,0.27631578947368424,0.0,0.039473684210526314,0.17105263157894737,0.039473684210526314,0.02631578947368421,0.0,0.4342105263157895,0.013157894736842105
#octave,0.1320754716981132,0.07547169811320754,0.018867924528301886,0.0,0.18867924528301888,0.03773584905660377,0.0,0.5471698113207547,0.0,0.0
#ormin,0.11428571428571428,0.0,0.08571428571428572,0.11428571428571428,0.6285714285714286,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0
