VALEUR,#aquillin,#diocletian,#rutile,#un-garde,#genest,#anthenor,#aristide,#luciane,#pamphilie
Fréquences (scènes),0.36363636363636365,0.5,0.2727272727272727,0.045454545454545456,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.45454545454545453
Fréquences(répliques),0.0625,0.1699766355140187,0.12149532710280374,0.0005841121495327102,0.2891355140186916,0.04147196261682243,0.10338785046728972,0.06016355140186916,0.15128504672897197
Confrontation,0.1092436974789916,0.12184873949579832,0.08403361344537816,0.012605042016806723,0.12605042016806722,0.13445378151260504,0.13865546218487396,0.13445378151260504,0.13865546218487396
Déviations,#aquillin,#diocletian,#rutile,#un-garde,#genest,#anthenor,#aristide,#luciane,#pamphilie
#aquillin,8.909090909090908,2.25,0.30681818181818193,1.1136363636363635,0.7363636363636362,0.0028409090909090854,0.02272727272727276,0.0028409090909090854,0.03636363636363639
#diocletian,2.25,5.5,1.3333333333333333,0.5,0.8,0.25,0.5,0.25,0.2
#rutile,0.30681818181818193,1.3333333333333333,11.636363636363635,1.9393939393939397,0.027272727272727317,0.015151515151515124,0.08417508417508418,0.015151515151515124,0.19393939393939383
#un-garde,1.1136363636363635,0.5,1.9393939393939397,20.045454545454547,0.45454545454545453,0.36363636363636365,0.4090909090909091,0.36363636363636365,0.45454545454545453
#genest,0.7363636363636366,0.8,0.027272727272727317,0.4545454545454546,6.545454545454547,0.5113636363636361,0.20202020202020204,1.5363636363636357,0.4654545454545458
#anthenor,0.0028409090909090854,0.25,0.015151515151515124,0.36363636363636365,0.5113636363636365,8.909090909090908,4.244949494949494,5.752840909090909,0.5113636363636365
#aristide,0.02272727272727276,0.5,0.08417508417508404,0.4090909090909091,0.20202020202020204,4.244949494949494,7.681818181818182,2.2727272727272725,2.0686868686868687
#luciane,0.0028409090909090854,0.25,0.015151515151515124,0.36363636363636365,1.5363636363636366,5.752840909090909,2.2727272727272725,8.909090909090908,0.5113636363636365
#pamphilie,0.03636363636363629,0.2,0.19393939393939383,0.4545454545454546,0.4654545454545458,0.5113636363636361,2.0686868686868687,0.5113636363636361,6.545454545454547
Successions,#aquillin,#diocletian,#rutile,#un-garde,#genest,#anthenor,#aristide,#luciane,#pamphilie
#aquillin,0.0,0.6,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
#diocletian,0.14,0.02,0.28,0.02,0.24,0.06,0.02,0.06,0.16
#rutile,0.14285714285714285,0.6190476190476191,0.0,0.0,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0
#un-garde,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#genest,0.03571428571428571,0.19642857142857142,0.08928571428571429,0.0,0.017857142857142856,0.21428571428571427,0.08928571428571429,0.07142857142857142,0.2857142857142857
#anthenor,0.09090909090909091,0.09090909090909091,0.0,0.0,0.5909090909090909,0.0,0.13636363636363635,0.09090909090909091,0.0
#aristide,0.037037037037037035,0.07407407407407407,0.0,0.0,0.2222222222222222,0.14814814814814814,0.0,0.1111111111111111,0.4074074074074074
#luciane,0.0,0.25,0.0,0.0,0.1875,0.1875,0.3125,0.0,0.0625
#pamphilie,0.02564102564102564,0.1794871794871795,0.0,0.0,0.41025641025641024,0.0,0.3076923076923077,0.05128205128205128,0.02564102564102564
