VALEUR,#monsieur-dissonant,#le-garçon,#l-abbe,#monsieur-desjarrets,#cabry,#monsieur-dissonant #l-abbe,#madame-douaireville,#madame-douairville
Fréquences (scènes),1.0,0.4,0.6,0.4,0.4,0.2,0.2,0.2
Fréquences(répliques),0.8395061728395061,0.0,0.16049382716049382,0.0,0.0,0.0,0.0,0.0
Confrontation,0.20689655172413793,0.05172413793103448,0.1896551724137931,0.15517241379310345,0.15517241379310345,0.06896551724137931,0.08620689655172414,0.08620689655172414
Déviations,#monsieur-dissonant,#le-garçon,#l-abbe,#monsieur-desjarrets,#cabry,#monsieur-dissonant #l-abbe,#madame-douaireville,#madame-douairville
#monsieur-dissonant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-garçon,0.0,1.7999999999999998,0.03333333333333332,0.8000000000000002,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001
#l-abbe,0.0,0.03333333333333339,0.8000000000000003,0.533333333333333,0.533333333333333,0.2666666666666665,0.2666666666666665,0.2666666666666665
#monsieur-desjarrets,0.0,0.8000000000000002,0.5333333333333334,1.7999999999999998,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999
#monsieur-desjarrets,0.0,0.8000000000000002,0.5333333333333334,1.7999999999999998,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.8999999999999999
#monsieur-dissonant #l-abbe,0.0,0.4000000000000001,0.2666666666666667,0.8999999999999999,0.8999999999999999,3.2000000000000006,0.20000000000000004,0.20000000000000004
#madame-douaireville,0.0,0.4000000000000001,0.2666666666666667,0.8999999999999999,0.8999999999999999,0.20000000000000004,3.2000000000000006,3.2000000000000006
#madame-douaireville,0.0,0.4000000000000001,0.2666666666666667,0.8999999999999999,0.8999999999999999,0.20000000000000004,3.2000000000000006,3.2000000000000006
Successions,#monsieur-dissonant,#le-garçon,#l-abbe,#monsieur-desjarrets,#cabry,#monsieur-dissonant #l-abbe,#madame-douaireville,#madame-douairville
#monsieur-dissonant,0.0,0.19444444444444445,0.3333333333333333,0.3055555555555556,0.027777777777777776,0.0,0.1111111111111111,0.027777777777777776
#le-garçon,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#l-abbe,0.75,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.125,0.0
#monsieur-desjarrets,0.25806451612903225,0.0,0.22580645161290322,0.0,0.12903225806451613,0.03225806451612903,0.0,0.3548387096774194
#cabry,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285
#monsieur-dissonant #l-abbe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#madame-douaireville,0.5,0.0,0.25,0.125,0.125,0.0,0.0,0.0
#madame-douairville,0.07142857142857142,0.0,0.07142857142857142,0.7857142857142857,0.07142857142857142,0.0,0.0,0.0
