VALEUR,#le-diable,#therese,#sanchette,#angelique,#marton,#un-laquais,#madame-lucas,#lepine,#eraste,#leandre,#griffonnet,#cascaret,#le-commissaire,#monsieur-corbeau,#le-notaire
Fréquences (scènes),0.1,0.1,0.1,0.6,0.9,0.05,0.45,0.3,0.15,0.05,0.05,0.15,0.05,0.05,0.05
Fréquences(répliques),0.0,0.7037037037037037,0.2222222222222222,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.030120481927710843,0.030120481927710843,0.030120481927710843,0.18072289156626506,0.2289156626506024,0.012048192771084338,0.13855421686746988,0.1144578313253012,0.06626506024096386,0.030120481927710843,0.030120481927710843,0.04819277108433735,0.018072289156626505,0.018072289156626505,0.024096385542168676
Déviations,#le-diable,#therese,#sanchette,#angelique,#marton,#un-laquais,#madame-lucas,#lepine,#eraste,#leandre,#griffonnet,#cascaret,#le-commissaire,#monsieur-corbeau,#le-notaire
#le-diable,16.2,16.2,16.2,1.2,1.8,0.10000000000000002,0.9,0.2666666666666667,0.3,0.10000000000000002,0.10000000000000002,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-diable,16.2,16.2,16.2,1.2,1.8,0.10000000000000002,0.9,0.2666666666666667,0.3,0.10000000000000002,0.10000000000000002,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-diable,16.2,16.2,16.2,1.2,1.8,0.10000000000000002,0.9,0.2666666666666667,0.3,0.10000000000000002,0.10000000000000002,0.3,0.10000000000000002,0.10000000000000002,0.10000000000000002
#angelique,1.2000000000000002,1.2000000000000002,1.2000000000000002,3.200000000000001,0.13333333333333316,0.2666666666666665,0.02962962962962968,0.04444444444444453,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.3555555555555554,0.2666666666666665,0.6000000000000001,0.2666666666666665
#marton,1.8,1.8,1.8,0.13333333333333358,0.20000000000000015,0.011111111111111105,0.10000000000000007,0.029629629629629554,0.033333333333333395,0.011111111111111105,0.011111111111111105,0.033333333333333395,0.011111111111111105,0.011111111111111105,0.011111111111111105
#un-laquais,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2666666666666667,0.011111111111111105,18.049999999999997,0.45,0.3,0.15,0.05000000000000001,0.05000000000000001,0.15,0.05000000000000001,0.05000000000000001,0.05000000000000001
#madame-lucas,0.9,0.9,0.9,0.029629629629629554,0.10000000000000007,0.45,6.050000000000001,0.18148148148148135,0.09074074074074068,0.45,0.45,2.0166666666666675,0.6722222222222223,0.6722222222222223,0.6722222222222223
#lepine,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.04444444444444453,0.02962962962962968,0.30000000000000004,0.18148148148148158,9.8,1.3444444444444448,1.6333333333333329,1.6333333333333329,0.8999999999999999,0.30000000000000004,0.30000000000000004,1.6333333333333329
#eraste,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.8000000000000003,0.03333333333333329,0.15000000000000002,0.09074074074074079,1.3444444444444448,14.450000000000001,4.8166666666666655,4.8166666666666655,0.44999999999999996,0.15000000000000002,0.15000000000000002,0.15000000000000002
#leandre,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2666666666666667,0.011111111111111105,0.05000000000000001,0.45,1.633333333333333,4.816666666666666,18.049999999999997,18.049999999999997,0.15,0.05000000000000001,0.05000000000000001,0.05000000000000001
#leandre,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2666666666666667,0.011111111111111105,0.05000000000000001,0.45,1.633333333333333,4.816666666666666,18.049999999999997,18.049999999999997,0.15,0.05000000000000001,0.05000000000000001,0.05000000000000001
#cascaret,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.3555555555555554,0.03333333333333329,0.15000000000000002,2.016666666666666,0.8999999999999999,0.44999999999999996,0.15000000000000002,0.15000000000000002,14.450000000000001,0.15000000000000002,4.8166666666666655,0.15000000000000002
#le-commissaire,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2666666666666667,0.011111111111111105,0.05000000000000001,0.6722222222222223,0.3,0.15,0.05000000000000001,0.05000000000000001,0.15,18.049999999999997,0.05000000000000001,0.05000000000000001
#monsieur-corbeau,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.6,0.011111111111111105,0.05000000000000001,0.6722222222222223,0.3,0.15,0.05000000000000001,0.05000000000000001,4.816666666666666,0.05000000000000001,18.049999999999997,0.05000000000000001
#le-notaire,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2666666666666667,0.011111111111111105,0.05000000000000001,0.6722222222222223,1.633333333333333,0.15,0.05000000000000001,0.05000000000000001,0.15,0.05000000000000001,0.05000000000000001,18.049999999999997
Successions,#le-diable,#therese,#sanchette,#angelique,#marton,#un-laquais,#madame-lucas,#lepine,#eraste,#leandre,#griffonnet,#cascaret,#le-commissaire,#monsieur-corbeau,#le-notaire
#le-diable,0.0,0.5172413793103449,0.3793103448275862,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#therese,0.7368421052631579,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sanchette,0.7647058823529411,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#angelique,0.022222222222222223,0.0,0.0,0.0,0.7333333333333333,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.06666666666666667,0.0,0.0,0.0,0.044444444444444446,0.0,0.044444444444444446
#marton,0.0,0.0,0.0,0.35051546391752575,0.010309278350515464,0.0,0.30927835051546393,0.18556701030927836,0.041237113402061855,0.0,0.0,0.010309278350515464,0.020618556701030927,0.030927835051546393,0.041237113402061855
#un-laquais,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-lucas,0.0,0.0,0.0,0.08928571428571429,0.5357142857142857,0.0,0.0,0.08928571428571429,0.0,0.0,0.0,0.05357142857142857,0.08928571428571429,0.10714285714285714,0.03571428571428571
#lepine,0.0625,0.0,0.03125,0.03125,0.6875,0.0,0.09375,0.0,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0
#eraste,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0
#leandre,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#griffonnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#cascaret,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
#le-commissaire,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-corbeau,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,0.0,0.0,0.125,0.0,0.75,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
