Bibdramatique play,In TC,Best match in TC,Score
lyncée ,True,lyncée ,0.9999996
la mort dachille,True,la mort dachille ,1.0000004
céline ou les frères rivaux ,True,céline ou les frères rivaux ,0.9999999
la belle invisible ou la constance esprouvée,False,la belle invisible ou la constance éprouvée ,0.9364755
cassandre comtesse de barcelone ,True,cassandre comtesse de barcelone ,0.99999976
les rivaux amis ,True,les rivaux amis ,0.9999999
les deux frères gémeaux ou les menteurs qui ne mentent point ,False,arminius ou les frères ennemis,0.94039494
germanicus ,True,germanicus ,1.0000001
marie stuard reine décosse ,True,marie stuard reine décosse ,0.99999964
trois petites s,False,hurlubrelu ou tout de travers ,0.8784406
agamemnon ,True,agamemnon ,0.9999999
les amours de jupiter et sémélé ,False,les amours de jupiter et de sémélé ,0.9231249
artaxerce ,True,artaxerce ,1.0
le comte dessex ,True,le comte dessex ,1.0000004
fédéric ,True,fédéric ,0.9999999
judith ,True,judith ,1.0000001
la mort de démétrius ,False,la mort de mitridate ,0.8754271
la mort des enfans de brute ,False,la mort des enfants de brute ,0.9234431
la porcie romaine ,True,la porcie romaine,1.0000001
porus ou la générosité dalexandre ,True,porus ou la générosité dalexandre ,1.0000001
ulysse dans lîle de circé ou euryloche foudroyé,False,ligdamon et lidias ,0.83832645
lombre de molière ,True,lombre de molière,0.9999995
laveugle clairvoyant ,True,laveugle clairvoyant ,1.0000001
le turne de virgile ,True,le turne de virgile ,1.0
le souper de molière ou la soirée dauteuil fait historique en un acte mêlé de vaudevilles,False,le souper de molière ou la soirée dauteuil fait historique,0.9557386
phalante ,False,mérope ,0.8229235
la virginie ,False,virginie ,0.87795556
les fragmens de molière ,False,les fragments de molière,0.8450848
zaïde ,True,zaïde ,1.0
armetzar ou les amis ennemis ,True,armetzar ou les amis ennemis ,1.0
ladvocat duppé ,False,aristodème,0.81654006
coriolan ,True,coriolan ,1.0000002
la lucresse romaine ,False,la mort dachille ,0.83394325
antiochus ,True,antiochus ,0.99999994
le baron dalbikrac ,True,le baron dalbikrac ,1.0000001
bellerophon ,False,bellérophon ,0.9536892
camma reine de galatie ,True,camma reine de galatie ,1.0000002
le charme de la voix ,True,le charme de la voix ,1.0
la comtesse dorgueil ,True,la comtesse dorgueil ,0.99999946
le feint astrologue ,True,le feint astrologue ,1.0000001
les illustres ennemis ,True,les illustres ennemis ,1.0
linconnu  mêlée dornements,False,linconnu ,0.88069487
laodice reine de cappadoce ,True,laodice reine de cappadoce ,0.99999976
médée ,True,médée ,1.0
la mort dannibal ,True,la mort dannibal ,1.0000005
la mort dachille ,True,la mort dachille ,1.0000004
psyché ,False,psyché ballet,0.9146192
théodat ,True,théodat ,1.0000001
la mort de molière pièce en trois actes en vers pièce historique en quatre actes en vers et à spectacle,False,la mort de bucéphale en un acte en vers,0.90076816
le soliman,False,le tartuffe ou limposteur ,0.84593546
le torrismon du tasse,False,le tartuffe ou limposteur ,0.8739411
bélisaire ,False,bélisaire drame,0.93795514
eurimédon ou lillustre pirate ,True,eurimédon ou lillustre pirate ,1.0000002
perside ou la suite dibrahim bassa ,True,perside ou la suite dibrahim bassa ,0.99999976
la véritable sémiramis ,True,la véritable sémiramis ,1.0
manlius ,True,manlius ,1.0000002
roxelane ,True,roxelane ,0.99999976
les noces de vaugirard ou les naifvetez champestres ,False,les noces de vaugirard ou les naïvetés champêtres  dédiée à ceux qui veulent rire,0.8979185
les dames vangées ou la dupe de soy mesme ,False,les amours de calotin ,0.84161377
la  de la  et les amours de trapolin,False,la généreuse allemande ou le triomphe damour prophétie,0.8528937
agarite ,False,agar dans le désert scène lyrique,0.6961925
bérénice  en prose,True,bérénice  en prose,0.99999976
cléomédon ,True,cléomédon ,1.0
lisandre et caliste ,True,lisandre et caliste ,0.99999976
la belle esclave ,True,la belle esclave,1.0
lintrigue des filous ,True,lintrigue des filous ,0.99999964
les amours dovide  héroïque,False,les amours de diane et dendimion ,0.8986023
arie et petus ou les amours de neron ,False,barberine drame,0.7519802
téléphonte ,True,téléphonte ,1.0
le desniaisé ,False,le bélissaire ,0.89100385
le triomphe des cinq passions ,False,le divertissement de chambord ballet,0.8347324
la fidelle tromperie ,False,la critique,0.84779733
