Bibdramatique play,Bibdramatique author,In TC,Best match in TC,Best author match in TC,Score
"1 - Lyncée, tragédie",abeille gaspard,True,"124 - LYNCÉE, TRAGÉDIE.", abeille gaspard,1.0
2 - La Mort d'Achille,benserade de isaac,True,"244 - LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",  benserade de isaac,1.0
3 - Céline ou Les Frères rivaux. Tragi-comédie,beys charles,True,"272 - CÉLINE ou LES FRÈRES RIVAUX, TRAGI-COMÉDIE",beys charles de,1.0
4 - LA BELLE INVISIBLE ou la Constance esprouvée,boisrobert de françois le métel,True,"304 - LA BELLE INVISIBLE, ou LA CONSTANCE ÉPROUVÉE, TRAGI-COMÉDIE", boisrobert de françois,0.8554985337243401
"5 - Cassandre, comtesse de Barcelone. Trage-comédie",boisrobert de françois le métel,True,"305 - CASSANDRE COMTESSE DE BARCELONE, TRAGI-COMÉDIE",  boisrobert de françois,0.8935483870967742
6 - Les Rivaux amis. Tragi-comédie,boisrobert de françois le métel,True,"306 - LES RIVAUX AMIS, TRAGI-COMÉDIE",  boisrobert de françois,0.8935483870967742
7 - Les Deux Frères gémeaux ou les menteurs qui ne mentent point. Comédie,boursault edme,True,"329 - LES NICANDRES OU LES MENTEURS QUI NE MENTENT POINT, COMÉDIE.", boursault edme,0.8016666666666665
8 - Germanicus. Tragédie,boursault edme,True,"332 - GERMANICUS, TRAGÉDIE", boursault edme,1.0
"9 - Marie Stuard, Reine d'Écosse. Tragédie",boursault edme,True,"334 - MARIE STUARD, REINE D'ÉCOSSE, TRAGÉDIE.", boursault edme,1.0
10 - Trois petites comédies,boursault edme,False,"339 - LA SATIRE DES SATIRES, COMÉDIE.", boursault edme,0.5545454545454545
11 - Agamemnon. Tragédie,boyer claude,True,"341 - AGAMEMNON, TRAGÉDIE.", boyer claude,1.0
12 - Les Amours de Jupiter et Sémélé. Tragédie.,boyer claude,True,"342 - LES AMOURS DE JUPITER ET DE SÉMÉLÉ, TRAGÉDIE", boyer claude,0.9199999999999999
13 - Artaxerce. Tragédie,boyer claude,True,"344 - ARTAXERCE, TRAGÉDIE", boyer claude,1.0
14 - Le Comte d'Essex. Tragédie,boyer claude,True,"553 - LE COMTE d'ESSEX, TRAGÉDIE", corneille thomas,0.7529411764705882
15 - Fédéric. Tragi-comédie,boyer claude,True,"346 - FÉDÉRIC, TRAGI-COMÉDIE", boyer claude,1.0
16 - Judith. Tragédie,boyer claude,True,"348 - JUDITH, TRAGÉDIE", boyer claude,0.8999999999999999
17 - La Mort de Démétrius. Tragédie.,boyer claude,True,"350 - LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",  boyer claude,0.6137931034482758
18 - La Mort des enfans de Brute. Tragédie,boyer claude,True,"350 - LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",  boyer claude,0.9517241379310344
19 - La Porcie romaine. Tragédie,boyer claude,True,352 - LA PORCIE ROMAINE, boyer claude,1.0
"20 - Porus, ou La Générosité d'Alexandre. Tragedie",boyer claude,True,"353 - PORUS OU LA GÉNÉROSITÉ D'ALEXANDRE, TRAGÉDIE.", boyer claude,1.0
21 - Ulysse dans l'île de Circé ou Euryloche foudroyé,boyer claude,True,"476 - ULYSSE, TRAGÉDIE.", champrepus de jacques,0.7545454545454545
