Bibdramatique play,Bibdramatique author,In TC,Best match in TC,Best author match in TC,Score
"1 - Lyncée, tragédie","ABEILLE, Gaspard",True,"124 - LYNCÉE, TRAGÉDIE.","ABEILLE, Gaspard (1648-1718)",1.0
2 - La Mort d'Achille,"Benserade, Isaac de",True,"244 - LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",Isaac de BENSERADE (1613-1691) ,0.7193548387096774
3 - Céline ou Les Frères rivaux. Tragi-comédie,Charles Beys,True,"272 - CÉLINE ou LES FRÈRES RIVAUX, TRAGI-COMÉDIE","BEYS, Charles de",0.8312499999999999
4 - LA BELLE INVISIBLE ou la Constance esprouvée,"Le Métel de Boisrobert, François",True,"304 - LA BELLE INVISIBLE, ou LA CONSTANCE ÉPROUVÉE, TRAGI-COMÉDIE",François de BOISROBERT (1592-1662),0.6963903743315507
"5 - Cassandre, comtesse de Barcelone. Trage-comédie","Le Métel de Boisrobert, François",True,"305 - CASSANDRE COMTESSE DE BARCELONE, TRAGI-COMÉDIE",François de BOISROBERT (1592-1662) ,0.7428571428571429
6 - Les Rivaux amis. Tragi-comédie,"Le Métel de Boisrobert, François",True,"306 - LES RIVAUX AMIS, TRAGI-COMÉDIE",François de BOISROBERT (1592-1662) ,0.7428571428571429
7 - Les Deux Frères gémeaux ou les menteurs qui ne mentent point. Comédie,"Boursault, Edme",False,"329 - LES NICANDRES OU LES MENTEURS QUI NE MENTENT POINT, COMÉDIE.",Edme BOURSAULT (1638-1701),0.5132051282051281
8 - Germanicus. Tragédie,Edme Boursault,True,"332 - GERMANICUS, TRAGÉDIE",Edme BOURSAULT (1638-1701),0.7692307692307692
"9 - Marie Stuard, Reine d'Écosse. Tragédie",Edme Boursault,True,"334 - MARIE STUARD, REINE D'ÉCOSSE, TRAGÉDIE.",Edme BOURSAULT (1638-1701),0.7692307692307692
10 - Trois petites comédies,Edme Boursault,False,"130 - TROIS SPECTACLES, PROLOGUE","AIGUEBERRE, Jean Dumas d'",0.37199999999999994
11 - Agamemnon. Tragédie,Claude Boyer,True,"341 - AGAMEMNON, TRAGÉDIE.",Claude BOYER (1618-1698),0.7999999999999999
12 - Les Amours de Jupiter et Sémélé. Tragédie.,"Boyer, Claude",True,"342 - LES AMOURS DE JUPITER ET DE SÉMÉLÉ, TRAGÉDIE",Claude BOYER (1618-1698),0.6449999999999999
13 - Artaxerce. Tragédie,"Boyer, Claude",True,"344 - ARTAXERCE, TRAGÉDIE",Claude BOYER (1618-1698),0.725
14 - Le Comte d'Essex. Tragédie,"BOYER, Claude",True,"553 - LE COMTE d'ESSEX, TRAGÉDIE",Thomas CORNEILLE (1625-1709),0.7321428571428571
15 - Fédéric. Tragi-comédie,"BOYER, Claude",True,"346 - FÉDÉRIC, TRAGI-COMÉDIE",Claude BOYER (1618-1698),0.7625
16 - Judith. Tragédie,"Boyer, Claude",True,"348 - JUDITH, TRAGÉDIE",Claude BOYER (1618-1698),0.625
17 - La Mort de Démétrius. Tragédie.,"Boyer, Claude",False,"1621 - LA MORT DE CÉSAR, TRAGÉDIE.","SCUDERY, Georges de (1601-1667)",0.4937096774193548
18 - La Mort des enfans de Brute. Tragédie,"Boyer, Claude",True,"350 - LA MORT DES ENFANTS DE BRUTE, TRAGÉDIE.",Claude BOYER (1618-1698) ,0.6757241379310345
19 - La Porcie romaine. Tragédie,"Boyer, Claude",True,352 - LA PORCIE ROMAINE,Claude BOYER (1618-1698),0.725
"20 - Porus, ou La Générosité d'Alexandre. Tragedie",Claude Boyer,True,"353 - PORUS OU LA GÉNÉROSITÉ D'ALEXANDRE, TRAGÉDIE.",Claude BOYER (1618-1698),0.7999999999999999
21 - Ulysse dans l'île de Circé ou Euryloche foudroyé,"Boyer, Claude",True,"476 - ULYSSE, TRAGÉDIE.","CHAMPREPUS, Jacques de (155.?-162.?)",0.7416666666666666
22 - L'Ombre de Molière. Comédie,"Guillaume de Marcoureau, sieur de Brécourt",True,"207 - L'OMBRE DE MOLIÈRE, INERMÈDE.","BARBIER, P.J.",0.7142857142857143
23 - L'Aveugle clair-voyant. Comédie,Brosse,True,358 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,"BROSSE, Abraham",0.74
24 - Le Turne de Virgile. Tragédie.,La Brosse,True,"359 - LE TURNE DE VIRGILE, TRAGÉDIE",BROSSE (15..?-1651),0.7157894736842105
"25 - Le Souper de Molière, ou La Soirée d'Auteuil. Fait historique en un acte, mêlé de vaudevilles.",Cadet de Gassicourt,True,"363 - LE SOUPER DE MOLIÈRE OU LA SOIRÉE D'AUTEUIL, FAIT HISTORIQUE","CADET DE GASSICOURT, Charles-Louis",0.7705882352941176
26 - Phalante. Tragédie.,"Gautier de Coste, sieur de La Calprenède",False,"1043 - PAHLANTE, TRAGÉDIE","LA CALPRENEDE, Gautier Costes de",0.5341666666666667
