Bibdramatique play,In TC,Best match in TC,Score
53 - Eurimédon ou l'Illustre pirate. Tragi-comédie,True,572 - EURIMÉDON OU L'ILLUSTRE PIRATE. TRAGI-COMÉDIE.,1.0
"54 - Perside, ou la Suite d'Ibrahim Bassa. Tragédie.",True,"573 - PERSIDE OU LA SUITE D'IBRAHIM BASSA, TRAGÉDIE.",1.0
55 - La Véritable Sémiramis. Tragédie,True,"575 - LA VÉRITABLE SÉMIRAMIS, TRAGÉDIE.",1.0
56 - Manlius. Tragi-comédie,False,"579 - MANLIUS, TRAGÉDIE.",0.875
57 - Roxelane. Tragi-comédie,False,"583 - ROXELANE, TRAGI-COMÉDIE",0.8888888888888888
"58 - Les Noces de Vaugirard, ou Les Naifvetez champestres. Pastorale",False,"593 - LES NOCES DE VAUGIRARD, OU LES NAÏVETÉS CHAMPÊTRES, PASTORALE DÉDIÉE À CEUX QUI VEULENT RIRE.",0.5432098765432098
59 - Les Dames vangées ou La Dupe de soy mesme. Comédie,False,"738 - L'AMOUR FANTASQUE OU LE JUGE DE SOI MÊME, COMÉDIE",0.4878048780487805
60 - La comédie de la comédie et Les amours de Trapolin,True,"610 - LA COMÉDIE DE LA COMÉDIE, COMÉDIE",1.0
61 - Agarite. Tragi-comédie,False,190 - LA CRITIQUE,0.4545454545454546
62 - Bérénice. Tragi-comédie en prose.,False,"426 - BÉRÉNICE, TRAGÉDIE.",0.8888888888888888
63 - Cléomédon. Tragi-comédie.,False,"674 - CLÉOMÉDON, TRAGI-COMÉDIE.",0.9
64 - Lisandre et Caliste. Tragi-comédie.,True,"678 - LISANDRE et CALISTE, TRAGI-COMÉDIE",1.0
65 - La Belle Esclave. Tragi-comédie,True,648 - LA BELLE ESCLAVE.,1.0
66 - L'Intrigue des filous. Comédie,True,"1001 - L'INTRIGUE DES FILOUS, COMÉDIE",1.0
67 - Les Amours d'Ovide. Pastorale héroïque,False,"596 - LES AMOURS DU SOLEIL, PASTORALE.",0.6666666666666667
