Bibdramatique play,In TC,Best match in TC,Score
"0 - Lyncée, tragédie",False,"1203 - LORENZACCIO, DRAME",0.9440498625012215
1 - La Mort d'Achille,False,"809 - ONDINE, COMÉDIE.",0.9423770528626162
2 - Céline ou Les Frères rivaux. Tragi-comédie,False,"1468 - MOLIÈRE, DRAME.",0.9434100694822253
3 - LA BELLE INVISIBLE ou la Constance esprouvée,False,"1203 - LORENZACCIO, DRAME",0.8875592723090494
"4 - Cassandre, comtesse de Barcelone. Trage-comédie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9355789119942524
5 - Les Rivaux amis. Tragi-comédie,False,"104 - LES CORBEAUX, DRAME.",0.9432549162250994
6 - Les Deux Frères gémeaux ou les menteurs qui ne mentent point. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.905804489795104
7 - Germanicus. Tragédie,False,"1203 - LORENZACCIO, DRAME",0.8915116516636267
"8 - Marie Stuard, Reine d'Écosse. Tragédie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8828217297429422
9 - Trois petites comédies,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8393903551145342
10 - Agamemnon. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9257398454710716
11 - Les Amours de Jupiter et Sémélé. Tragédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8931522466739185
12 - Artaxerce. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9093010172136875
13 - Le Comte d'Essex. Tragédie,False,"1203 - LORENZACCIO, DRAME",0.9014528346176466
14 - Fédéric. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8857299059621174
15 - Judith. Tragédie,False,1019 - CONVERSATIONS DE MADAME LA MARQUISE DE MAINTENON,0.9426937633700839
16 - La Mort de Démétrius. Tragédie.,False,"1203 - LORENZACCIO, DRAME",0.9141278169059924
17 - La Mort des enfans de Brute. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8333924635573038
18 - La Porcie romaine. Tragédie,False,"809 - ONDINE, COMÉDIE.",0.9483125861754989
"19 - Porus, ou La Générosité d'Alexandre. Tragedie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8919482183083557
20 - Ulysse dans l'île de Circé ou Euryloche foudroyé,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9046117606534614
21 - L'Ombre de Molière. Comédie,False,"1021 - L'ILLUSTRE CORSAIRE, TRAGI-COMÉDIE",0.949970988330862
22 - L'Aveugle clair-voyant. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.890992475772226
23 - Le Turne de Virgile. Tragédie.,False,"1203 - LORENZACCIO, DRAME",0.8850121880665878
"24 - Le Souper de Molière, ou La Soirée d'Auteuil. Fait historique en un acte, mêlé de vaudevilles.",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8883537085404275
25 - Phalante. Tragédie.,False,"1203 - LORENZACCIO, DRAME",0.8856815845118237
26 - La Virginie. Tragédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9428019720140499
