Play Name,First closest,Average distance,First distance,Cast Matching 1,Second closest,Cast Matching 2
"Argélie, Reine de Thessalie",Phocion,0.06173480894387526,3.0,"[('arcas1', ('arcas2', 1.0)), ('cleon1', ('cleon2', 1.0)), ('dione1', ('dione2', 1.0)), ('timagene1', ('alcinous2', 0)), ('clytie1', ('phocion2', 0)), ('ismene1', ('agnonide2', 0)), ('phoenix1', ('clitus2', 0)), ('argelie1', ('chrisis2', 0))]",Endymion,"(1.9166666666666665, [('ismene1', ('ismene2', 1.0)), ('dione1', ('diane2', 0.9166666666666666)), ('phoenix1', ('deux-autres-amours2', 0)), ('clytie1', ('choeur-des-amours2', 0)), ('arcas1', ('deux-amours2', 0)), ('timagene1', ('l-amour2', 0)), ('argelie1', ('lycoris2', 0)), ('cleon1', ('troupe-d-amours2', 0))])"
Coriolan,Horace,0.032593782889791,2.0,"[('sabine1', ('sabine2', 1.0)), ('camille1', ('camille2', 1.0)), ('virgile1', ('valere2', 0)), ('virgilie1', ('le-vieil-horace2', 0)), ('aufide1', ('procule2', 0)), ('coriolan1', ('julie2', 0)), ('albin1', ('tulle2', 0))]",Othon,"(2.0, [('albin1', ('albin2', 1.0)), ('camille1', ('camille2', 1.0)), ('aufide1', ('fl6ao2', 0)), ('coriolan1', ('othon2', 0)), ('virgile1', ('atticus2', 0)), ('sabine1', ('rutile2', 0)), ('virgilie1', ('galba2', 0))])"
Lyncée,La Bonne Femme,0.01431139620415669,2.9230769230769234,"[('danaüs1', ('danaüs2', 1.0)), ('lyncee1', ('lyncee2', 1.0)), ('hypermestre1', ('hypermnestre2', 0.9230769230769231)), ('iphis1', ('arcas2', 0)), ('lycaste1', ('choeur-des-fils-d-egyptus2', 0)), ('dirce1', ('l-egyptien2', 0)), ('erigone1', ('choeur-des-argiens2', 0))]",Esope à la Cour,"(1.0, [('iphis1', ('iphis2', 1.0)), ('erigone1', ('un-petit-genie2', 0)), ('hypermestre1', ('leonide2', 0)), ('lycaste1', ('iphicrate2', 0)), ('danaüs1', ('griffet2', 0)), ('dirce1', ('atis2', 0)), ('lyncee1', ('cleon2', 0))])"
Risette ou Les Millions de la Mansarde,Les Amours de Calotin,0.07138408783368187,1.9375,"[('le-portier1', ('le-portier2', 1.0)), ('risette1', ('rosette2', 0.9375)), ('antonin1', ('boniface2', 0)), ('evelina1', ('le-marquis2', 0))]",Cendrillon,"(1.0, [('le-portier1', ('le-portier2', 1.0)), ('risette1', ('frisette2', 0)), ('evelina1', ('troisieme-dame-d-honneur2', 0)), ('antonin1', ('deuxieme-dame-d-honneur2', 0))])"
L'Homme qui ne Peut pas Siffler,Un Mécontent,0.013531799729364006,1.0,"[('un-homme1', ('un-homme2', 1.0))]",A la Mer !,"(1.0, [('un-homme1', ('un-homme2', 1.0))])"
L'Avare Amoureux,Les Fourberies de Scapin,0.11724237225336682,3.0,"[('argante1', ('argante2', 1.0)), ('nerine1', ('nerine2', 1.0)), ('geronte1', ('geronte2', 1.0)), ('monsieur-subtil1', ('leandre2', 0)), ('dorimene1', ('zerbinette2', 0)), ('valere1', ('carle2', 0)), ('julie1', ('octave2', 0)), ('monsieur-courte-ligne1', ('hyacinthe2', 0))]",L'Ecole des Pères,"(3.0, [('nerine1', ('nerine2', 1.0)), ('valere1', ('valere2', 1.0)), ('geronte1', ('geronte2', 1.0)), ('monsieur-subtil1', ('eraste-damis-valere2', 0)), ('monsieur-courte-ligne1', ('premier-laquais2', 0)), ('julie1', ('eraste-damis2', 0)), ('argante1', ('chrisalde2', 0)), ('dorimene1', ('eraste_damis_valere2', 0))])"
Pan et Doris Pastorale,Endymion,0.10192758583320154,4.8545454545454545,"[('le-choeur1', ('le-choeur2', 1.0)), ('pan1', ('pan2', 1.0)), ('une-bergere1', ('une-bergere2', 1.0)), ('une-driade1', ('une-dryade2', 0.9545454545454546)), ('un-satyre1', ('le-satyre2', 0.9)), ('arcas1', ('choeur-des-amours2', 0)), ('doris1', ('lycoris2', 0)), ('palemon1', ('l-amour2', 0)), ('deux-bergeres1', ('deux-autres-amours2', 0))]",La Bonne Femme,"(3.0, [('le-choeur1', ('le-choeur2', 1.0)), ('arcas1', ('arcas2', 1.0)), ('une-bergere1', ('une-bergere2', 1.0)), ('doris1', ('choeur-des-argiens2', 0)), ('une-driade1', ('choeur-des-fils-d-egyptus2', 0)), ('palemon1', ('l-egyptien2', 0)), ('un-satyre1', ('un-paysan2', 0)), ('deux-bergeres1', ('hyypermnestre2', 0)), ('pan1', ('danaüs2', 0))])"
Polixène,La Mort d'Achille et la Dispute de ses Armes,0.02165087956698241,3.0,"[('ulysse1', ('ulysse2', 1.0)), ('polixene1', ('polixene2', 1.0)), ('hecube1', ('hecube2', 1.0)), ('pyrrhus1', ('achille2', 0)), ('idas1', ('un-vsoldat2', 0)), ('phenix1', ('agamemnon2', 0)), ('calchas1', ('deiphobe2', 0))]",La Mort d'Achille,"(2.0, [('polixene1', ('polixene2', 1.0)), ('pyrrhus1', ('pyrrhus2', 1.0)), ('idas1', ('antilochus2', 0)), ('ulysse1', ('ilione2', 0)), ('phenix1', ('briseis2', 0)), ('calchas1', ('achille2', 0)), ('hecube1', ('phenice2', 0))])"
Les Trois Spectacles Prologue,L'Histoire.,0.1507292136520824,3.0,"[('le-vicomte1', ('le-vicomte2', 1.0)), ('le-commandeur1', ('le-commandeur2', 1.0)), ('la-marquise1', ('la-marquise2', 1.0)), ('julie1', ('la-comtesse2', 0)), ('le-chevalier1', ('l-abbe2', 0)), ('hortense1', ('duval2', 0)), ('celimene1', ('le-baron2', 0))]",L'Esprit des Moeurs au Dix-Huitième Siécle,"(3.0, [('le-vicomte1', ('le-vicomte2', 1.0)), ('la-marquise1', ('la-marquise2', 1.0)), ('le-chevalier1', ('le-chevalier2', 1.0)), ('hortense1', ('l-exempt2', 0)), ('celimene1', ('le-marquis2', 0)), ('le-commandeur1', ('chanteurs-du-cantique2', 0)), ('julie1', ('kilacare2', 0))])"
L'Epreuve Réciproque,La Ressource Comique,0.12165933694181326,3.0,"[('lisette1', ('lisette2', 1.0)), ('valere1', ('valere2', 1.0)), ('frontin1', ('frontin2', 1.0)), ('madame-de-falignac1', ('le-chevalier2', 0)), ('philaminte1', ('madame-argante2', 0)), ('criquet1', ('platinet2', 0))]",La Comédie à l'Impromptu,"(3.0, [('lisette1', ('lisette2', 1.0)), ('valere1', ('valere2', 1.0)), ('frontin1', ('frontin2', 1.0)), ('criquet1', ('angelique2', 0)), ('philaminte1', ('bonne-foi2', 0)), ('madame-de-falignac1', ('lourdis2', 0))])"
L'Ecole des Bourgeois,Sortie de la Comédie Française,0.19216693320211592,3.0,"[('le-marquis1', ('le-marquis2', 1.0)), ('le-coureur1', ('le-coureur2', 1.0)), ('le-comte1', ('le-comte2', 1.0)), ('benjamine1', ('tancrede2', 0)), ('monsieur-mathieu1', ('le-vicomte2', 0)), ('marthon1', ('luxembourg2', 0)), ('madame-abraham1', ('madame-de-vermont2', 0)), ('le-laquais1', ('le-duc2', 0)), ('monsieur-pot-de-vin1', ('madame-de-mirville2', 0)), ('damis1', ('le-chevalier2', 0))]",Les Amours de Calotin,"(3.0, [('le-laquais1', ('le-laquais2', 1.0)), ('le-marquis1', ('le-marquis2', 1.0)), ('le-comte1', ('le-comte2', 1.0)), ('le-notaire1', ('l-homme2', 0)), ('monsieur-mathieu1', ('gorgibus2', 0)), ('le-commissaire1', ('calotin2', 0)), ('marthon1', ('julie2', 0)), ('le-coureur1', ('lisette2', 0)), ('benjamine1', ('boniface2', 0)), ('monsieur-pot-de-vin1', ('tous-ensemble2', 0)), ('damis1', ('policarpe2', 0)), ('le-commandeur1', ('beatrix2', 0)), ('madame-abraham1', ('le-baron2', 0))])"
L'Hiver,Pasquin et Marforio.,0.01874934943270532,1.0,"[('la-medisance1', ('la-medisance2', 1.0)), ('la-mode1', ('le-jaloux2', 0)), ('le-pharaon1', ('la-genealogie2', 0)), ('comus1', ('la-chanteuse2', 0)), ('la-volupte1', ('octave2', 0)), ('l-hiver1', ('pasquin2', 0)), ('jeux_ris_graces1', ('la-verite2', 0)), ('l-hymen1', ('l-impatiente2', 0)), ('hector-criquet1', ('leandre2', 0)), ('le-bal1', ('julie2', 0))]",La Critique,"(1.0, [('la-medisance1', ('la-medisance2', 1.0)), ('la-mode1', ('chrisante2', 0)), ('le-bal1', ('apollon2', 0)), ('comus1', ('le-vaudeville2', 0)), ('le-pharaon1', ('l-auteur2', 0)), ('jeux_ris_graces1', ('arlequin2', 0)), ('la-volupte1', ('laquais2', 0)), ('l-hiver1', ('damon2', 0)), ('l-hymen1', ('la-critique2', 0)), ('hector-criquet1', ('thalie2', 0))])"
