Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play Doc_embedding,Closest distance Doc_embedding
abeille-argelie,campistron-virginie,0.0046,abeille-coriolan,0.0077,campistron-tiridate,0.0029
abeille-coriolan,campistron-pompeia,0.0057,abeille-argelie,0.0077,abeille-argelie,0.0031
abeille-lyncee,voltaire-zulime,0.0044,voltaire-zulime,0.0053,la-thuilerie-hercule,0.0037
about-risette,regnard-arlequin-bonnes-fortunes,0.0134,barre-radet-desfontaines-colombine-mannequin,0.0128,feydeau-gibier-de-potence,0.0054
adenis-diogene-et-scapin,hervilly-moliere-en-prison,0.0229,hervilly-moliere-en-prison,0.0223,vierne-moliere-enfant,0.0075
adenis-gaiete-marseillaise,grenet-dancourt-paris,0.0458,hervilly-soupe,0.0627,bernardt-sacoche,0.0215
adenis-homme-qui-ne-peut-pas-siffler,aicard-au-clair-de-la-lune,0.0255,siraudin-faction-de-nuit,0.0413,adenis-gaiete-marseillaise,0.0219
adenis-le-nouveau-ne,gautiert-une-larme-du-diable,0.0317,hervilly-de-calais-a-douvres,0.0446,feydeau-petit-menage,0.0371
adenisj-la-double-meprise,scribe-tete-a-tete,0.0117,heilly-le-neveu-de-la-marquise,0.0192,heilly-le-neveu-de-la-marquise,0.0041
aicard-au-clair-de-la-lune,rostand-cyrano,0.017,barre-radet-desfontaines-colombine-mannequin,0.0246,onhet-aux-avants-postes,0.0092
aicard-mascarille,minier-songe-de-moliere,0.0255,barbier-ombre-de-moliere,0.0405,saurin-amenophis,0.025
aicard-moliere-a-shakespeare,boniface-obelixe,0.704,jouy-sermet-ah-mince,0.6509,melandri-halle-aux-baisers,0.2675
aicard-pygmalion,musset-les-nuits,0.0147,hugues-nuit-moliere,0.0286,hugues-nuit-moliere,0.0103
aicard-smilis,musset-andre-del-sarto,0.0149,beissier-les-deux-pigeonnes,0.0321,hervilly-silence-dans-les-rangs,0.0057
aignan-polyxene,legouve-polixene,0.0053,voltaire-oreste,0.0114,legouve-polixene,0.0053
aigueberre-avare-amoureux,dancourt-parisienne,0.0108,marivaux-ecole-des-meres,0.015,regnard-serenade,0.0034
aigueberre-pan-et-doris,fontenelle-endymion,0.0152,quinault-atys,0.0243,quinault-armide,0.0084
aigueberre-polixene,longepierre-medee,0.0092,la-motte-machabees,0.0136,campistron-arminiusc,0.0059
aigueberre-prologue,louet-lemarchant-artistes-de-societe,0.028,regnard-legataire-critique,0.0441,somaize-veritables-precieuses,0.0113
alain-legrand-epreuve-reciproque,andrieux-le-reve-du-mari,0.0083,marivaux-fausses-confidences,0.0145,genlis-amant-anonyme,0.0027
allainval-ecole-des-bourgeois,lesage-crispin-rival-de-son-maitre,0.0092,lafont-trois-freres-rivaux,0.0185,marivaux-pere-prudent,0.0049
