Id,Title,Closest_Title,Closest_id,Closest_similarity
fre000007,Polixène,Polixène,fre000865,1.0
fre000023,La Déroute des Précieuses,La Déroute des Précieuses,fre001159,1.0
fre000042,Cendrillon,Cendrillon,fre000775,1.0
fre000060,La Pucelle d'Orléans,La Pucelle d'Orléans,fre000059,1.0
fre000059,La Pucelle d'Orléans,La Pucelle d'Orléans,fre000060,1.0
fre000064,L'Epreuve,L'Epreuve,fre000671,1.0
fre000077,La Mort de César,La Mort de César,fre001349,1.0
fre000078,L'Ombre de Molière,L'Ombre de Molière,fre000200,1.0
fre000113,"Le Prétendant, Pièce en un Acte","Le Prétendant, Pièce en un Acte",fre000114,1.0
fre000114,"Le Prétendant, Pièce en un Acte","Le Prétendant, Pièce en un Acte",fre000113,1.0
fre000130,Sémiramis,Sémiramis,fre000403,1.0
fre001465,Molière en Bonne Fortune,Molière en Bonne Fortune,fre000142,1.0
fre000142,Molière en Bonne Fortune,Molière en Bonne Fortune,fre001465,1.0
fre000180,Le Médecin Volant,Le Médecin Volant,fre001017,1.0
fre000186,Agamemnon,Agamemnon,fre001357,1.0
fre000189,Artaxerce,Artaxerce,fre000872,1.0
fre000200,L'Ombre de Molière,L'Ombre de Molière,fre000078,1.0
fre000229,A Bon Chat Bon Rat,A Bon Chat Bon Rat,fre000566,1.0
fre000236,Le Bal,Le Bal,fre001205,1.0
fre000325,Le Cid,Le Cid,fre000324,1.0
fre000324,Le Cid,Le Cid,fre000325,1.0
fre000335,Médée,Médée,fre000381,1.0
fre000341,Oedipe,Oedipe,fre001434,1.0
fre000349,Sophonisbe,Sophonisbe,fre000907,1.0
fre000361,Bérénice,Bérénice,fre000580,1.0
fre000363,Bradamante,Bradamante,fre000680,1.0
fre000367,Le Comte d'Essex,Le Comte d'Essex,fre000806,1.0
fre000374,Le Festin de Pierre,Le Festin de Pierre,fre001009,1.0
fre000381,Médée,Médée,fre000335,1.0
fre000388,Théodat,Théodat,fre000723,1.0
fre000394,Roland,Roland,fre001180,1.0
fre000400,Idoménée,Idoménée,fre001466,1.0
