VALEUR,GLAPHIRA,ALEXANDRE,HÉRODE,PHÉRORE,ARISTOBULE,ANTIPATRE,DIOPHANTE,SALOMÉ,MÉLAS,RACHEL
Fréquences (scènes),0.2857142857142857,0.42857142857142855,0.5714285714285714,0.047619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.09523809523809523
Fréquences(répliques),0.19117647058823528,0.25882352941176473,0.2788235294117647,0.002352941176470588,0.08588235294117647,0.04764705882352941,0.018235294117647058,0.060588235294117644,0.052941176470588235,0.0035294117647058825
Confrontation,0.10638297872340426,0.18085106382978725,0.22340425531914893,0.02127659574468085,0.10638297872340426,0.09574468085106383,0.0851063829787234,0.0425531914893617,0.0851063829787234,0.05319148936170213
Déviations,GLAPHIRA,ALEXANDRE,HÉRODE,PHÉRORE,ARISTOBULE,ANTIPATRE,DIOPHANTE,SALOMÉ,MÉLAS,RACHEL
GLAPHIRA,10.714285714285714,0.07142857142857152,0.5952380952380951,0.2857142857142857,0.29761904761904756,1.4285714285714284,1.1428571428571428,0.017857142857142842,0.023809523809523826,3.5714285714285716
ALEXANDRE,0.07142857142857152,6.857142857142859,0.00396825396825394,0.7619047619047619,2.2936507936507944,2.142857142857143,0.29761904761904756,1.7142857142857142,0.06349206349206343,0.023809523809523826
HÉRODE,0.5952380952380951,0.00396825396825394,3.857142857142858,0.3214285714285715,0.5952380952380951,0.007142857142857182,0.035714285714285685,0.035714285714285685,0.9642857142857145,0.017857142857142842
PHÉRORE,0.2857142857142857,0.7619047619047619,0.3214285714285715,19.047619047619047,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.09523809523809523
ARISTOBULE,0.29761904761904756,2.2936507936507944,0.5952380952380951,0.2857142857142857,10.714285714285714,0.12857142857142848,0.017857142857142842,1.1428571428571428,0.8571428571428571,0.5714285714285714
ANTIPATRE,1.4285714285714284,2.142857142857143,0.007142857142857182,0.23809523809523808,0.12857142857142848,12.19047619047619,4.402380952380953,0.0023809523809523864,0.11428571428571437,0.47619047619047616
DIOPHANTE,1.1428571428571428,0.29761904761904756,0.035714285714285685,0.19047619047619047,0.017857142857142842,4.402380952380953,13.761904761904763,0.7619047619047619,0.3214285714285715,0.38095238095238093
SALOMÉ,0.017857142857142842,1.7142857142857142,0.035714285714285685,0.19047619047619047,1.1428571428571428,0.0023809523809523864,0.7619047619047619,13.761904761904763,0.5714285714285714,0.38095238095238093
MÉLAS,0.023809523809523826,0.06349206349206343,0.9642857142857145,0.14285714285714285,0.8571428571428571,0.11428571428571437,0.3214285714285715,0.5714285714285714,15.428571428571432,1.7857142857142858
RACHEL,3.5714285714285716,0.023809523809523826,0.017857142857142842,0.09523809523809523,0.5714285714285714,0.47619047619047616,0.38095238095238093,0.38095238095238093,1.7857142857142858,17.190476190476193
Successions,GLAPHIRA,ALEXANDRE,HÉRODE,PHÉRORE,ARISTOBULE,ANTIPATRE,DIOPHANTE,SALOMÉ,MÉLAS,RACHEL
GLAPHIRA,0.0,0.5217391304347826,0.2608695652173913,0.0,0.043478260869565216,0.0,0.0,0.13043478260869565,0.0,0.043478260869565216
ALEXANDRE,0.40625,0.03125,0.28125,0.0,0.1875,0.0,0.0625,0.0,0.0,0.03125
HÉRODE,0.1111111111111111,0.25,0.1388888888888889,0.05555555555555555,0.08333333333333333,0.1388888888888889,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0
PHÉRORE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARISTOBULE,0.0,0.4666666666666667,0.2,0.0,0.0,0.2,0.13333333333333333,0.0,0.0,0.0
ANTIPATRE,0.0,0.09090909090909091,0.36363636363636365,0.0,0.2727272727272727,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0
DIOPHANTE,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0
SALOMÉ,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MÉLAS,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
RACHEL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
