VALEUR,coban,raleg,clarence,leonor,elizabet,valden,alix,comte-essex,salisbery,popham
Fréquences (scènes),0.3076923076923077,0.07692307692307693,0.358974358974359,0.05128205128205128,0.6410256410256411,0.07692307692307693,0.02564102564102564,0.3076923076923077,0.15384615384615385,0.07692307692307693
Fréquences(répliques),0.13644744929317762,0.022741241548862937,0.17148125384142593,0.003073140749846343,0.30854333128457284,0.00921942224953903,0.0018438844499078057,0.24400737553779964,0.08113091579594345,0.0215119852489244
Confrontation,0.16101694915254236,0.05084745762711865,0.1694915254237288,0.05084745762711865,0.22033898305084745,0.059322033898305086,0.01694915254237288,0.13559322033898305,0.0847457627118644,0.05084745762711865
Déviations,coban,raleg,clarence,leonor,elizabet,valden,alix,comte-essex,salisbery,popham
coban,18.692307692307686,4.673076923076922,0.39697802197802184,3.115384615384615,0.37230769230769273,0.006410256410256401,0.3076923076923077,0.7756410256410259,0.38782051282051294,0.006410256410256401
raleg,4.673076923076922,33.230769230769226,1.0769230769230769,0.15384615384615385,1.9230769230769234,0.23076923076923078,0.07692307692307693,0.006410256410256401,0.6282051282051281,2.5641025641025634
clarence,0.39697802197802234,1.076923076923077,16.025641025641026,0.1108058608058608,7.326007326007275e-05,0.7912087912087908,1.1446886446886444,0.39697802197802234,0.6181318681318684,1.076923076923077
leonor,3.115384615384615,0.15384615384615385,0.1108058608058608,35.1025641025641,0.40205128205128193,4.653846153846153,0.05128205128205128,0.6153846153846154,0.3076923076923077,0.15384615384615385
elizabet,0.37230769230769273,1.9230769230769234,7.326007326006257e-05,0.40205128205128193,5.02564102564102,0.003076923076923055,0.20102564102564097,1.772307692307693,0.8861538461538465,1.9230769230769234
valden,0.006410256410256401,0.23076923076923078,0.7912087912087914,4.653846153846153,0.003076923076923055,33.230769230769226,0.07692307692307693,0.006410256410256401,0.46153846153846156,0.23076923076923078
alix,0.3076923076923077,0.07692307692307693,1.1446886446886444,0.05128205128205128,0.20102564102564097,0.07692307692307693,37.02564102564103,0.3076923076923077,0.15384615384615385,0.07692307692307693
comte-essex,0.7756410256410259,0.006410256410256401,0.39697802197802184,0.6153846153846154,1.772307692307693,0.006410256410256401,0.3076923076923077,18.692307692307686,0.7211538461538459,1.2564102564102562
salisbery,0.38782051282051294,0.6282051282051281,0.618131868131868,0.3076923076923077,0.8861538461538465,0.46153846153846156,0.15384615384615385,0.7211538461538459,27.92307692307692,5.128205128205127
popham,0.006410256410256401,2.5641025641025634,1.0769230769230769,0.15384615384615385,1.9230769230769234,0.23076923076923078,0.07692307692307693,1.2564102564102562,5.128205128205127,33.230769230769226
Successions,coban,raleg,clarence,leonor,elizabet,valden,alix,comte-essex,salisbery,popham
coban,0.0,0.10909090909090909,0.2,0.0,0.4909090909090909,0.0,0.0,0.18181818181818182,0.0,0.01818181818181818
raleg,0.75,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0
clarence,0.19607843137254902,0.0,0.0,0.0,0.5490196078431373,0.0196078431372549,0.0196078431372549,0.19607843137254902,0.0196078431372549,0.0
leonor,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
elizabet,0.3181818181818182,0.011363636363636364,0.29545454545454547,0.022727272727272728,0.07954545454545454,0.03409090909090909,0.011363636363636364,0.18181818181818182,0.045454545454545456,0.0
valden,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
alix,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
comte-essex,0.20833333333333334,0.0,0.2708333333333333,0.0,0.2916666666666667,0.020833333333333332,0.0,0.020833333333333332,0.125,0.0625
salisbery,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.5333333333333333,0.0,0.2
popham,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0
