TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD569,eugene_labiche_albert_monnier_edouard_martin-noces_de_bouchencoeur,Les Noces de Bouchencœur,Eugène LABICHE - Albert MONNIER - Édouard MARTIN,Eugène Labiche,Albert Monnier,Q379929,,1857-06-10,,Comédie,,TD569
TD570,eugene_labiche_albert_monnier_ernest_legouve-cigale_chez_les_fourmis,La Cigale chez les Fourmis,Eugène LABICHE - Albert MONNIER - Ernest LEGOUVÉ,Eugène Labiche,Albert Monnier,Q379929,,1876-05-23,,Comédie,,TD570
TD571,eugene_labiche_alfred_delacour-cagnotte,La Cagnotte,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1864-02-22,,Comédie,,TD571
TD572,eugene_labiche_alfred_delacour-celimare_de_bien_aime,Célimare le Bien-aimé,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1863-02-27,,Comédie,,TD572
TD573,eugene_labiche_alfred_delacour-choix_d_un_gendre,Le choix d’un gendre,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1869-04-22,,Vaudeville,,TD573
TD574,eugene_labiche_alfred_delacour-corricolo,Le Corricolo,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1868-11-27,,,,TD574
TD575,eugene_labiche_alfred_delacour-deux_merles_blancs,Deux merles blancs,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1858-05-12,,Comédie,,TD575
TD576,eugene_labiche_alfred_delacour-dossier_de_rosafol,Le Dossier de Rosafol,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1869-03-20,,Comédie,,TD576
TD577,eugene_labiche_alfred_delacour-en_avant_les_chinois,En avant les Chinois !,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1858-12-24,,,,TD577
TD578,eugene_labiche_alfred_delacour-fils_du_brigadier,Le Fils du brigadier,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1867-02-25,,,,TD578
TD579,eugene_labiche_alfred_delacour-homme_qui_manque_le_coche,L’Homme qui manque le coche,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1865-10-31,,Comédie,,TD579
TD580,eugene_labiche_alfred_delacour-j_ai_compromis_ma_femme,J’ai compromis ma femme,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1861-02-13,,Comédie,,TD580
TD581,eugene_labiche_alfred_delacour-memoire_d_hortense,La Mémoire d’Hortense,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1872-11-15,,Comédie,,TD581
TD582,eugene_labiche_alfred_delacour-permettez_madame,Permettez,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1863-02-21,,Comédie,,TD582
TD583,eugene_labiche_alfred_delacour-petits_oiseaux,Les Petits Oiseaux,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1862-04-01,,Vaudeville,,TD583
TD584,eugene_labiche_alfred_delacour-point_de_mire,Le Point de mire,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1864-12-04,,Comédie,,TD584
TD585,eugene_labiche_alfred_delacour-premier_pas,Le Premier pas,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1862-05-15,,Comédie,,TD585
TD586,eugene_labiche_alfred_delacour-premier_prix_de_piano,Premier prix de piano,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1865-05-08,,Comédie,,TD586
TD587,eugene_labiche_alfred_delacour-roi_dort,Le Roi dort,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1876-03-31,,Vaudeville,,TD587
TD588,eugene_labiche_alfred_delacour-sensitive,La Sensitive,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1860-03-10,,Comédie,,TD588
TD589,eugene_labiche_alfred_delacour-voyage_autour_de_ma_marmite,Voyage autour de ma marmite,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1859-11-29,,Vaudeville,,TD589
TD590,eugene_labiche_alfred_delacour-voyage_en_chine,Le Voyage en Chine,Eugène LABICHE - Alfred DELACOUR,Eugène Labiche,Alfred Delacour,Q379929,,1865-12-09,,,,TD590
TD591,eugene_labiche_alfred_delacour_adolphe_choler-chemins_de_fer,Les Chemins de fer,Eugène LABICHE - Alfred DELACOUR - Adolphe CHOLER,Eugène Labiche,Alfred Delacour,Q379929,,1867-11-25,,Comédie,,TD591
TD592,eugene_labiche_alfred_delacour_raymond_deslandes-on_dira_des_betises,On dira des bêtises,Eugène LABICHE - Alfred DELACOUR - Raymond DESLANDES,Eugène Labiche,Alfred Delacour,Q379929,,1853-02-11,,Vaudeville,,TD592
TD593,eugene_labiche_alfred_duru-cle,La Clé,Eugène LABICHE - Alfred DURU,Eugène Labiche,Alfred Duru,Q379929,,1877-01-05,,Comédie,,TD593
TD594,eugene_labiche_alfred_duru-doit_on_le_dire,Doit-on le dire ?,Eugène LABICHE - Alfred DURU,Eugène Labiche,Alfred Duru,Q379929,,1872-12-20,,Comédie,,TD594
TD595,eugene_labiche_alfred_duru-madame_est_trop_belle,Madame est trop belle,Eugène LABICHE - Alfred DURU,Eugène Labiche,Alfred Duru,Q379929,,1874-03-30,,Comédie,,TD595
TD596,eugene_labiche_alfred_duru-samedis_de_madame,Les samedis de madame,Eugène LABICHE - Alfred DURU,Eugène Labiche,Alfred Duru,Q379929,,1874-09-15,,Comédie,,TD596
TD597,eugene_labiche_alphonse_jolly-ami_acharne,Un ami acharné,Eugène LABICHE - Alphonse JOLLY,Eugène Labiche,Alphonse Jolly,Q379929,,1853-01-19,,Vaudeville,,TD597
TD598,eugene_labiche_alphonse_jolly-baron_de_fourchevil,Le Baron de Fourchevif,Eugène LABICHE - Alphonse JOLLY,Eugène Labiche,Alphonse Jolly,Q379929,,1859-06-15,,Comédie,,TD598
TD599,eugene_labiche_alphonse_jolly-grammaire,La Grammaire,Eugène LABICHE - Alphonse JOLLY,Eugène Labiche,Alphonse Jolly,Q379929,,1867-07-28,,Comédie,,TD599
TD600,eugene_labiche_arthur_de_beauplan-feu_de_cheminee,Un Feu de cheminée,Eugène LABICHE - Arthur DE BEAUPLAN,Eugène Labiche,Arthur De Beauplan,Q379929,,1853-07-31,,Vaudeville,,TD600
TD601,eugene_labiche_arthur_de_beauplan_marc_michel-notaire_a_marier,Un notaire à marier,Eugène LABICHE - Arthur DE BEAUPLAN - MARC-MICHEL,Eugène Labiche,Arthur De Beauplan,Q379929,,1853-03-19,,Comédie,,TD601
TD602,eugene_labiche_augsute_lefranc-chasse_aux_jobards,La Chasse aux jobards,Eugène LABICHE - Augsute LEFRANC,Eugène Labiche,Augsute Lefranc,Q379929,,1847-05-18,,Vaudeville,,TD602
TD603,eugene_labiche_auguse_lefranc-club_champenois,Le Club Champenois,Eugène LABICHE - Auguse LEFRANC,Eugène Labiche,Auguse Lefranc,Q379929,,1848-06-08,,,,TD603
TD604,eugene_labiche_auguste_anicet_bourgeois-avare_en_gants_jaunes,L’Avare en gants jaunes,Eugène LABICHE - Auguste ANICET-BOURGEOIS,Eugène Labiche,Auguste Anicet-Bourgeois,Q379929,,1858-05-01,,Comédie,,TD604
TD605,eugene_labiche_auguste_anicet_bourgeois-deux_gouttes_d_eau,Deux gouttes d’eau,Eugène LABICHE - Auguste ANICET-BOURGEOIS,Eugène Labiche,Auguste Anicet-Bourgeois,Q379929,,1852-09-22,,Comédie,,TD605
TD606,eugene_labiche_auguste_anicet_bourgeois-ecole_des_arthur,L’École des Arthur,Eugène LABICHE - Auguste ANICET-BOURGEOIS,Eugène Labiche,Auguste Anicet-Bourgeois,Q379929,,1859-04-30,,Comédie,,TD606
TD607,eugene_labiche_auguste_anicet_bourgeois-monsieur_qui_a_brule_une_dame,Un monsieur qui a brûlé une dame,Eugène LABICHE - Auguste ANICET-BOURGEOIS,Eugène Labiche,Auguste Anicet-Bourgeois,Q379929,,1856-11-29,,Comédie,,TD607
TD608,eugene_labiche_auguste_lefranc-art_de_ne_pas_donner_d_etrennes,L’Art de ne pas donner d’étrennes,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1847-12-29,,Vaudeville,,TD608
TD609,eugene_labiche_auguste_lefranc-a_bas_la_famille_ou_les_banquets,À bas la famille,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1848-12-16,,,,TD609
TD610,eugene_labiche_auguste_lefranc-dent_sous_louis_xv,Une dent sous Louis XV,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1849-02-15,,Monologue,,TD610
TD611,eugene_labiche_auguste_lefranc-deux_papas_tres_bien_ou_la_grammaire_de_chicard,Deux papas très bien,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1844-11-06,,Comédie,,TD611
TD612,eugene_labiche_auguste_lefranc-ecole_buissonniere,L’École buissonnière,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1845-07-23,,Comédie,,TD612
TD613,eugene_labiche_auguste_lefranc-embrassons_nous_folleville,Embrassons-nous Folleville !,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1850-03-06,,Comédie,,TD613
TD614,eugene_labiche_auguste_lefranc-frisette,Frisette,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1846-04-28,,Vaudeville,,TD614
TD615,eugene_labiche_auguste_lefranc-homme_de_paille,L'Homme de paille,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1843-05-12,,Comédie,,TD615
TD616,eugene_labiche_auguste_lefranc-homme_sanguin,Un homme sanguin,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1847-08-15,,Comédie,,TD616
TD617,eugene_labiche_auguste_lefranc-rocambolle_le_bateleur,Rocambolle le bateleur,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1846-04-22,,Comédie,,TD617
TD618,eugene_labiche_auguste_lefranc-roi_des_frontins,Le Roi des Frontins,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1845-03-28,,Vaudeville,,TD618
TD619,eugene_labiche_auguste_lefranc-tragedie_chez_monsieur_grassot,Une Tragédie chez Monsieur Grassot,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1948-12-12,,,,TD619
TD620,eugene_labiche_auguste_lefranc-trompe_la_balle,Trompe-la-balle,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1849-04-08,,Comédie,,TD620
TD621,eugene_labiche_auguste_lefranc-ut_de_poitrine,Un Ut de poitrine,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1853-05-02,,Vaudeville,,TD621
TD622,eugene_labiche_auguste_lefranc_albert_monnier-lierre_et_l_ormeau,Le Lierre et l’ormeau,Eugène LABICHE - Auguste LEFRANC - Albert MONNIER,Eugène Labiche,Auguste Lefranc,Q379929,,1840-12-25,,Comédie,,TD622
TD623,eugene_labiche_auguste_lefranc_armand_montjoye-piccolet,Piccolet,Eugène LABICHE - Auguste LEFRANC - Armand MONTJOYE,Eugène Labiche,Auguste Lefranc,Q379929,,1852-09-30,,Comédie,,TD623
TD624,eugene_labiche_auguste_lefranc_deadde_saint_yves-manchettes_d_un_vilain,Les Manchettes d’un vilain,Eugène LABICHE - Auguste LEFRANC - Déaddé SAINT-YVES,Eugène Labiche,Auguste Lefranc,Q379929,,1849-02-03,,Comédie,,TD624
TD625,eugene_labiche_auguste_lefranc_eugene_nyon-en_manches_de_chemise,En manches de chemise,Eugène LABICHE - Auguste LEFRANC - Eugène NYON,Eugène Labiche,Auguste Lefranc,Q379929,,1851-08-08,,Vaudeville,,TD625
TD626,eugene_labiche_auguste_lefranc_eugene_nyon-inventeur_de_la_poudre,L’Inventeur de la poudre,Eugène LABICHE - Auguste LEFRANC - Eugène NYON,Eugène Labiche,Auguste Lefranc,Q379929,,1846-06-17,,Comédie,,TD626
TD627,eugene_labiche_auguste_lefranc_marc_michel-avocat_loubet,L’Avocat Loubet,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL,Eugène Labiche,Auguste Lefranc,Q379929,,1838-08-08,,,,TD627
TD628,eugene_labiche_auguste_lefranc_marc_michel-fin_mot,Le Fin Mot,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL,Eugène Labiche,Auguste Lefranc,Q379929,,1840-07-21,,Comédie,,TD628
TD629,eugene_labiche_auguste_lefranc_marc_michel-forge_des_chataigniers,La Forge des châtaigniers,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL,Eugène Labiche,Auguste Lefranc,Q379929,,1839-04-04,,,,TD629
TD630,eugene_labiche_auguste_lefranc_marc_michel-monsieur_de_coyllin_ou_l_homme_infiniment_poli,Monsieur de Coyllin,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL,Eugène Labiche,Auguste Lefranc,Q379929,,1838-07-02,,Comédie,,TD630
TD631,eugene_labiche_auguste_lefranc_marc_michel-precieux,Les Précieux,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL,Eugène Labiche,Auguste Lefranc,Q379929,,1855-08-07,,Comédie,,TD631
TD632,eugene_labiche_auguste_lefranc_marc_michel_jacques_francois_ancelot-article_960_ou_la_donation,L’article 960,Eugène LABICHE - Auguste LEFRANC  - MARC-MICHEL - Jacques-François  ANCELOT,Eugène Labiche,Auguste Lefranc ,Q379929,,1839-08-20,,Vaudeville,,TD632
TD633,eugene_labiche_auguste_lefranc_marc_michel_sennief-pretendus_de_gimblette,Les Prétendus de Gimblette,Eugène LABICHE - Auguste LEFRANC - MARC-MICHEL - SENNIEF,Eugène Labiche,Auguste Lefranc,Q379929,,1850-11-24,,Vaudeville,,TD633
TD634,eugene_labiche_auguste_lefranc_melesville-circonstances_attenuantes,Circonstances atténuantes,Eugène LABICHE - Auguste LEFRANC - MÉLESVILLE,Eugène Labiche,Auguste Lefranc,Q379929,,1842-02-26,,Comédie,,TD634
TD635,eugene_labiche_auguste_lefranc_paul_jesse-major_cravachon,Le Major Cravachon,Eugène LABICHE - Auguste LEFRANC - Paul JESSÉ,Eugène Labiche,Auguste Lefranc,Q379929,,1844-02-15,,Comédie,,TD635
TD636,eugene_labiche_auguste lefranc-mademoiselle_ma_femme,Mademoiselle ma femme,Eugène LABICHE - Auguste LEFRANC,Eugène Labiche,Auguste Lefranc,Q379929,,1846-04-09,,Comédie,,TD636
TD637,eugene_labiche_charles_desnoyers_melesville-sopha,Le Sopha,Eugène LABICHE - Charles DESNOYERS - MÉLESVILLE,Eugène Labiche,Charles Desnoyers,Q379929,,1850-07-18,,Vaudeville,,TD637
TD638,eugene_labiche_charles_varin-deux_profonds_scelerats,Deux profonds scélérats,Eugène LABICHE - Charles VARIN,Eugène Labiche,Charles Varin,Q379929,,1854-02-24,,,,TD638
TD639,eugene_labiche_charles_varin-traversin_et_couverture,Traversin et Couverture,Eugène LABICHE - Charles VARIN,Eugène Labiche,Charles Varin,Q379929,,1850-04-26,,,prose,TD639
TD640,eugene_labiche_charles_varin_eugene_nyon-enfant_de_la_maison,L'Enfant de la maison,Eugène LABICHE  - Charles  VARIN - Eugène NYON,Eugène Labiche,Charles  Varin,Q379929,,1845-11-21,,Vaudeville,,TD640
TD641,eugene_labiche_deadde_saint_yves-chaine_anglaise,Une chaîne anglaise,Eugène LABICHE - Déaddé SAINT-YVES,Eugène Labiche,Déaddé Saint-Yves,Q379929,,1848-08-04,,Comédie,,TD641
TD642,eugene_labiche_deadde_saint_yves-histoire_de_rire,Histoire de rire,Eugène LABICHE - Déaddé SAINT-YVES,Eugène Labiche,Déaddé Saint-Yves,Q379929,,1848-08-13,,Vaudeville,,TD642
TD643,eugene_labiche_dumanoir_clairville-exposition_des_produits_de_la_republique,Exposition des produits de la République,Eugène LABICHE - DUMANOIR - CLAIRVILLE,Eugène Labiche,Dumanoir,Q379929,,1849-06-20,,Vaudeville,,TD643
TD644,eugene_labiche_edmond_gondinet-plus_heureux_des_trois,Le Plus heureux des trois,Eugène LABICHE - Edmond GONDINET,Eugène Labiche,Edmond Gondinet,Q379929,,1870-01-11,,Comédie,,TD644
TD645,eugene_labiche_edouard_martin-37_sous_de_m_montaudoin,Les 37 sous de M. Montaudoin,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1862-12-30,,Comédie,,TD645
TD646,eugene_labiche_edouard_martin-amour_un_fort_volume_prix_3_fr_50_c,L’amour,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,500003,,,,TD646
TD647,eugene_labiche_edouard_martin-commode_de_victorine,La commode de Victorine,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1863-12-23,,Comédie,,TD647
TD648,eugene_labiche_edouard_martin-main_leste,La Main leste,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1867-09-06,,Comédie,,TD648
TD649,eugene_labiche_edouard_martin-moi,Moi,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1864-03-21,,Comédie,,TD649
TD650,eugene_labiche_edouard_martin-petites_mains,Les Petites mains,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1859-11-28,,Vaudeville,,TD650
TD651,eugene_labiche_edouard_martin-poudre_aux_yeux,La Poudre aux yeux,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1861-10-19,,Comédie,prose,TD651
TD652,eugene_labiche_edouard_martin-vivacites_du_capitaine_tic,Les Vivacités du capitaine Tic,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1861-03-16,,Vaudeville,,TD652
TD653,eugene_labiche_edouard_martin-voyage_de_monsieur_perrichon,Le Voyage de Monsieur Perrichon,Eugène LABICHE - Édouard MARTIN,Eugène Labiche,Édouard Martin,Q379929,,1860-09-10,,Comédie,,TD653
TD654,eugene_labiche_ernest_blum-livre_bleu,Le Livre bleu,Eugène LABICHE - Ernest BLUM,Eugène Labiche,Ernest Blum,Q379929,,1871-07-15,,Comédie,,TD654
TD655,eugene_labiche_eugene_leterrier_albert_vanloo-guigne,La Guigne,Eugène LABICHE - Eugène LETERRIER - Albert VANLOO,Eugène Labiche,Eugène Leterrier,Q379929,,1875-08-27,,Comédie,,TD655
TD656,eugene_labiche_eugene_moreau-clou_aux_maris,Le Clou aux maris,Eugène LABICHE - Eugène MOREAU,Eugène Labiche,Eugène Moreau,Q379929,,,,Comédie,,TD656
TD657,eugene_labiche_eugene_moreau_alfred_delacour-charge_de_cavalerie,Une Charge de cavalerie,Eugène LABICHe - Eugène MOREAU - Alfred DELACOUR,Eugène Labiche,Eugène Moreau,Q379929,,1852-12-31,,Comédie,,TD657
TD658,eugene_labiche_eugene_nus-cachemire_x_b_t,Le Cachemire X. B. T.,Eugène LABICHE - Eugène NUS,Eugène Labiche,Eugène Nus,Q379929,,1870-02-24,,Vaudeville,,TD658
TD659,eugene_labiche_eugene_nyon-rue_de_l_homme_arme_numero_8_bis,Rue de l’Homme-Armé numéro 8 bis,Eugène LABICHE - Eugène NYON,Eugène Labiche,Eugène Nyon,Q379929,,1849-09-24,,Comédie,,TD659
TD660,eugene_labiche_gustave_albitte_auguste_lefranc-avocat_pedicure,L'Avocat pédicure,Eugène LABICHE - Gustave ALBITTE - Auguste LEFRANC,Eugène Labiche,Gustave Albitte,Q379929,,1847-04-24,,Comédie,,TD660
TD661,eugene_labiche_hippolyte_le_roux-bras_d_ernest,Le Bras d’Ernest,Eugène LABICHE - Hippolyte LE ROUX,Eugène Labiche,Hippolyte Le Roux,Q379929,,1857-01-26,,Comédie,,TD661
TD662,eugene_labiche_jules_dufresnois-piece_de_chambertin,La pièce de Chambertin,Eugène LABICHE - Jules DUFRESNOIS,Eugène Labiche,Jules Dufresnois,Q379929,,1874-04-01,,Comédie,,TD662
TD663,eugene_labiche_leon_battu-cheveux_de_ma_femme,Les Cheveux de ma femme,Eugène LABICHE - Léon BATTU,Eugène Labiche,Léon Battu,Q379929,,1856-01-19,,Comédie,,TD663
TD664,eugene_labiche_leon_dumoustier-dame_au_petit_chein,La Dame au petit chien,Eugène LABICHE - Léon DUMOUSTIER,Eugène Labiche,Léon Dumoustier,Q379929,,1863-02-06,,Comédie,,TD664
TD665,eugene_labiche_leon_dumoustier-gros_mot,Un Gros mot,Eugène LABICHE - Léon DUMOUSTIER,Eugène Labiche,Léon Dumoustier,Q379929,,1860-09-29,,Comédie,,TD665
TD666,eugene_labiche_louis_leroy-brulons_voltaire,Brûlons Voltaire !,Eugène LABICHE - Louis LEROY,Eugène Labiche,Louis Leroy,Q379929,,1874-03-07,,Comédie,,TD666
TD667,eugene_labiche_louis_leroy-il_est_de_la_police,Il est de la police,Eugène LABICHE - Louis LEROY,Eugène Labiche,Louis Leroy,Q379929,,1872-05-07,,Comédie,,TD667
TD668,eugene_labiche_marc_michel-bal_en_robe_de_chambre,Un bal en robe de chambre,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1850-10-12,,,,TD668
TD669,eugene_labiche_marc_michel-calife_de_la_rue_saint_bon,Le Calife de la rue Saint-Bon,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1858-12-07,,,,TD669
TD670,eugene_labiche_marc_michel-chapeau_de_paille_d_italie,Un chapeau de paille d’Italie,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1851-08-14,,Comédie,,TD670
TD671,eugene_labiche_marc_michel-chasse_aux_corbeaux,La Chasse aux corbeaux,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1853-06-25,,Comédie,,TD671
TD672,eugene_labiche_marc_michel-chevalier_des_dames,Le Chevalier des dames,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1852-12-16,,Comédie,,TD672
TD673,eugene_labiche_marc_michel-clarinette_qui_passe,Une Clarinette qui passe,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1851-02-08,,Comédie,,TD673
TD674,eugene_labiche_marc_michel-dame_aux_jambes_d_azur,La Dame aux jambes d'azur,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1857-04-11,,,,TD674
TD675,eugene_labiche_marc_michel-deux_timides,Les Deux Timides,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1860-03-16,,Comédie,,TD675
TD676,eugene_labiche_marc_michel-edgard_et_sa_bonne,Edgard et sa bonne,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1852-10-16,,Comédie,,TD676
TD677,eugene_labiche_marc_michel-en_pension_chez_son_groom,En pension chez son groom,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1856-02-02,,Comédie,,TD677
TD678,eugene_labiche_marc_michel-espagnolas_et_boyardinos,Espagnolas et boyardinos,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1854-06-07,,Vaudeville,,TD678
TD679,eugene_labiche_marc_michel-femme_qui_perd_ses_jarretieres,La femme qui perd ses jarretières,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1851-02-08,,Comédie,,TD679
TD680,eugene_labiche_marc_michel-fiancee_du_bon_coin,La Fiancée du Bon Coin,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1856-04-16,,,,TD680
TD681,eugene_labiche_marc_michel-fille_bien_gardee,La Fille bien gardée,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1850-09-06,,Comédie,,TD681
TD682,eugene_labiche_marc_michel-gendre_en_surveillance,Le Gendre en surveillance,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1857-12-11,,Comédie,,TD682
TD683,eugene_labiche_marc_michel-grain_de_cafe,Le Grain de Café,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1858-11-03,,Comédie,,TD683
TD684,eugene_labiche_marc_michel-je_croque_ma_tante,Je croque ma tante,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1858-02-14,,Comédie,,TD684
TD685,eugene_labiche_marc_michel-j_invite_le_colonel,J’invite le colonel !,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1860-01-16,,Comédie,,TD685
TD686,eugene_labiche_marc_michel-maman_sabouleux,Maman Sabouleux,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1852-03-13,,Comédie,,TD686
TD687,eugene_labiche_marc_michel-mam_zelle_fait_ses_dents,Mam’zelle fait ses dents,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1851-04-09,,Comédie,,TD687
TD688,eugene_labiche_marc_michel-mari_qui_prend_du_ventre,Un Mari qui prend du ventre,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1854-04-08,,Comédie,,TD688
TD689,eugene_labiche_marc_michel-mesdames_de_montenfriche,Mesdames de Montenfriche,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1856-11-14,,Comédie,,TD689
TD690,eugene_labiche_marc_michel-monsieur_de_saint_cadenas,Monsieur de Saint-Cadenas,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1856-02-20,,Comédie,,TD690
TD691,eugene_labiche_marc_michel-monsieur_qui_prend_la_mouche,Un monsieur qui prend la mouche,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1852-03-25,,Comédie,,TD691
TD692,eugene_labiche_marc_michel-monsieur_votre_fille,Monsieur votre fille,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1855-03-02,,Vaudeville,,TD692
TD693,eugene_labiche_marc_michel-mon_ismenie,Mon Isménie !,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1852-12-17,,Comédie,,TD693
TD694,eugene_labiche_marc_michel-mystere_de_la_rue_rousselet,Le Mystère de la rue Rousselet,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1861-05-06,,Vaudeville,,TD694
TD695,eugene_labiche_marc_michel-on_demande_des_culottieres,On demande des culottières,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1851-03-02,,Vaudeville,,TD695
TD696,eugene_labiche_marc_michel-otez_votre_fille_s_il_vous_plait,Ôtez votre fille,Eugène LABICHE - MARC-MICHEL,Eugène Labiche,Marc-Michel,Q379929,,1854-11-24,,Comédie,,TD696
