TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD27,adolphe_d_ennery_auguste_anicet_bourgeois-portefeuille_ou_deux_familles,Le Portefeuille,Adolphe D’ENNERY - Auguste ANICET-BOURGEOIS,Adolphe D'Ennery,Auguste Anicet-Bourgeois,Q137819,,1837-03-07,,,,TD27
TD28,adolphe_d_ennery_charles_desnoyers-soufflet,Un Soufflet,Adolphe D'ENNERY - Charles DESNOYERS,Adolphe D'Ennery,Charles Desnoyers,Q137819,,1834-03-22,,Comédie,,TD28
TD29,adolphe_d_ennery_charles_edmond_chojecki-aieule,L’Aïeule,Adolphe D’ENNERY - Charles-Edmond CHOJECKI,Adolphe D'Ennery,Charles-Edmond Chojecki,Q137819,,1863-10-17,,,,TD29
TD30,adolphe_d_ennery_dumanoir-bal_d_enfants,Le Bal d’enfants,Adolphe D’ENNERY - DUMANOIR,Adolphe D'Ennery,Dumanoir,Q137819,,1845-01-24,,Comédie,,TD30
TD31,adolphe_d_ennery_dumanoir-capitaine_roquefinette,Le Capitaine Roquefinette,Adolphe D’ENNERY - DUMANOIR,Adolphe D'Ennery,Dumanoir,Q137819,,1843-10-27,,Comédie,,TD31
TD32,adolphe_d_ennery_dumanoir-fargeau_le_nourrisseur,Fargeau le nourrisseur,Adolphe D’ENNERY - DUMANOIR,Adolphe D'Ennery,Dumanoir,Q137819,,1842-10-18,,Comédie,,TD32
TD33,adolphe_d_ennery_dumanoir-ma_maitresse_et_ma_femme,Ma Maîtresse et ma femme,Adolphe D’ENNERY - DUMANOIR,Adolphe D'Ennery,Dumanoir,Q137819,,1842-11-25,,Comédie,,TD33
TD34,adolphe_d_ennery_dumanoir-nuit_aux_soufflets,La Nuit aux soufflets,Adolphe D’ENNERY - DUMANOIR,Adolphe D'Ennery,Dumanoir,Q137819,,1842-03-23,,Comédie,,TD34
TD35,adolphe_d_ennery_dumanoir_clairville-chemin_de_traverse,Le Chemin de traverse,Adolphe D’ENNERY - DUMANOIR - CLAIRVILLE,Adolphe D'Ennery,Dumanoir,Q137819,,1848-09-30,,Vaudeville,,TD35
TD36,adolphe_d_ennery_elie_berthet-garcons_de_recette,Les Garçons de recette,Adolphe D’ENNERY - Élie BERTHET,Adolphe D'Ennery,Élie Berthet,Q137819,,1840-05-23,,,,TD36
TD37,adolphe_d_ennery_eugene_cormon-1814_ou_le_pensionnat_de_montereau,1814,Adolphe D'ENNERY - Eugène CORMON,Adolphe D'Ennery,Eugène Cormon,Q137819,,1836-01-19,,Vaudeville,,TD37
TD38,adolphe_d_ennery_eugene_cormon-compagnons_ou_la_mansarde_de_la_cite,Les Compagnons,Adolphe D’ENNERY - Eugène CORMON,Adolphe D'Ennery,Eugène Cormon,Q137819,,1846-02-14,,,,TD38
TD39,adolphe_d_ennery_eugene_cormon-femmes_et_pirates,Femmes et pirates,Adolphe D’ENNERY - Eugène CORMON,Adolphe D'Ennery,Eugène Cormon,Q137819,,1838-03-18,,Vaudeville,,TD39
