id,Name,id_similar,Name_similar,Intersection_size,Intersection,ngram Similarity,Similar,Matching,MatchingScore
fre000016,andrieux-moliere-et-ses-amis,fre000207,cadet-gassicourt-souper-de-moliere,7,"[""laforet"", ""chapelle"", ""moliere"", ""mignard"", ""lulli"", ""lafontaine"", ""tous""]",0.0031817110534998,False,"[[""lulli1"", ""lulli2""], [""laforet1"", ""moliere2""], [""moliere1"", ""chapelle2""], [""chapelle1"", ""laforet2""], [""lafontaine1"", ""mignard2""]]",0.143
fre000017,anonyme-adam,fre000039,anonyme-vierges-folles-vierges-sages,6,"[""moise"", ""david"", ""daniel"", ""jeremie"", ""isaie"", ""nabuchodonosor""]",0.0002986634809228,False,"[[""david1"", ""david2""], [""daniel1"", ""moise2""], [""nabuchodonosor1"", ""daniel2""], [""isaie1"", ""isaie2""]]",0.333
fre000023,anonyme-deroute-des-precieuses,fre001159,pure-deroute-des-precieuses,7,"[""lamour"", ""lecolporteurcriant"", ""colporteurportant"", ""precieuses"", ""lepoete"", ""lesgalants"", ""hymen""]",0.9929577464788732,True,"[[""lesgalants1"", ""lesgalants2""], [""lamour1"", ""lamour2""], [""lecolporteurcriant1"", ""lecolporteurcriant2""], [""precieuses1"", ""precieuses2""], [""colporteurportant1"", ""colporteurportant2""], [""hymen1"", ""hymen2""], [""lepoete1"", ""lepoete2""]]",1.0
fre000045,archambault-ce-n-est-pas,fre000049,archambault-janot-battus,6,"[""janot"", ""dodinet"", ""ragot"", ""simon"", ""madameragot"", ""suzon""]",0.0470125057897174,False,"[[""janot1"", ""ragot2""], [""dodinet1"", ""simon2""], [""ragot1"", ""dodinet2""], [""simon1"", ""janot2""], [""suzon1"", ""suzon2""]]",0.167
fre000059,aubignac-pucelle,fre000060,aubignac-pucelle-prose,12,"[""lange"", ""lapucelle"", ""legarde"", ""lecomte"", ""leduc"", ""aronte"", ""lacomtesse"", ""dalinde"", ""canchon"", ""mide"", ""lebaron"", ""unsoldat""]",0.0193779004138969,False,"[[""canchon1"", ""canchon2""], [""lacomtesse1"", ""lacomtesse2""], [""legarde1"", ""legarde2""], [""mide1"", ""mide2""], [""lebaron1"", ""lebaron2""], [""leduc1"", ""leduc2""], [""lapucelle1"", ""lapucelle2""], [""lecomte1"", ""lecomte2""], [""lange1"", ""lange2""], [""dalinde1"", ""dalinde2""], [""aronte1"", ""aronte2""], [""unsoldat1"", ""unsoldat2""]]",1.0
fre000075,barante-arlequin-misanthrope,fre000122,biancolelli-ecole-galante,8,"[""arlequin"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.0031568472703565,False,"[[""leandre1"", ""octave2""], [""ledocteur1"", ""scaramouche2""], [""pierrot1"", ""arlequin2""], [""octave1"", ""mezzetin2""], [""scaramouche1"", ""ledocteur2""], [""arlequin1"", ""pierrot2""]]",0.0
fre000075,barante-arlequin-misanthrope,fre000127,biancollelli-arlequin-gentilhomme,9,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""ledocteur"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.0053455290588899,False,"[[""mezzetin1"", ""lachanteuse2""], [""octave1"", ""octave2""], [""leandre1"", ""pierrot2""], [""colombine1"", ""scaramouche2""], [""scaramouche1"", ""ledocteur2""], [""arlequin1"", ""mezzetin2""], [""ledocteur1"", ""arlequin2""]]",0.111
fre000075,barante-arlequin-misanthrope,fre000128,biancollelli-foire-galante,6,"[""arlequin"", ""colombine"", ""scaramouche"", ""ledocteur"", ""pierrot"", ""lachanteuse""]",0.0009272567110204,False,"[[""ledocteur1"", ""pierrot2""], [""scaramouche1"", ""scaramouche2""], [""colombine1"", ""arlequin2""], [""arlequin1"", ""ledocteur2""]]",0.167
fre000075,barante-arlequin-misanthrope,fre000540,dufresny-depart-des-comediens,7,"[""arlequin"", ""colombine"", ""octave"", ""leandre"", ""pierrot"", ""lachanteuse"", ""mezzetin""]",0.0045177103859278,False,"[[""arlequin1"", ""lachanteuse2""], [""colombine1"", ""colombine2""], [""mezzetin1"", ""arlequin2""], [""octave1"", ""mezzetin2""], [""pierrot1"", ""octave2""], [""leandre1"", ""leandre2""]]",0.286
fre000075,barante-arlequin-misanthrope,fre001032,mongin-promenades-de-paris,7,"[""arlequin"", ""colombine"", ""octave"", ""scaramouche"", ""leandre"", ""pierrot"", ""mezzetin""]",0.0072926162260711,False,"[[""octave1"", ""mezzetin2""], [""colombine1"", ""leandre2""], [""scaramouche1"", ""colombine2""], [""leandre1"", ""arlequin2""], [""arlequin1"", ""pierrot2""], [""pierrot1"", ""scaramouche2""]]",0.0
