id,Name,id_similar,Name_similar,Intersection_size,Intersection,ngram Similarity,SImilarity type (commentaire),Different versions of same text,MatchingScore,Matching,Cast difference
fre000023,anonyme-deroute-des-precieuses,fre001159,pure-deroute-des-precieuses,7,"[""lamour"", ""lecolporteurcriant"", ""colporteurportant"", ""precieuses"", ""lepoete"", ""lesgalants"", ""hymen""]",0.99,Same,TRUE,1,"[[""lesgalants1"", ""lesgalants2""], [""lamour1"", ""lamour2""], [""lecolporteurcriant1"", ""lecolporteurcriant2""], [""precieuses1"", ""precieuses2""], [""colporteurportant1"", ""colporteurportant2""], [""hymen1"", ""hymen2""], [""lepoete1"", ""lepoete2""]]",0
fre001195,racine-phedre,fre001196,racine-phedre-77,8,"[""hippolyte"", ""theramene"", ""oenone"", ""phedre"", ""panope"", ""aricie"", ""ismene"", ""thesee""]",0.92,Same,TRUE,1,"[[""phedre1"", ""phedre2""], [""aricie1"", ""aricie2""], [""ismene1"", ""ismene2""], [""hippolyte1"", ""hippolyte2""], [""oenone1"", ""oenone2""], [""thesee1"", ""thesee2""], [""panope1"", ""panope2""], [""theramene1"", ""theramene2""]]",0
fre001592,beissier-proprietaire-et-locataire,fre001612,beissier-locataire,6,"[""guignol"", ""leconcierge"", ""maitrefuret"", ""leproprietaire"", ""legendarme"", ""lecommissaire""]",0.92,Same,TRUE,1,"[[""leproprietaire1"", ""leproprietaire2""], [""lecommissaire1"", ""lecommissaire2""], [""leconcierge1"", ""leconcierge2""], [""maitrefuret1"", ""maitrefuret2""], [""guignol1"", ""guignol2""], [""legendarme1"", ""legendarme2""]]",0
fre001186,racine-andromaque,fre001187,racine-andromaque-68,8,"[""oreste"", ""pylade"", ""pyrrhus"", ""phoenix"", ""andromaque"", ""hermione"", ""cleone"", ""cephise""]",0.87,Same,TRUE,1,"[[""hermione1"", ""hermione2""], [""cephise1"", ""cephise2""], [""cleone1"", ""cleone2""], [""oreste1"", ""oreste2""], [""pyrrhus1"", ""pyrrhus2""], [""andromaque1"", ""andromaque2""], [""pylade1"", ""pylade2""], [""phoenix1"", ""phoenix2""]]",0
fre000685,genlis-amant-anonyme,fre001653,colle-l-amant-anonyme,8,"[""ophemon"", ""rosalie"", ""picard"", ""leontine"", ""dorothee"", ""levicomte"", ""jeannette"", ""colin""]",0.87,Same,TRUE,1,"[[""picard1"", ""picard2""], [""levicomte1"", ""levicomte2""], [""leontine1"", ""leontine2""], [""ophemon1"", ""ophemon2""], [""colin1"", ""colin2""], [""rosalie1"", ""rosalie2""], [""dorothee1"", ""dorothee2""], [""jeannette1"", ""jeannette2""]]",0
fre001197,racine-plaideurs,fre001198,racine-plaideurs-69,8,"[""petitjean"", ""lintime"", ""dandin"", ""leandre"", ""chicanneau"", ""lacomtesse"", ""isabelle"", ""lesouffleur""]",0.85,Same,TRUE,1,"[[""petitjean1"", ""petitjean2""], [""lintime1"", ""lintime2""], [""lacomtesse1"", ""lacomtesse2""], [""dandin1"", ""dandin2""], [""leandre1"", ""leandre2""], [""isabelle1"", ""isabelle2""], [""lesouffleur1"", ""lesouffleur2""], [""chicanneau1"", ""chicanneau2""]]",0
fre001184,racine-alexandre,fre001185,racine-alexandre-66,6,"[""cleofile"", ""taxile"", ""porus"", ""axiane"", ""ephestion"", ""alexandre""]",0.83,Same,TRUE,1,"[[""axiane1"", ""axiane2""], [""ephestion1"", ""ephestion2""], [""porus1"", ""porus2""], [""taxile1"", ""taxile2""], [""cleofile1"", ""cleofile2""], [""alexandre1"", ""alexandre2""]]",0
fre000977,moissy-goute,fre000985,moissy-petit-paysan,6,"[""monsieurblandineau"", ""madameblandineau"", ""madamebeandineau"", ""lepetitblandineau"", ""jannot"", ""lapetiteblandineau""]",0.75,Same,TRUE,1,"[[""lepetitblandineau1"", ""lepetitblandineau2""], [""madameblandineau1"", ""madameblandineau2""], [""lapetiteblandineau1"", ""lapetiteblandineau2""], [""madamebeandineau1"", ""madamebeandineau2""], [""monsieurblandineau1"", ""monsieurblandineau2""], [""jannot1"", ""jannot2""]]",0
fre000976,moissy-gourmandes,fre000988,moissy-poupee,6,"[""caroline"", ""josephine"", ""lepetitdulac"", ""dulac"", ""monsieurdulac"", ""fanchette""]",0.74,Same,TRUE,1,"[[""fanchette1"", ""fanchette2""], [""monsieurdulac1"", ""monsieurdulac2""], [""caroline1"", ""caroline2""], [""dulac1"", ""dulac2""], [""josephine1"", ""josephine2""], [""lepetitdulac1"", ""lepetitdulac2""]]",0
fre001199,racine-thebaide,fre001200,racine-thebaide-64,8,"[""jocaste"", ""olympe"", ""antigone"", ""eteocle"", ""creon"", ""hemon"", ""polynice"", ""attale""]",0.72,Same,TRUE,1,"[[""polynice1"", ""polynice2""], [""eteocle1"", ""eteocle2""], [""antigone1"", ""antigone2""], [""attale1"", ""attale2""], [""olympe1"", ""olympe2""], [""creon1"", ""creon2""], [""jocaste1"", ""jocaste2""], [""hemon1"", ""hemon2""]]",0
fre000243,carmontelle-condamnez-sans-entendre,fre000274,carmontelle-statue,6,"[""lemarquis"", ""lebaron"", ""lacomtesse"", ""mademoiselledericheviere"", ""lechevalier"", ""lelaquais""]",0.71,Same,TRUE,1,"[[""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""mademoiselledericheviere1"", ""mademoiselledericheviere2""], [""lelaquais1"", ""lelaquais2""], [""lechevalier1"", ""lechevalier2""], [""lebaron1"", ""lebaron2""]]",0
fre000334,corneillep-medee,fre000335,corneillep-medee-39,9,"[""pollux"", ""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon"", ""aegee"", ""theudas""]",0.68,Same,TRUE,1,"[[""theudas1"", ""theudas2""], [""nerine1"", ""nerine2""], [""creuse1"", ""creuse2""], [""cleone1"", ""cleone2""], [""pollux1"", ""pollux2""], [""creon1"", ""creon2""], [""aegee1"", ""aegee2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",0
fre000477,de-caux-marius,fre000760,henault-marius-a-cirte,8,"[""cethegus"", ""marius"", ""arisbe"", ""phenice"", ""caiusmarius"", ""numerius"", ""hiempsal"", ""nerbal""]",0.66,Same,TRUE,1,"[[""marius1"", ""marius2""], [""caiusmarius1"", ""caiusmarius2""], [""phenice1"", ""phenice2""], [""hiempsal1"", ""hiempsal2""], [""arisbe1"", ""arisbe2""], [""numerius1"", ""numerius2""], [""cethegus1"", ""cethegus2""], [""nerbal1"", ""nerbal2""]]",0
fre000324,corneillep-cid,fre000325,corneillep-cid-37,12,"[""chimene"", ""elvire"", ""linfante"", ""leonor"", ""page"", ""lecomte"", ""dondiegue"", ""donrodrigue"", ""donarias"", ""donfernand"", ""donsanche"", ""donalonse""]",0.64,Same,TRUE,1,"[[""donalonse1"", ""donalonse2""], [""elvire1"", ""elvire2""], [""donsanche1"", ""donsanche2""], [""dondiegue1"", ""dondiegue2""], [""donarias1"", ""donarias2""], [""page1"", ""page2""], [""lecomte1"", ""lecomte2""], [""donrodrigue1"", ""donrodrigue2""], [""leonor1"", ""leonor2""], [""chimene1"", ""chimene2""], [""donfernand1"", ""donfernand2""], [""linfante1"", ""linfante2""]]",0
fre001003,moliere-dom-juan,fre001009,moliere-festin-de-pierre,16,"[""sganarelle"", ""gusman"", ""donjuan"", ""donaelvire"", ""charlotte"", ""pierrot"", ""mathurine"", ""laramee"", ""doncarlos"", ""donalonse"", ""laviolette"", ""monsieurdimanche"", ""donlouis"", ""ragotin"", ""lastatue"", ""lespectre""]",0.64,Same,TRUE,1,"[[""mathurine1"", ""mathurine2""], [""laviolette1"", ""laviolette2""], [""pierrot1"", ""pierrot2""], [""laramee1"", ""laramee2""], [""donalonse1"", ""donalonse2""], [""lastatue1"", ""lastatue2""], [""ragotin1"", ""ragotin2""], [""doncarlos1"", ""doncarlos2""], [""sganarelle1"", ""sganarelle2""], [""donlouis1"", ""donlouis2""], [""monsieurdimanche1"", ""monsieurdimanche2""], [""gusman1"", ""gusman2""], [""charlotte1"", ""charlotte2""], [""donjuan1"", ""donjuan2""], [""donaelvire1"", ""donaelvire2""], [""lespectre1"", ""lespectre2""]]",0
fre000326,corneillep-cinna,fre000327,corneillep-cinna-43,9,"[""emilie"", ""fulvie"", ""cinna"", ""evandre"", ""auguste"", ""maxime"", ""euphorbe"", ""polyclete"", ""livie""]",0.63,Same,TRUE,1,"[[""emilie1"", ""emilie2""], [""livie1"", ""livie2""], [""auguste1"", ""auguste2""], [""polyclete1"", ""polyclete2""], [""cinna1"", ""cinna2""], [""maxime1"", ""maxime2""], [""euphorbe1"", ""euphorbe2""], [""evandre1"", ""evandre2""], [""fulvie1"", ""fulvie2""]]",0
fre000157,boissy-dehors-trompeurs,fre000160,boissy-homme-du-jour,9,"[""lisette"", ""celiante"", ""lacomtesse"", ""lemarquis"", ""lebaron"", ""champagne"", ""lucile"", ""monsieurdeforlis"", ""lelaquais""]",0.56,Same,TRUE,1,"[[""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""lelaquais1"", ""lelaquais2""], [""champagne1"", ""champagne2""], [""lebaron1"", ""lebaron2""], [""monsieurdeforlis1"", ""monsieurdeforlis2""], [""lisette1"", ""lisette2""], [""celiante1"", ""celiante2""], [""lucile1"", ""lucile2""]]",0
fre000558,dumaniant-francais-en-huronie,fre000559,dumaniant-francais-en-huronie-1787,6,"[""frontin"", ""valcour"", ""lafleur"", ""dorval"", ""zamire"", ""lesauvage""]",0.38,Same,TRUE,1,"[[""lesauvage1"", ""lesauvage2""], [""zamire1"", ""zamire2""], [""valcour1"", ""valcour2""], [""lafleur1"", ""lafleur2""], [""dorval1"", ""dorval2""], [""frontin1"", ""frontin2""]]",0
fre000497,diderot-est-il-bon-est-il-mechant,fre000501,diderot-piece-prologue,10,"[""madamedechepy"", ""picard"", ""mademoisellebeaulieu"", ""flamand"", ""monsieurhardouin"", ""lelaquais"", ""madamebertrand"", ""monsieurdesurmont"", ""monsieurpoultier"", ""tousensemble""]",0.34,Same,TRUE,1,"[[""madamebertrand1"", ""madamebertrand2""], [""lelaquais1"", ""lelaquais2""], [""monsieurdesurmont1"", ""monsieurdesurmont2""], [""tousensemble1"", ""tousensemble2""], [""monsieurpoultier1"", ""monsieurpoultier2""], [""flamand1"", ""flamand2""], [""madamedechepy1"", ""madamedechepy2""], [""picard1"", ""picard2""], [""monsieurhardouin1"", ""monsieurhardouin2""], [""mademoisellebeaulieu1"", ""mademoisellebeaulieu2""]]",0
fre000336,corneillep-melite,fre000337,corneillep-melite-33,7,"[""eraste"", ""melite"", ""philandre"", ""cloris"", ""cliton"", ""lanourrice"", ""lisis""]",0.33,Same,TRUE,1,"[[""eraste1"", ""eraste2""], [""philandre1"", ""philandre2""], [""lanourrice1"", ""lanourrice2""], [""cliton1"", ""cliton2""], [""cloris1"", ""cloris2""], [""melite1"", ""melite2""], [""lisis1"", ""lisis2""]]",0
