VALEUR,RODOGUNE,DARIE,ARTAXERCE,LIDIE,ORONTE,ARGANTE
Scènes,"{0, 1, 2, 3, 4, 6, 7, 8, 9, 15, 16, 17, 18, 19, 20}","{0, 1, 4, 5, 7, 8, 12, 13, 14, 20}","{0, 1, 4, 5, 7, 9, 10, 11, 12, 13, 14, 19, 20}","{3, 13, 18, 19, 20}","{1, 17, 6, 15}",set()
Fréquences,0.7142857142857143,0.47619047619047616,0.6190476190476191,0.23809523809523808,0.19047619047619047,0.0
