andre_mareschal-cour_bergere_ou_l_arcadie_de_messire_philippes_sidney	[vide]	1640.</p>	[vide]	[vide]	1640	[vide]
david_augustin_de_brueys_jean_de_palaprat-avocat_patelin	[vide]	[vide]	Représentée pour la première fois, à Paris, par les Comédiens Français, sur le Théâtre de la rue des Fossés Saint-Germain, le 4 juin 1706.	[vide]	[vide]	1706-06-04
georges_courteline-peur_des_coups	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre d’Application, le 14 décembre 1894.	[vide]	[vide]	1894-12-14
de_beaunoir-mariage_d_antonio	[vide]	[vide]	Représenté pur la première fois, à Paris,  sur le Théâtre Italien, le 29 juillet 1786.	[vide]	[vide]	1786-07-29
georges_feydeau-homme_econome	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
beaumarchais-deux_amis_ou_le_negocient_de_lyon	[vide]	[vide]	Représenté pour la première fois sur le Théâtre de la Comédie Française, à Paris, le 23 janvier 1770.	[vide]	[vide]	1770-01-23
moliere-ecole_des_femmes	[vide]	[vide]	Représentée pour la première fois à Paris, sur le Théâtre du Palais-Royal, le 26 décembre 1662, par le Troupe de Monsieur, frère unique du Roi.	[vide]	[vide]	1662-12-26
edmond_rostand-derniere_nuit_de_don_juan	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
de_beaunoir-cacophonie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Grands Danseurs du Roi, le 31 juillet 1779.	[vide]	[vide]	1779-07-31
georges_courteline-extra_lucide	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Carillon, le 17 mai 1897.	[vide]	[vide]	1897-05-17
jacques_francois_ancelot_alexis_decomberousse-domino_rose	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 20 février 1834.	[vide]	[vide]	1834-02-20
eugene_scribe-menteur_veridique	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 24 avril 1823.	[vide]	[vide]	1823-04-24
victorien_sardou-nos_intimes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 16 novembre 1861.	[vide]	[vide]	1861-11-16
jacques_francois_ancelot_alexis_decomberousse-nuit_d_avant	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 23 avril 1832.	[vide]	[vide]	1832-04-23
georges_feydeau-monsieur_qui_n_aime_pas_les_monologues	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
melesville-bucheron_ecossais	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Gaîté, le 21 mai 1816.	[vide]	[vide]	1816-05-21
michel_de_cubieres_palmezeaux-mort_de_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 31 janvier 1788.	[vide]	[vide]	1788-01-31
eugene_scribe_joseph_xavier_boniface_saintine-babiole_et_joblot	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 11 octobre 1844.	[vide]	[vide]	1844-10-11
camille_doucet-dernier_banquet_de_1847	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de l’Odéon, le 30 décembre 1847.	[vide]	[vide]	1847-12-30
jean_de_la_fontaine_champmesle-florentin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel Guénégaud par le Comédiens français, le 23 juillet 1685.	[vide]	[vide]	1685-07-23
eugene_scribe-puff_ou_mensonge_et_verite	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 22 janvier 1848.	[vide]	[vide]	1848-01-22
thomas_corneille-maximian	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en février 1662.	[vide]	[vide]	1662-02
michel_baron-coquette  ou_la_fausse_prude	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 28 décembre 1686.	[vide]	[vide]	1686-12-28
jean_baptiste_louis_gresset-edouard_iii	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 22 janvier 1740.	[vide]	[vide]	1740-01-22
claude_boyer-artaxerce	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’hôtel Guénégaud, le 22 novembre 1682.	[vide]	[vide]	1682-11-22
eugene_scribe_melesville-petite_soeur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 6 juin 1821.	[vide]	[vide]	1821-06-06
eugene_scribe-maitresse_au_logis	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 9 juin 1823.	[vide]	[vide]	1823-06-09
jules_sandeau-maison_de_penarvan	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, par les comédiens ordinaires de l’Empereur, le 15 décembre 1863.	[vide]	[vide]	1863-12-15
philippe_poisson-impromptu_de_campagne	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de la rue des Fossés Saint-Germain, le 21 décembre 1733	[vide]	[vide]	1733-12-21
dancourt-chevalier_a_la_mode	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel Guénégaud, le 24 octobre 1687.	[vide]	[vide]	1687-10-24
alexandre_dumas_pere-christine_ou_stockholm_fontainebleau_et_rome	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de l’Odéon, le 30 mars 1830.	[vide]	[vide]	1830-03-30
emile_augier_jules_sandeau-pierre_de_touche	[vide]	[vide]	Représentée pour la première fois, à Paris, à la Comédie-Française, le 23 décembre 1853.	[vide]	[vide]	1853-12-23
alexis_piron-courses_de_tempe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 30 août 1734.	[vide]	[vide]	1734-08-30
clairville-1836_dans_la_lune	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 31 décembre 1836.	[vide]	[vide]	1836-12-31
beaumarchais-mariage_de_figaro_ou_la_folle_journee	[vide]	[vide]	Représentée pour la première fois par les Comédiens Français ordinaires du Roi, le Mardi 27 Avril 1784.	[vide]	[vide]	1784-04-27
jean_de_rotrou-saint_genest_comedien_paien_representant_le_martyre_d_adrien	[vide]	[vide]	Représentée pour la première fois, en 1646.	[vide]	[vide]	1646
marc_antoine_legrand-mauvais_menage	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 19 mai 1725.	[vide]	[vide]	1725-05-19
alfred_capus_lucien_descaves-attentat	[vide]	[vide]	Représentée pour la première fois au Théâtre de la Gaité, le 9 mars 1906.	[vide]	[vide]	1906-03-09
tristan_bernard-sacoche	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
jean_de_rotrou-laure_persecutee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du jeu de paume du Marais, en 1637.	[vide]	[vide]	1637
voltaire-irene	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Français, le 16 mars 1778.	[vide]	[vide]	1778-03-16
thomas_sauvage_gabriel_de_lurieu-matelot	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 6 mars 1833.	[vide]	[vide]	1833-03-06
marc_antoine_legrand-famille_extravagante	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 7 juin 1709.	[vide]	[vide]	1709-06-07
eugene_scribe_edouard_mazeres-oncle_d_amerique	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 14 mars 1826.	[vide]	[vide]	1826-03-14
delphine_de_girardin-c_est_la_faute_du_mari	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 1<sup>er</sup> mai 1851.	[vide]	[vide]	1851-05-01
jean_francois_regnard_charles_dufresny-chinois	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 13 décembre 1692.	[vide]	[vide]	1692-12-13
eugene_scribe_charles_gaspard_delestre_poirson_jean_henri_dupin-wallace_ou_la_barriere_mont_parnasse	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 8 mai 1817.	[vide]	[vide]	1817-05-08
eugene_labiche_charles_varin_eugene_nyon-enfant_de_la_maison	[vide]	[vide]	Représenté pour la première fois à Paris sur le théâtre du Gymnase, le 21 novembre 1845.	[vide]	[vide]	1845-11-21
henri_meilhac_ludovic_halevy-lolotte	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 4 octobre 1879.	[vide]	[vide]	1879-10-04
charles_dufresny-adieux_des_officiers_ou_venus_justifiee	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens Italiens du Roi, sur le Théâtre de l’Hôtel de Bourgogne, le 25avril 1693.	[vide]	[vide]	1693-04-25
victor_hugo-amy_robsart	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre de l’Odéon, le 13 février 1828.	[vide]	[vide]	1828-02-13
georges_courteline-monsieur_badin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Grand Guignol, le 13 avril 1897.	[vide]	[vide]	1897-04-13
adolphe_d_ennery_eugene_grange-tour_de_faction	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre des Variétés, le 20 juillet 1837.	[vide]	[vide]	1837-07-20
emile_zola-heritiers_rabourdin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Cluny, le 3 novembre 1874.	[vide]	[vide]	1874-11-03
tristan_bernard-monsieur_codomat	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Antoine, le 17 octobre 1907.	[vide]	[vide]	1907-10-17
jean_magnon-grand_tamerlan_et_bajazet_ou_la_mort_de_bajazet	[vide]	[vide]	Représentée pour la première fois, en 1647.	[vide]	[vide]	1647
dancourt-divertissement_de_sceaux	[vide]	[vide]	Représentée pour la première fois, au Château de Sceaux, le 13 août 1705.	[vide]	[vide]	1705-08-13
louis_de_boissy-epoux_par_supercherie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 9 mars 1744.	[vide]	[vide]	1744-03-09
eugene_labiche_charles_varin-deux_profonds_scelerats	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 24 février 1854.	[vide]	[vide]	1854-02-24
jacques_francois_ancelot_alexis_decomberousse-vouloir_c_est_pouvoir	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 24 juin 1837.	[vide]	[vide]	1837-06-24
marc_antoine_madeleine_desaugiers-appartement_a_deux_maitres	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 11 août 1811.	[vide]	[vide]	1811-08-11
charles_dufresny-depart_des_comediens	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens Italiens du Roi, sur le Théâtre de l’Hôtel de Bourgogne, le 24 août 1694.	[vide]	[vide]	1694-08-24
benjamin_pifteau-moliere_en_voyage	[vide]	Imprimée en 1879.</span></p>	[vide]	[vide]	1879	[vide]
jean_de_rotrou-cleagenor_et_doristee	[vide]	[vide]	Représentée pour la première fois, en 1634.	[vide]	[vide]	1634
eugene_labiche_alfred_duru-madame_est_trop_belle	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 30 mars 1874.	[vide]	[vide]	1874-03-30
jean_racine-athalie	[vide]	[vide]	Représentée pour la première fois, à Saint-Cyr, le 5 janvier 1691.	[vide]	[vide]	1691-01-05
louis_de_boissy-la_comedie_anonyme	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 17 août 1737.	[vide]	[vide]	1737-08-17
emile_blemont-moliere_en_bonne_fortune	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
alexis_piron-antre_de_trophonius	[vide]	[vide]	Représenté pour la première fois, à Paris, à la Foire Saint-Germain, le 24 mai 1722.	[vide]	[vide]	1722-05-24
jacques_francois_ancelot_alexis_decomberousse-tapissier	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 5 janvier 1835.	[vide]	[vide]	1835-01-05
claude_boyer-tyridate	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Marais, en 1648.	[vide]	[vide]	1648
claude_boyer-clotilde	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en avril 1659.	[vide]	[vide]	1659-04
michel_de_cubieres_palmezeaux-marquise_de_pompadour_ou_germon_et_juliette	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de Molière, en 1797.	[vide]	[vide]	1797
georges_courteline-droit_aux_etrennes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Grand Guignol, le 13 mai 1896.	[vide]	[vide]	1896-05-13
paul_scarron-marquis_ridicule_ou_la_comtesse_faite_a_la_hate	[vide]	[vide]	Représentée pour la première fois en 1656.	[vide]	[vide]	1656
dancourt-bourgeoises_a_la_mode	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 15 novembre 1692.	[vide]	[vide]	1692-11-15
eugene_labiche_alfred_delacour-voyage_en_chine	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre impérial de l’Opéra-Comique, le 9 décembre 1865.	[vide]	[vide]	1865-12-09
joseph_de_lafont-amour_venge	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 14 octobre 1712.	[vide]	[vide]	1712-10-14
michel_baron-jaloux	[vide]	[vide]	Représentée, pour la première fois, le 17 décembre 1687.	[vide]	[vide]	1687-12-17
eugene_labiche_alfred_delacour-choix_d_un_gendre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 22 avril 1869.	[vide]	[vide]	1869-04-22
thomas_corneille-darius	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1659.	[vide]	[vide]	1659
dancourt-femme_d_intrigues	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 30 janvier 1692.	[vide]	[vide]	1692-01-30
alfred_capus-helene_ardouin	[vide]	[vide]	Représentée pour la première fois au Théâtre du Vaudeville, le 14 mars 1913.	[vide]	[vide]	1913-03-14
jacques_francois_ancelot_alexis_decomberousse-dernier_de_la_famille	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre National du Vaudeville, le 7 mai 1834.	[vide]	[vide]	1834-05-07
alfred_de_musset-nuit_venitienne_ou_les_noces_de_laurette	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 1<sup>er</sup> décembre 1830.	[vide]	[vide]	1830-12-01
georges_courteline_pierre_wolf-cruche_ou_j_en_ai_plein_le_dos_de_margot	[vide]	[vide]	Représentée pour la première fois, à paris, sur le Théâtre de la Renaissance, le 27 février 1909.	[vide]	[vide]	1909-02-27
octave_mirbeau-mauvais_bergers	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre de la Renaissance, le 14 décembre 1897.	[vide]	[vide]	1897-12-14
eugene_labiche_marc_michel-femme_qui_perd_ses_jarretieres	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 8 février 1851.	[vide]	[vide]	1851-02-08
francois_ponsard-moliere_a_vienne	[vide]	[vide]	Représentée pour la première fois, à Vienne, le 9 octobre 1851.	[vide]	[vide]	1851-10-09
eugene_scribe_jean_henri_dupin_antoine_francois_varner-chateau_de_la_poularde	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de S. A. R. Madame, le 4 Octobre 1824.	[vide]	[vide]	1824-10-04
ferdinand_de_laboullaye-moliere_au_dix_neuvieme_siecle	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre royal de l’Odéon, le 21 janvier 1844.</span>	[vide]	[vide]	1844-01-21
pierre_claude_nivelle_de_la_chaussee-vieillard_amoureux	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
alexandre_dumas_pere-prisonnier_de_la_bastille	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre impérial du Cirque, le 22 mars 1861.	[vide]	[vide]	1861-03-22
eugene_labiche_auguste_lefranc_marc_michel_jacques_francois_ancelot-article_960_ou_la_donation	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 20 août 1839.	[vide]	[vide]	1839-08-20
jean_de_rotrou-amelie	[vide]	[vide]	Représentée pour la première fois, en 1633.	[vide]	[vide]	1633
jean_de_rotrou-clarice_ou_l_amour_constant	[vide]	[vide]	Représentée pour la première fois en 1641.	[vide]	[vide]	1641
eugene_labiche_edouard_martin-vivacites_du_capitaine_tic	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 16 mars 1861.	[vide]	[vide]	1861-03-16
paul_feval_pierre_zaccone-24_fevrier	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Ambigu-Comique, le 9 mars 1848.	[vide]	[vide]	1848-03-09
voltaire-socrate	[vide]	[vide]	Représenté pour la première fois en 1759.	[vide]	[vide]	1759
philippe_quinault-pausanias	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de Bourgogne, le 16 novembre 1668.	[vide]	[vide]	1668-11-16
david_augustin_de_brueys_jean_de_palaprat-important_de_cour	[vide]	[vide]	Représentée pour la première fois, le 16 décembre 1693.	[vide]	[vide]	1693-12-16
alfred_capus-notre_jeunesse	[vide]	[vide]	Représentée pour la première fois sur la scène de la Comédie-Française, le 16 novembre 1904.	[vide]	[vide]	1904-11-16
de_beaunoir-venus_pelerine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Grands-Danseurs du Roi, en novembre 1777.	[vide]	[vide]	1777-11
eugene_labiche_auguste_lefranc_paul_jesse-major_cravachon	[vide]	[vide]	Représentée pour la première fois, sur le Théâtre du Palais-Royal, le 15 février 1844.	[vide]	[vide]	1844-02-15
eugene_labiche_auguste_lefranc_armand_montjoye-piccolet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 30 septembre 1852.	[vide]	[vide]	1852-09-30
emile_augier-meprises_de_l_amour	[vide]	1852.</p>	[vide]	[vide]	1852	[vide]
marivaux-fausse_suivante_ou_le_fourbe_puni	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 8 juillet 1724.	[vide]	[vide]	1724-07-08
jacques_francois_ancelot-important	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Royal de l’Odéon, le 4 décembre 1827.	[vide]	[vide]	1827-12-04
alexandre_dumas_pere-verrou_de_la_reine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 15 décembre 1856.	[vide]	[vide]	1856-12-15
victorien_sardou_emile_moreau-dante	[vide]	[vide]	Représenté pour la première fois, à Londres, au théâtre Royal de Drury Lane, le 30 avril 1903.	[vide]	[vide]	1903-04-30
marivaux-arlequin_poli_par_l_amour	[vide]	[vide]	Représentée pour la première fois par les comédiens italiens, le 17 octobre 1720.	[vide]	[vide]	1720-10-17
jean_de_rotrou-belle_alphrede	[vide]	[vide]	Représentée pour la première fois, en 1636.	[vide]	[vide]	1636
destouches-jeune_homme_a_l_epreuve	[vide]	Imprimée en 1751, représentée pour la première fois, à Paris, sur le Théâtre d’Émulation, le 6 septembre 1796.</p>	représentée pour la première fois, à Paris, sur le Théâtre d’Émulation, le 6 septembre 1796.	[vide]	1751	1796-09-06
francois_fabie-moliere_et_montespan	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 15 janvier 1879.</span>	[vide]	[vide]	1879-01-15
jean_francois_regnard_charles_dufresny-naissance_d_amadis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 10 février 1694.	[vide]	[vide]	1694-02-10
eugene_labiche_marc_michel-fille_bien_gardee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 6 septembre 1850.	[vide]	[vide]	1850-09-06
virginie_ancelot-hermance_ou_un_an_trop_tard	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 15 avril 1843.	[vide]	[vide]	1843-04-15
jean_magnon-sejanus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1646.	[vide]	[vide]	1646
victorien_sardou-don_quichotte	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 25 juin 1864.	[vide]	[vide]	1864-06-25
eugene_labiche_alfred_delacour-fils_du_brigadier	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre Impérial de l’Opéra-Comique, le 25 février 1867.	[vide]	[vide]	1867-02-25
eugene_scribe_ernest_legouve-bataille_de_dames_ou_un_duel_en_amour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 17 mars 1851.	[vide]	[vide]	1851-03-17
louis_de_boissy-embarras_du_choix	[vide]	[vide]	Représentée pour la première fois, à Paris,  par les Comédiens ordinaires du Roi, sur le Théâtre de la rue des Fossés Saint-Germain, le 11 décembre 1741.	[vide]	[vide]	1741-12-11
destouches-enfant_gate	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
henri_meilhac_ludovic_halevy-menuet_de_danae	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 20 avril 1861.</span>	[vide]	[vide]	1861-04-20
thomas_corneille_jean_donneau_de_vise-pierre_philosophale	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel Guénégaud, le 23 février 1681.	[vide]	[vide]	1681-02-23
georges_feydeau-gibier_de_potence	[vide]	[vide]	Représentée pour la première fois, à Paris, au Cercle des Arts intimes,  le 1<sup>er</sup> juin 1883.	[vide]	[vide]	1883-06-01
marivaux-ile_des_escalves	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 5 mars 1725.	[vide]	[vide]	1725-03-05
jean_francois_regnard-homme_a_bonnes_fortunes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 10 janvier 1690.	[vide]	[vide]	1690-01-10
jean_de_rotrou-menechmes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1630.	[vide]	[vide]	1630
jean_de_rotrou-innocente_infidelite	[vide]	[vide]	Représentée pour la première fois, en 1634.	[vide]	[vide]	1634
prosper_jolyot_de_crebillon-electre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 14 décembre 1708.	[vide]	[vide]	1708-12-14
eugene_scribe_jean_henri_dupin-homme_noir	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 12 novembre 1820.	[vide]	[vide]	1820-11-12
emile_augier_edouard_foussier-lionnes_pauvres	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Vaudeville, le 22 mai 1858, et reprise, sur le même théâtre, le 22 novembre 1879.	[vide]	[vide]	1858-05-22
georges_de_scudery-ibrahim_ou_l_illustre_bassa	[vide]	[vide]	Représentée pour la première foi, en 1641.</span>	[vide]	[vide]	1641
christophe_barthelemy_fagan_de_lugny-fermiere	[vide]	[vide]	Représentée, pour la première fois, sur le Théâtre de l’Hôtel de Bourgogne, le 18 Janvier 1748.	[vide]	[vide]	1748-01-18
jacques_francois_ancelot_leon_laya-robe_de_chambre_ou_les_moeurs_de_ce_temps_la	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre National du Vaudeville, le 10 juin 1833.	[vide]	[vide]	1833-06-10
jean_de_rotrou-heureuse_constance	[vide]	[vide]	Représentée pour la première fois, en 1631.	[vide]	[vide]	1631
edmond_rostand-princesse_lointaine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Renaissance, le 3 avril 1895.	[vide]	[vide]	1895-04-03
adolphe_d_ennery_eugene_grange-gras_et_maigre	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 25 février 1838.	[vide]	[vide]	1838-02-25
voltaire-tancrede	[vide]	[vide]	Représentée, pour la première fois, par les Comédiens Français ordinaires du Roi, sur le Théâtre de la rue des Fossés Saint-Germain, le 3 septembre 1760.	[vide]	[vide]	1760-09-03
virginie_ancelot-isabelle_ou_deux_jours_d_experience	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre-Français, le 15 mars 1838.	[vide]	[vide]	1838-03-15
jean_donneau_de_vise-gentilhomme_guespin	[vide]	1670.</p>	[vide]	[vide]	1670	[vide]
eugene_scribe_paul_duport-quaker_et_la_danseuse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase Dramatique, le 28 mars 1831.	[vide]	[vide]	1831-03-28
jean_francois_bayard_marc_antoine_madeleine_desaugiers-porte_secrete	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de S.A.R. Madame, le 7 mai 1825.	[vide]	[vide]	1825-05-07
nicolas_pradon-tamerlan_ou_la_mort_de_bajazet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en janvier 1676.</span>	[vide]	[vide]	1676-01
jean_francois_regnard-souhaits	[vide]	[vide]	Représentée sur le Théâtre de Grillon, en 1700.	[vide]	[vide]	1700
jean_francois_regnard-folies_amoureuses	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, par la troupe de la comédie Française, le 15 janvier 1704.	[vide]	[vide]	1704-01-15
eugene_labiche_alfred_delacour-homme_qui_manque_le_coche	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 31 octobre 1865.	[vide]	[vide]	1865-10-31
adolphe_d_ennery_auguste_anicet_bourgeois-portefeuille_ou_deux_familles	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte-Saint-Martin, le 7 mars 1837	[vide]	[vide]	1837-03-07
pierre_corneille-rodogune_princesse_de_parthes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Marais, en 1644.	[vide]	[vide]	1644
francois_tristan_l_hermite-mort_de_chrispe_ou_les_malheurs_domestiques_du_grand_constantin	[vide]	[vide]	Représenté pour la première fois en 1644.	[vide]	[vide]	1644
virginie_ancelot-reine_cardinal_et_page	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 5 décembre 1832.	[vide]	[vide]	1832-12-05
tristan_bernard-homme_dans_la_maison	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Saint-Michel, en janvier 1927.	[vide]	[vide]	1927-01
de_beaunoir-rose_suite_de_fanfan_et_colas	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Italien, le 13 septembre 1785.	[vide]	[vide]	1785-09-13
adolphe_d_ennery_jean_francois_bayard_dumanoir-suzette	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre des Variétés, le 18 décembre 1837.	[vide]	[vide]	1837-12-18
