id,id_similar,author,play_name,author_similar,play_name_similar
fre000023,fre001159,[Anonyme],La Déroute des Précieuses,Michel Abbé De Pure,La Déroute des Précieuses
fre001195,fre001196,Jean Racine,Phèdre (1697),Jean Racine,Phèdre et Hippolyte
fre001592,fre001612,Fernand Beissier,Propriétaire et Locataire,Fernand Beissier,Propriétaire et Locataire
fre001186,fre001187,Jean Racine,Andromaque,Jean Racine,Andromaque
fre000685,fre001653,Stéphanie Félicité Du Crest De Genlis,L'Amant Anonyme,Charles Collé,"L'Amant Anonyme, Comédie"
fre001197,fre001198,Jean Racine,Les Plaideurs,Jean Racine,Les Plaideurs
fre001184,fre001185,Jean Racine,Alexandre le Grand,Jean Racine,Alexandre le Grand
fre000977,fre000985,Alexandre Guillaume De Moissy,Le Goûté. les Jeux de la Petite Thalie.,Alexandre Guillaume De Moissy,Le Petit Paysan Hardi.
fre000976,fre000988,Alexandre Guillaume De Moissy,Les Gourmandes,Alexandre Guillaume De Moissy,La Poupée.
fre001199,fre001200,Jean Racine,La Thébaïde,Jean Racine,La Thébaïde
fre000243,fre000274,Louis Carrogis De Carmontelle,Condamner sans Entendre. ou La Statue.,Louis Carrogis De Carmontelle,La Statue.
fre000334,fre000335,Pierre Corneille,Médée (1682),Pierre Corneille,Médée
fre000477,fre000760,Gilles De Caux De Montlebert,Marius,Charles Jean François Hénault,Marius à Cirte
fre000324,fre000325,Pierre Corneille,Le Cid,Pierre Corneille,Le Cid
fre001003,fre001009,Molière,Don Juan ou Le Festin de Pierre,Molière,Don Juan
fre000326,fre000327,Pierre Corneille,Cinna (1682),Pierre Corneille,Cinna
fre000157,fre000160,Louis De Boissy,Les Dehors Trompeurs,Louis De Boissy,L'Homme du Jour
fre000558,fre000559,Dumaniant,Le Français en Huronie,Dumaniant,Le Français en Huronie
fre000497,fre000501,Denis Diderot,"Est-il Bon, Est-il Méchant ?",Denis Diderot,La Pièce et le Prologue
fre000336,fre000337,Pierre Corneille,Mélite,Pierre Corneille,Mélite ou Les Fausses Lettres
fre001169,fre001171,Philippe Quinault,La Comédie sans Comédie,Philippe Quinault,Le Docteur de Verre
fre000993,fre001173,Molière,Les Amants Magnifiques,Philippe Quinault,Les Fêtes de l'Amour et de Bacchus
fre000374,fre001009,Thomas Corneille,Le Festin de Pierre,Molière,Don Juan
fre001021,fre001361,Molière,Les Précieuses Ridicules,Antoine Baudeau De Somaize,Les Précieuses Ridicules
fre000958,fre001128,Philippe Marolles,L'Aululaire,Plaute,L'Aululaire Traduction Sommer
