,Alexandre le Grand,Alexandre le Grand,Andromaque,Andromaque,Artaxerce,Artaxerce,Don Juan ou Le Festin de Pierre,Don Juan ou Le Festin de Pierre,Médée,Médée (1682)
Alexandre le Grand,"[(0, 0, 0.0034093856811523438), (1, 1, 0.005115389823913574), (2, 2, 2.384185791015625e-07), (3, 3, 0), (4, 4, 2.384185791015625e-07), (5, 5, 0.07859969139099121), (6, 6, 0.0085221529006958), (7, 7, 1.1920928955078125e-07), (8, 8, 0.03672289848327637), (9, 9, 4.76837158203125e-07), (10, 10, 0.004060864448547363), (11, 11, 0.022412419319152832), (12, 12, 2.384185791015625e-07), (13, 13, 0.0025246143341064453), (14, 14, 0.011971235275268555), (15, 15, 0.0018881559371948242), (16, 16, 0.015199422836303711), (17, 17, 0.00598454475402832), (18, 18, 0.004420876502990723), (19, 19, 0.01031637191772461), (20, 20, 0.03865385055541992), (21, 21, 2.384185791015625e-07), (22, 22, 0), (23, 23, 0), (24, 24, 3.5762786865234375e-07), (25, 25, 0), (26, 26, 1.1920928955078125e-07), (27, 27, 2.384185791015625e-07), (28, 28, 1.1920928955078125e-07), (29, 29, 3.5762786865234375e-07), (30, 30, 2.384185791015625e-07), (31, 31, 0), (32, '-', 1), (33, '-', 1), (34, '-', 1), (35, '-', 1), (36, 32, 0.10509443283081055), (37, 33, 0.059309959411621094), (38, 34, 0.009448647499084473), (39, 35, 0.03981959819793701), (40, 36, 0.035524845123291016), (41, 37, 0), (42, 38, 0), (43, 39, 2.384185791015625e-07), (44, 40, 0.01585841178894043), (45, 41, 0.005017518997192383), (46, 42, 1.1920928955078125e-07), (47, 43, 0.02400040626525879), (48, 44, 0.008733987808227539), (49, 45, 0.014554381370544434), (50, 46, 0.017888903617858887), (51, 47, 0.004992008209228516), (52, 48, 0.003535032272338867), (53, 49, 0.012959003448486328), (54, 50, 0.001027226448059082), (55, 51, 0.0033392906188964844), (56, 52, 0.0016268491744995117), (57, 53, 2.384185791015625e-07), (58, 54, 0), (59, 55, 0), (60, 56, 0.019389986991882324), (61, 57, 0.07019293308258057), (62, 58, 0.015171051025390625), (63, 59, 0.011656761169433594), (64, 60, 0.003172636032104492), (65, 61, 0), (66, 62, 0.0808643102645874), (67, 63, 0.0066928863525390625), (68, 64, 0.8821455240249634), (69, 65, 2.384185791015625e-07), (70, 66, 0), (71, 67, 3.5762786865234375e-07), (72, 68, 0.022641658782958984), (73, 69, 0.06433689594268799), (74, 70, 0), (75, 71, 0), (76, 72, 0.009979724884033203), (77, 73, 2.384185791015625e-07), (78, 74, 0), (79, 75, 0), (80, 76, 0.009500384330749512), (81, 77, 0.005408287048339844), (82, 78, 0.012868881225585938), (83, 79, 0.004831194877624512), (84, 80, 0), (85, 81, 0.312450647354126), (86, '-', 1), (87, '-', 1), (88, 82, 2.384185791015625e-07), (89, 83, 1.1920928955078125e-07), (90, 84, 0.10216784477233887), (91, 85, 0.005787014961242676), (92, 86, 0), (93, 87, 0.03576803207397461), (94, 88, 1.1920928955078125e-07), (95, 89, 0), (96, 90, 0.002652406692504883), (97, 91, 0.018723726272583008), (98, 92, 0.03699600696563721), (99, 93, 0), (100, 94, 0.01764535903930664), (101, 95, 0.0009273290634155273), (102, 96, 0.012152671813964844), (103, 97, 0.024198055267333984), (104, 98, 2.384185791015625e-07), (105, 99, 0), (106, 100, 0), (107, 101, 0), (108, 102, 3.5762786865234375e-07), (109, 103, 0), (110, 104, 0.0035130977630615234), (111, 105, 0), (112, 106, 0.018155813217163086), (113, 107, 0.00988316535949707), (114, 108, 0), (115, 109, 0), (116, 110, 0.02706897258758545), (117, 111, 0.004836320877075195), (118, 112, 0.0026668310165405273), (119, 113, 0), (120, 114, 0.16931581497192383), (121, 115, 0.0890878438949585), (122, 116, 0.009334206581115723), (123, 117, 0.01612555980682373), (124, 118, 0), (125, 119, 0), (126, 120, 0.0006984472274780273), (127, 121, 3.5762786865234375e-07), (128, 122, 0.0016660690307617188), (129, 123, 0.008068442344665527), (130, 124, 2.384185791015625e-07), (131, 125, 1.1920928955078125e-07), (132, 126, 2.384185791015625e-07), (133, 127, 1.1920928955078125e-07), (134, 128, 0.0054132938385009766), (135, 129, 0), (136, 130, 3.5762786865234375e-07), (137, 131, 0.0372164249420166), (138, 132, 0.029886841773986816), (139, 133, 0), (140, 134, 0.2119501829147339), (141, 135, 0.007263898849487305), (142, 136, 0), (143, 137, 0), (144, 138, 0), (145, 139, 0), (146, 140, 0), (147, 141, 0.00475001335144043), (148, 142, 2.384185791015625e-07), (149, 143, 0.1810145378112793), (150, 144, 0), (151, 145, 0.008914589881896973), (152, 146, 0.005394458770751953), (153, 147, 0), (154, 148, 0.0059735774993896484), (155, 149, 3.5762786865234375e-07), (156, 150, 0), (157, 151, 0.015036582946777344), (158, 152, 0.002665996551513672), (159, 153, 0), (160, 154, 2.384185791015625e-07), (161, 155, 0), (162, 156, 0.15820956230163574), (163, '-', 1), (164, '-', 1), (165, '-', 1), (166, '-', 1), (167, 157, 0.2302553653717041), (168, 158, 0), (169, 159, 0), (170, 160, 0), (171, 161, 0), (172, 162, 1.1920928955078125e-07), (173, 163, 0), (174, 164, 0.008684396743774414), (175, 165, 2.384185791015625e-07), (176, 166, 0.0016551017761230469), (177, 167, 0.21583151817321777), (178, 168, 3.5762786865234375e-07), (179, 169, 1.1920928955078125e-07), (180, 170, 0), (181, 171, 0.002310514450073242), (182, 172, 0.0034165382385253906), (183, 173, 1.1920928955078125e-07), (184, 174, 0.009988188743591309)]",,,,,,,,,
Andromaque,"[(0, 0, 1.0379029512405396), (1, 1, 0.7740875482559204), (2, '-', 1), (3, 2, 0.8844265937805176), (4, 3, 0.5763359069824219), (5, 4, 0.6750915050506592), (6, 5, 0.668231725692749), (7, 6, 1.5342141687870026), (8, 7, 0.7112760543823242), (9, 8, 1.2566921710968018), (10, 9, 0.7459794282913208), (11, 10, 1.3393005728721619), (12, 11, 0.9828891754150391), (13, 12, 0.7387595176696777), (14, 13, 1.083226203918457), (15, 14, 0.8177139759063721), ('-', 15, 1), ('-', 16, 1), (16, 17, 1.233139157295227), (17, 18, 0.7231674194335938), ('-', 19, 1), ('-', 20, 1), (18, 21, 1.2539315223693848), (19, 22, 1.1169086694717407), ('-', 23, 1), (20, 24, 1.4228500127792358), (21, 25, 1.1993108987808228), (22, 26, 1.0300472974777222), (23, 27, 1.5611131489276886), (24, 28, 1.3859915137290955), (25, 29, 1.4417918920516968), (26, 30, 1.483982264995575), (27, 31, 1.5946844220161438), (28, 32, 1.4616444110870361), (29, 33, 1.4960427284240723), (30, 34, 1.3177711963653564), (31, 35, 1.40937739610672), (32, '-', 1), (33, 36, 1.516883373260498), (34, 37, 1.390564203262329), (35, '-', 1), (36, 38, 1.0382227301597595), (37, 39, 0.7665541172027588), (38, 40, 0.9516072273254395), (39, '-', 1), (40, 41, 0.7994987964630127), (41, 42, 1.48203706741333), ('-', 43, 1), (42, 44, 0.9683525562286377), (43, 45, 0.8197234869003296), ('-', 46, 1), (44, 47, 0.9840810298919678), (45, 48, 0.8226008415222168), (46, 49, 1.1272778511047363), (47, 50, 0.8485571146011353), (48, 51, 0.7210292816162109), (49, 52, 0.7401888370513916), (50, 53, 1.2607227563858032), (51, 54, 0.5705912113189697), ('-', 55, 1), ('-', 56, 1), (52, 57, 0.5781586170196533), (53, 58, 0.6658086776733398), (54, 59, 1.2690033912658691), (55, 60, 0.7463151216506958), (56, 61, 1.5316604971885681), (57, 62, 1.2474676370620728), (58, 63, 1.1109119653701782), (59, 64, 1.1114960312843323), (60, 65, 0.6710942983627319), (61, 66, 1.1875969171524048), ('-', 67, 1), (62, 68, 0.7772151231765747), (63, 69, 0.8618807792663574), (64, 70, 0.9522427320480347), (65, 71, 1.4528487920761108), (66, 72, 1.0997194051742554), (67, 73, 1.3793174624443054), ('-', 74, 1), (68, 75, 1.6189203262329102), (69, 76, 1.390803337097168), (70, 77, 0.7001861333847046), (71, 78, 1.10281503200531), (72, 79, 0.7916237115859985), (73, 80, 1.297927975654602), (74, 81, 1.1552335619926453), ('-', 82, 1), (75, 83, 1.1567059755325317), (76, 84, 0.8271105289459229), (77, 85, 0.7857604026794434), (78, 86, 1.3763761520385742), (79, 87, 0.8907681703567505), (80, 88, 1.3827202916145325), (81, 89, 1.0656049847602844), (82, 90, 0.7538667917251587), (83, 91, 1.2852316498756409), ('-', 92, 1), ('-', 93, 1), (84, 94, 1.3874675631523132), (85, 95, 1.0192793607711792), ('-', 96, 1), (86, 97, 0.9554901123046875), (87, 98, 0.9589900970458984), (88, 99, 1.286145269870758), ('-', 100, 1), ('-', 101, 1), ('-', 102, 1), (89, 103, 1.073611319065094), (90, 104, 1.099643588066101), (91, 105, 1.0242179036140442), ('-', 106, 1), (92, 107, 1.2451845407485962), (93, 108, 1.2809560894966125), (94, 109, 0.8464813232421875), ('-', 110, 1), (95, 111, 1.4430999755859375), (96, 112, 0.7283971309661865), (97, 113, 0.823968768119812), (98, 114, 1.1700438261032104), (99, 115, 1.032955527305603), (100, 116, 1.1465030908584595), (101, 117, 0.7578790187835693), (102, 118, 0.8706231117248535), (103, 119, 1.481924593448639), (104, 120, 1.3309796452522278), (105, 121, 1.294501543045044), ('-', 122, 1), (106, 123, 1.070992112159729), (107, 124, 0.9682062864303589), (108, 125, 1.2738837003707886), (109, 126, 1.0562543869018555), (110, 127, 1.1817755699157715), (111, 128, 0.8215450048446655), (112, 129, 0.8097522258758545), (113, 130, 1.0819677114486694), (114, 131, 1.1364234685897827), (115, '-', 1), (116, 132, 1.0800970792770386), (117, 133, 1.09080171585083), ('-', 134, 1), (118, 135, 1.4314306378364563), (119, 136, 1.4385254979133606), ('-', 137, 1), ('-', 138, 1), ('-', 139, 1), ('-', 140, 1), ('-', 141, 1), (120, 142, 1.2489593625068665), ('-', 143, 1), ('-', 144, 1), ('-', 145, 1), (121, 146, 1.084922194480896), (122, 147, 1.1701022386550903), ('-', 148, 1), (123, 149, 0.9729382991790771), ('-', 150, 1), ('-', 151, 1), ('-', 152, 1), (124, 153, 0.6796281337738037), (125, 154, 0.9116291999816895), ('-', 155, 1), ('-', 156, 1), (126, 157, 0.7044000625610352), ('-', 158, 1), (127, 159, 0.5879983901977539), (128, 160, 1.1295894980430603), ('-', 161, 1), ('-', 162, 1), ('-', 163, 1), (129, 164, 0.7327631711959839), (130, 165, 0.8751980066299438), ('-', 166, 1), (131, 167, 0.706395149230957), ('-', 168, 1), (132, 169, 1.202812373638153), ('-', 170, 1), ('-', 171, 1), (133, 172, 1.4982821941375732), ('-', 173, 1), ('-', 174, 1), ('-', 175, 1), (134, 176, 0.5063042640686035), ('-', 177, 1), (135, 178, 0.9072222709655762), ('-', 179, 1), (136, 180, 1.3037176728248596), (137, 181, 0.5389366149902344), (138, 182, 1.5419771373271942), (139, 183, 0.6305302381515503), ('-', 184, 1), (140, 185, 0.8435752391815186), (141, 186, 0.7372517585754395), (142, 187, 1.2867896556854248), ('-', 188, 1), (143, 189, 0.951246976852417), (144, 190, 1.0992679595947266), (145, 191, 1.1590343117713928), (146, 192, 1.9570898115634918), (147, 193, 0.8398458957672119), (148, 194, 0.5583926439285278), ('-', 195, 1), ('-', 196, 1), ('-', 197, 1), (149, 198, 1.1143614053726196), (150, 199, 0.891613245010376), (151, 200, 0.5615030527114868), (152, 201, 0.622220516204834), (153, 202, 0.5590453147888184), ('-', 203, 1), (154, 204, 0.8236744403839111), (155, 205, 0.7370755672454834), (156, 206, 1.591958224773407), (157, 207, 1.583933800458908), (158, 208, 0.6379520893096924), (159, 209, 1.551238238811493), ('-', 210, 1), (160, 211, 0.7779375314712524), (161, 212, 0.5530288219451904), (162, 213, 0.6662716865539551), (163, 214, 0.8499088287353516), (164, 215, 0.8517372608184814), ('-', 216, 1), (165, 217, 0.9999517202377319), ('-', 218, 1), (166, 219, 0.7550549507141113), (167, 220, 1.1826224327087402), (168, 221, 0.8892776966094971), ('-', 222, 1), ('-', 223, 1), (169, 224, 1.2035710215568542), (170, 225, 0.9580824375152588), ('-', 226, 1), ('-', 227, 1), (171, 228, 0.7989723682403564), (172, 229, 1.699351042509079), (173, 230, 1.5668433904647827), (174, 231, 0.637110710144043), ('-', 232, 1), ('-', 233, 1), ('-', 234, 1), (175, 235, 0.560562252998352), (176, 236, 0.6978838443756104), ('-', 237, 1), (177, 238, 0.7853471040725708), (178, 239, 1.0393930673599243), (179, 240, 1.5873015522956848), (180, 241, 1.032111406326294), (181, 242, 1.194862723350525), ('-', 243, 1), ('-', 244, 1), (182, 245, 0.6234910488128662), ('-', 246, 1), (183, 247, 1.0889655351638794), (184, 248, 0.8915550708770752)]","[(0, 0, 1.0366852283477783), (1, 1, 0.7854290008544922), (2, '-', 1), (3, 2, 0.8844265937805176), (4, 3, 0.5763359069824219), (5, 4, 0.7164468765258789), (6, 5, 0.6660482883453369), (7, 6, 1.5342141687870026), (8, 7, 0.7415676116943359), (9, 8, 1.2566921710968018), (10, 9, 0.7506320476531982), (11, 10, 1.3795220851898193), (12, 11, 0.9828891754150391), (13, 12, 0.7497352361679077), (14, 13, 1.122806429862976), (15, 14, 0.823530912399292), ('-', 15, 1), ('-', 16, 1), (16, 17, 1.2227989435195923), (17, 18, 0.7415683269500732), ('-', 19, 1), ('-', 20, 1), (18, 21, 1.2365537881851196), (19, 22, 1.126336693763733), ('-', 23, 1), (20, 24, 1.3890718221664429), (21, 25, 1.1993108987808228), (22, 26, 1.0300472974777222), (23, 27, 1.5611131489276886), (24, 28, 1.3859915137290955), (25, 29, 1.4417918920516968), (26, 30, 1.483982264995575), (27, 31, 1.5946844220161438), (28, 32, 1.4616444110870361), (29, 33, 1.4960427284240723), (30, 34, 1.3177711963653564), (31, 35, 1.40937739610672), (32, 36, 1.0325708389282227), (33, 37, 0.6476380825042725), (34, 38, 0.7072935104370117), (35, 39, 1.6675415635108948), ('-', 40, 1), (36, 41, 0.7780472040176392), (37, 42, 1.48203706741333), ('-', 43, 1), (38, 44, 0.9683525562286377), (39, 45, 0.8197234869003296), ('-', 46, 1), (40, 47, 0.9974925518035889), (41, 48, 0.8165268898010254), (42, 49, 1.1272778511047363), (43, 50, 0.8116815090179443), (44, 51, 0.7279747724533081), (45, 52, 0.7492318153381348), (46, 53, 1.2946303486824036), (47, 54, 0.5659149885177612), ('-', 55, 1), ('-', 56, 1), (48, 57, 0.5820468664169312), (49, 58, 0.6534843444824219), (50, 59, 1.2713537812232971), (51, 60, 0.766387939453125), (52, 61, 1.522489219903946), (53, 62, 1.2474676370620728), (54, 63, 1.1109119653701782), (55, 64, 1.1114960312843323), (56, 65, 0.7108724117279053), (57, 66, 1.0758134126663208), ('-', 67, 1), (58, 68, 0.7969326972961426), (59, 69, 0.8440356254577637), (60, 70, 0.9560408592224121), (61, 71, 1.4528487920761108), (62, 72, 1.1881983280181885), (63, 73, 1.3726774454116821), ('-', 74, 1), (64, 75, 1.629536509513855), (65, 76, 1.390803337097168), (66, 77, 0.7001861333847046), (67, 78, 1.10281503200531), (68, 79, 0.8183702230453491), (69, 80, 1.363357424736023), (70, 81, 1.1552335619926453), ('-', 82, 1), ('-', 83, 1), (71, 84, 0.5821959972381592), (72, 85, 0.893906831741333), ('-', 86, 1), (73, 87, 0.8287115097045898), (74, 88, 1.6250181794166565), (75, 89, 0.9846080541610718), (76, 90, 1.0562885403633118), (77, 91, 1.1553396582603455), ('-', 92, 1), ('-', 93, 1), (78, 94, 0.9644981622695923), (79, 95, 1.2542705535888672), ('-', 96, 1), (80, 97, 1.1086158752441406), (81, 98, 1.0539377927780151), (82, 99, 1.286145269870758), ('-', 100, 1), ('-', 101, 1), ('-', 102, 1), (83, 103, 1.073611319065094), (84, 104, 1.0163156986236572), (85, 105, 1.0242692232131958), ('-', 106, 1), (86, 107, 1.2451845407485962), (87, 108, 1.2366051077842712), (88, 109, 0.8464813232421875), ('-', 110, 1), (89, 111, 1.4430999755859375), (90, 112, 0.7347228527069092), (91, 113, 0.874194860458374), (92, 114, 1.207366168498993), (93, 115, 1.032955527305603), (94, 116, 1.2053897380828857), (95, 117, 0.7493616342544556), (96, 118, 0.8625465631484985), (97, 119, 1.4671428203582764), (98, 120, 1.3309796452522278), (99, 121, 1.294501543045044), ('-', 122, 1), (100, 123, 1.070992112159729), (101, 124, 0.9682062864303589), (102, 125, 1.2738837003707886), (103, 126, 1.0562543869018555), ('-', 127, 1), (104, 128, 0.7534915208816528), (105, 129, 0.8483121395111084), ('-', 130, 1), ('-', 131, 1), (106, 132, 0.4679124355316162), (107, 133, 0.8391833305358887), ('-', 134, 1), ('-', 135, 1), ('-', 136, 1), ('-', 137, 1), ('-', 138, 1), ('-', 139, 1), ('-', 140, 1), ('-', 141, 1), ('-', 142, 1), ('-', 143, 1), ('-', 144, 1), ('-', 145, 1), ('-', 146, 1), ('-', 147, 1), ('-', 148, 1), (108, 149, 0.9252176284790039), (109, 150, 1.4732643961906433), ('-', 151, 1), (110, 152, 1.1923574209213257), (111, 153, 0.7397794723510742), (112, 154, 0.7760902643203735), (113, 155, 1.5434399843215942), ('-', 156, 1), (114, 157, 0.8993356227874756), ('-', 158, 1), (115, 159, 0.7426983118057251), (116, 160, 1.1152793169021606), (117, 161, 1.3532567024230957), (118, 162, 1.1648274660110474), ('-', 163, 1), (119, 164, 0.8404480218887329), (120, 165, 0.7932379245758057), ('-', 166, 1), (121, 167, 0.6796135902404785), ('-', 168, 1), ('-', 169, 1), ('-', 170, 1), ('-', 171, 1), ('-', 172, 1), (122, 173, 1.204128921031952), ('-', 174, 1), ('-', 175, 1), (123, 176, 0.7124364376068115), ('-', 177, 1), (124, 178, 0.8029869794845581), ('-', 179, 1), ('-', 180, 1), (125, 181, 0.5561621189117432), ('-', 182, 1), (126, 183, 0.923417329788208), (127, 184, 1.5551381707191467), (128, 185, 0.89654541015625), (129, 186, 0.8061354160308838), ('-', 187, 1), (130, 188, 1.0001588463783264), (131, 189, 0.8303014039993286), (132, 190, 1.5668547451496124), (133, 191, 0.9657821655273438), ('-', 192, 1), (134, 193, 1.1764960289001465), (135, 194, 0.8102169036865234), (136, 195, 1.30268394947052), ('-', 196, 1), ('-', 197, 1), (137, 198, 1.0587452054023743), ('-', 199, 1), (138, 200, 0.715587854385376), (139, 201, 0.8791757822036743), (140, '-', 1), (141, 202, 0.6566624641418457), ('-', 203, 1), (142, 204, 0.7074112892150879), (143, 205, 0.7593662738800049), (144, 206, 1.5461183786392212), ('-', 207, 1), (145, 208, 0.5061286687850952), (146, 209, 1.1929900646209717), ('-', 210, 1), (147, 211, 0.7189846038818359), (148, 212, 0.7447474002838135), (149, 213, 0.7410995960235596), (150, '-', 1), (151, 214, 1.241084337234497), (152, 215, 0.9534690380096436), (153, 216, 1.4117135405540466), (154, 217, 0.8645025491714478), ('-', 218, 1), (155, 219, 0.7844098806381226), (156, 220, 1.0162115097045898), (157, 221, 0.9019298553466797), (158, 222, 1.3014819622039795), ('-', 223, 1), (159, 224, 1.2035710215568542), (160, 225, 0.9580824375152588), ('-', 226, 1), ('-', 227, 1), (161, 228, 0.7989723682403564), (162, 229, 1.699351042509079), (163, 230, 1.5668433904647827), (164, 231, 0.6715561151504517), ('-', 232, 1), ('-', 233, 1), ('-', 234, 1), (165, 235, 0.560562252998352), (166, 236, 0.703514814376831), ('-', 237, 1), (167, 238, 0.7653480768203735), (168, 239, 1.0393930673599243), (169, 240, 1.5873015522956848), (170, 241, 1.032111406326294), (171, 242, 1.18179452419281), ('-', 243, 1), ('-', 244, 1), (172, 245, 0.6102168560028076), ('-', 246, 1), (173, 247, 1.0889655351638794), (174, 248, 0.892967939376831)]",,,,,,,,
